channel,rank,ticker,name,role,listedUse,evidenceLayer,themeScore,currentDataStatus,validationGate,risk,sourceMemo
量子コンピューター,1,6702.T,富士通,国産量子コンピューター開発・HPC・企業向け計算基盤,長期探索候補,公式IR/国策,82,既存100社データあり。量子事業の売上寄与は要分離,量子関連の受注・共同研究・商用サービス売上が確認できるまで購入スコアへ直結しない,量子は収益化時期が遠く、株価寄与がHPC・SI・半導体等に埋もれやすい,Fujitsu公式量子開発発表、政府/NEDO量子政策
量子コンピューター,2,6701.T,NEC,量子アニーリング/量子活用サービス・AI/通信/防衛IT,長期探索候補,公式IR/提携,78,既存100社データあり。量子単独の寄与は要確認,量子案件の商用化、D-Wave等との提携進捗、AI/防衛ITとの複合材料を確認,量子テーマだけでは株価説明力が弱い可能性。大型IT・防衛・AI基盤として併せて評価,NEC公式量子関連発表
量子コンピューター,3,9432.T,NTT,IOWN/光電融合・量子暗号/次世代通信基盤,観察候補,公式IR/国策,72,既存100社データあり。安定性は高いが指数超過力は要確認,量子そのものより通信・光電融合・データセンター接続として評価,大型・低ボラ寄りで、1年でS&P+5%を狙う主役にはなりにくい,量子技術イノベーション政策、NTT研究開発
量子コンピューター,4,6501.T,日立製作所,研究開発・HPC/制御・産業DXへの量子活用余地,複合探索候補,公式IR/技術仮説,69,既存100社データあり。量子より産業AI・電力・制御の寄与が大きい,量子単独ではなく、産業AI/電力/制御チャンネルと重ねて評価,テーマが広すぎるため、量子枠では主役にしない,国策・研究開発テーマ
量子コンピューター,5,6503.T,三菱電機,量子暗号/防衛・FA・電力制御との周辺技術,観察候補,技術仮説/周辺需要,65,既存100社データあり。量子寄与は未分離,量子暗号・安全保障・FA需要との接続が確認できる場合のみ評価,量子売上の見える化が難しい。FA/電力の実績軸を優先,安全保障・次世代通信関連の周辺仮説
量子コンピューター,6,9613.T,NTTデータG,量子計算の企業導入・SI/コンサル実装先,データ補完後に再判定,商用化仮説,62,既存100社にない場合は追加取得が必要,量子導入支援の案件・売上・顧客事例を確認,量子より通常SI/クラウドの影響が大きい,企業導入支援の仮説枠
フィジカルAI,1,6506.T,安川電機,産業用ロボット・サーボ・モーション制御,実需探索候補,事業実績/テーマ,84,既存100社にない場合は追加取得が必要,受注、ロボット需要、中国/米国設備投資、営業利益率を確認,設備投資サイクルと中国景気に影響されやすい,ロボット・モーション制御の中核候補
フィジカルAI,2,6954.T,ファナック,FA・CNC・産業用ロボット,実需探索候補,事業実績/テーマ,81,既存100社データあり,ロボット受注、工作機械需要、在庫循環、為替感応度を確認,過去の指数超過が弱い場合は購入候補ではなく観察に留める,産業ロボット・FAの代表候補
フィジカルAI,3,6861.T,キーエンス,センサー・画像処理・FAデータ取得,高品質探索候補,事業実績/質,79,既存100社にない場合は追加取得が必要,PER、利益率、海外売上、FA投資回復を確認,高PERになりやすく、金利上昇時の下落リスクを確認,フィジカルAIの入力データ・センサー側
フィジカルAI,4,6273.T,SMC,空圧制御・自動化部品,実需探索候補,事業実績/部品,74,既存100社にない場合は追加取得が必要,設備投資回復、利益率、地域別需要を確認,AIというよりFAサイクル銘柄。テーマ過大評価に注意,ロボット・自動化の部品側
フィジカルAI,5,6645.T,オムロン,制御機器・センシング・FA,回復確認候補,事業実績/回復待ち,70,既存100社にない場合は追加取得が必要,業績底打ち、制御機器受注、構造改革効果を確認,業績悪化局面ではテーマ性だけで買わない,制御・センシング枠
フィジカルAI,6,6594.T,ニデック,モーター・アクチュエータ・ロボット駆動部品,データ補完後に再判定,部品/テーマ,68,既存100社にない場合は追加取得が必要,利益率、EV/精密小型モーター、ロボット向け寄与を確認,事業ポートフォリオが広く、フィジカルAI寄与の分離が必要,駆動部品・アクチュエータ仮説
フィジカルAI,7,6762.T,TDK,センサー・電源・バッテリー・部品,複合探索候補,部品/既存候補,67,既存100社データあり,AIサーバー/電源/センサーの寄与と既存総合スコアを併用,電子部品サイクルとスマホ需要に左右される,フィジカルAI周辺部品とAIインフラの重複枠
フィジカルAI,8,6324.T,ハーモニック・ドライブ・システムズ,精密減速機・ロボット関節部品,小型高感応候補,部品/高ボラ,66,追加取得が必要,受注回復、赤字/黒字、財務安全性、流動性を確認,値動きが大きく、NISA 1年テストでは比率を抑える必要,ロボット関節の高感応枠
