data_name,purpose,source,current_status,priority
時価総額,10倍余地があるサイズか確認,Yahoo Finance、JPX、証券会社画面,取得ルートあり。自動表への常時反映は未実装,高
売上3年CAGR・直近前年比,本当に成長しているか確認,決算短信、IR、EDINET,公式PDFから主要値取得を開始済み。複数年自動取得は未完成,最重要
営業利益率・営業利益成長,売上だけでなく利益が伸びる事業か確認,決算短信、説明資料、有報,公式PDFレビュー表で一部取得済み。テンバガー用の横断表は未接続,最重要
PER/PBR/ROE,割高すぎないか、資本効率が高いかを確認,Yahoo Finance、決算短信、有報、証券会社画面,一部取得済み。テンバガー探索では成長率とセットで判定する必要あり,高
PEG目安,PERが高くても成長率で正当化できるか確認,PER + EPS成長率または営業利益成長率,未実装。PERと成長率の接続で算出可能,中
営業CF・現金・借入,成長前に資金切れしないか確認,決算短信、有報,一部取得済み。業種別の解釈ルールが必要,高
発行株式数・希薄化,増資で株主価値が薄まっていないか確認,有報、決算短信、TDnet,未接続。EDINET/XBRLで取得候補,高
株価1年・出来高,急騰直後、下落中、流動性不足を避ける,Yahoo Finance chart API,取得済み。既存の時流候補価格判定で使用中,最重要
TDnet材料分類,上方修正、提携、増配、自社株買い等の材料を拾う,TDnet,直近イベントの分類は開始済み。本文確認と長期履歴は未完成,高
業界需要データ,テーマだけでなく需要増が実際に起きているか検証,経産省、業界団体、電力統計、貿易統計等,一部取得済み。テンバガー候補への対応付けは未完成,中
