check,status,purpose,result,action
入力ファイル: 102_june_event_result_input.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,4行,
入力ファイル: 106_june_event_engine_output.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,10行,
入力ファイル: 108_capital_allocation_by_ticker.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,10行,
入力ファイル: 109_capital_scenario_plan.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,6行,
入力ファイル: 898_final_candidate_selection_logic_20260606.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,19行,
入力ファイル: 908_final10_decision_workbench_20260606.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,14行,
入力ファイル: 909_final10_current_snapshot_20260606.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,18行,
入力ファイル: 889_cross_channel_candidate_comparison_20260605.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,14行,
入力ファイル: 780_universe100_reselection_metrics_20260528.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,100行,
入力ファイル: candidate10_reaction_backfill_20260613.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,10行,
入力ファイル: 869_candidate10_earnings_reaction_rebuild_20260604.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,10行,
入力ファイル: 656_focus10_reaction_metrics.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,10行,
入力ファイル: 517_candidate_10_reaction_due_for_closure.csv,OK,候補選定の根拠ファイルが欠けていないか確認する,10行,
現行候補10社の件数,OK,候補が空欄・重複・不足のまま表示されていないか確認する,10社 / 重複0件,
目標比率の合計,OK,10社の比率設計が100%に整合しているか確認する,100%,
イベント未入力時の購入停止,OK,未入力イベントが残る間に購入金額が出てしまう事故を防ぐ,未入力3件 / 悪化0件 / 現在上限0円,
イベント通過時の参考上限,OK,6/18以降に使う参考上限が、現行の初回35%・注意15%設計と合うか確認する,"緑通過時840,000円 / 黄注意時360,000円",
現行10社の接続: eventOutput,OK,候補10社が周辺検証データへ接続されているか確認する,10社すべて接続,
現行10社の接続: workbench,OK,候補10社が周辺検証データへ接続されているか確認する,10社すべて接続,
現行10社の接続: channels,OK,候補10社が周辺検証データへ接続されているか確認する,10社すべて接続,
現行10社の接続: reaction,OK,候補10社が周辺検証データへ接続されているか確認する,10社すべて接続,
決算後反応の採点接続,OK,決算後1日・5日だけで過信せず、20営業日到達または接続候補になったものだけを採点へ使う,10社すべて採点接続可能,
シナリオ別候補数,OK,緑通過時・黄注意時で候補表示が作られているか確認する,green 10件 / yellow 8件,
中心候補と条件付き候補の分離,OK,中心候補を厚く、条件付き候補を薄く扱うルールに合っているか確認する,中心候補3社 / 条件付き候補7社,
必須データの補完状況,注意,未取得値を点数に混ぜず、補完待ちを補完待ちとして扱っているか確認する,10社にpartialまたはmissingあり,6/18の最終確認までに、partialの内訳を注文票に明記する
最終ロジックの構成,OK,母集団、必須データ、ハードゲート、量的/質的/信頼度、最終分類が明文化されているか確認する,詳細ルール10 / スコア構造4 / 最終分類5,
チャンネル分類の整合性,OK,総合、半導体、データセンター、フィジカルAIを混同していないか確認する,分類差なし,
監視枠の混入防止,OK,量子・フィジカルAI探索枠が、未検証のまま購入候補10社に混ざっていないか確認する,監視枠は購入候補10社に混入なし,
100社母集団データ,OK,現行10社が小さすぎる母集団から恣意的に選ばれていないか確認する,100行,
