事前順位,ticker,銘柄,判定段階,事前スコア,データ準備度,量的に未完了,質的テーマ,質的仮説,確認する数字,株価検証,停止条件,次アクション,現時点の扱い
1,8316.T,三井住友FG,A: 公式値照合後に候補化可能,82.9,92,公式値照合 / 同業中央値比較,金利・金融政策,国内金利上昇が貸出利ざやと資本効率の改善につながる。,日銀政策金利、10年国債利回り、決算資料の利ざや、ROE、与信費用,金利上昇局面の対TOPIX超過リターン、決算後1日/5日/20日反応,与信費用増加が利ざや改善を上回る、または日銀後に銀行株全体が対TOPIXで大幅劣後,公式決算値、同業中央値、6月市場イベント後の反応を確認する。,候補検証中
2,8766.T,東京海上HD,A: 公式値照合後に候補化可能,78.3,92,公式値照合 / 同業中央値比較,金利・保険料率,運用利回りと保険料率改善が1年保有の利益安定性を支える。,正味収入保険料、コンバインドレシオ、運用利回り、自然災害損害、ROE,金利上昇局面と決算後反応の対TOPIX超過リターン,大規模災害損失、海外保険の採算悪化、保険セクター全体の反応悪化,公式決算値、同業中央値、6月市場イベント後の反応を確認する。,候補検証中
3,8306.T,三菱UFJ FG,B: 量的補完後に再判定,64.6,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,金利・金融政策,銀行セクター全体の金利上昇メリットを取り込める。,国内外利ざや、与信費用、PBR、ROE、株主還元、海外金利感応度,三井住友FG、みずほFGとの対TOPIX反応差,同業比較で劣後、または海外信用コスト増加,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「国内外利ざや、与信費用、PBR、ROE、株主還元、海外金利感応度」で確認する。,候補検証中
4,7011.T,三菱重工,B: 量的補完後に再判定,62.6,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,防衛・安全保障 / エネルギー,防衛、宇宙、原子力、エネルギー投資の長期需要が受注残と利益率に反映される。,受注残、防衛関連売上、営業利益率、研究開発費、セグメント別利益,防衛予算・大型受注・決算発表後の対TOPIX超過リターン,受注は増えても利益率が低下、または過熱指標が強い,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「受注残、防衛関連売上、営業利益率、研究開発費、セグメント別利益」で確認する。,候補検証中
5,8058.T,三菱商事,B: 量的補完後に再判定,62.4,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,資源・商品価格 / 資本政策,資源価格と株主還元が下支えになるが、商品市況依存を確認する必要がある。,資源利益、非資源利益、ROE、配当、自社株買い、原油・金属価格前提,商品価格変化と商社株の相関、決算後反応,資源価格下落で利益計画が崩れる、または還元縮小,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「資源利益、非資源利益、ROE、配当、自社株買い、原油・金属価格前提」で確認する。,候補検証中
6,6501.T,日立製作所,B: 量的補完後に再判定,59.6,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,AIデータセンター投資 / 電力・インフラ,データセンター、送配電、産業DX需要が部門売上と受注に表れる。,Lumada売上、エネルギー部門受注、営業利益率、海外比率、受注残,データセンター関連ニュース、決算、同業の反応比較,テーマは強いが対象部門の寄与が小さい、または利益率悪化,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「Lumada売上、エネルギー部門受注、営業利益率、海外比率、受注残」で確認する。,候補検証中
7,8031.T,三井物産,B: 量的補完後に再判定,60.1,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,資源・商品価格 / 非資源成長,資源、エネルギー、インフラ投資と非資源利益の組み合わせで商社内比較に残る可能性がある。,資源利益、非資源利益、ROE、還元方針、原油・鉄鉱石・LNG前提,三菱商事、伊藤忠商事、住友商事との対TOPIX反応差,商品市況依存が強く、非資源や還元で説明できない,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「資源利益、非資源利益、ROE、還元方針、原油・鉄鉱石・LNG前提」で確認する。,候補検証中
8,5802.T,住友電工,B: 量的補完後に再判定,58.3,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,電力・光通信 / データセンター,電線、光通信、車載の複合需要がAIインフラ投資に接続する。,情報通信売上、環境エネルギー売上、受注、銅価格影響、営業利益率,電線・光通信同業、銅価格、決算後反応の比較,銅価格や原価上昇で利益率が悪化、または同業比較で劣後,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「情報通信売上、環境エネルギー売上、受注、銅価格影響、営業利益率」で確認する。,候補検証中
9,5801.T,古河電工,C: 仮説検算後に比較,58,80,過熱・最大下落確認 / 同業中央値比較,電力・光通信 / データセンター,電線・光通信需要に接続するが、急騰後の過熱確認が必須。,情報通信売上、電力インフラ売上、営業利益率、最大下落率、出来高急増,住友電工、フジクラとの同業比較、過熱調整後の反応,1年上昇率に対して利益成長が追いつかない、または最大下落リスクが大きい,テーマ接続は残しつつ、過熱、最大下落、同業比較で過信を除く。,候補検証中
10,8001.T,伊藤忠商事,B: 量的補完後に再判定,58.5,26,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,非資源・資本政策,非資源比率と還元方針が商社内の安定候補として機能する可能性がある。,非資源利益、ROE、株主還元、純利益進捗、セグメント別利益,三菱商事、三井物産との相対反応、決算後反応,利益成長が弱い、還元縮小、商社内比較で劣後,未入力のPER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較を補完し、質的仮説は「非資源利益、ROE、株主還元、純利益進捗、セグメント別利益」で確認する。,候補検証中
