updated_at,theme_id,ticker,company,role,latest_date,rows,close,ma25,ma75,ma200,ret5_pct,ret20_pct,ret60_pct,ret1y_pct,volume,avg_volume20,volume_ratio20,high52,low52,range52_position_pct,max_drawdown20_pct,volatility20_pct,price_precheck_score_100,intake_status,stop_flags,source,note
2026/05/20 15:27,TREND-RATE-BANK,8316.T,三井住友FG,銀行・金利上昇,2026-05-20,244,5872,5613.6,5541.47,4834.12,0.34,3.2,2.73,66.16,15444400,12764005,1.21,6284,3488,85.3,-4.48,2.07,100,入口通過,なし,Yahoo Finance chart API: 8316.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-RATE-BANK,8766.T,東京海上HD,保険・運用収益,2026-05-20,244,7847,7220,6685.04,6283.16,6.49,12.55,25.59,35.29,6507200,5962910,1.09,8038,5300,93,-2.87,1.84,92,入口通過,なし,Yahoo Finance chart API: 8766.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-AI-POWER,6367.T,ダイキン,空調・冷却,2026-05-20,244,23475,22643.4,20482.93,19567.95,-8.94,6.27,18.05,47.87,607500,1562360,0.39,25900,15470,76.7,-8.94,3.35,88,監視,出来高弱い,Yahoo Finance chart API: 6367.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-DISASTER-INFRA,9433.T,KDDI,通信・防災/復旧,2026-05-20,244,2784,2607.04,2652,2599.1,9.58,5.98,4.27,9.89,6771500,9437375,0.72,2827,2307.5,91.7,-4.39,1.63,84,入口通過,なし,Yahoo Finance chart API: 9433.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-AI-POWER,6503.T,三菱電機,電力制御・FA・データセンター周辺,2026-05-20,244,5740,6103.52,5661.04,4681.17,-11.26,-3.93,4.99,95.24,7936900,7236990,1.1,6667,2843.5,75.8,-11.26,2.71,73,入口通過,なし,Yahoo Finance chart API: 6503.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-AI-POWER,5802.T,住友電工,電線・電力/通信ケーブル,2026-05-20,244,10570,10637.76,9678.6,6856.42,-17.26,4.24,22.18,298.34,6825000,7259925,0.94,13030,2562,76.5,-17.26,5.31,66,保留,直近20日下落大 / 短期変動大,Yahoo Finance chart API: 5802.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-YEN-RESOURCE,8031.T,三井物産,商社・資源,2026-05-20,244,5795,5872.44,5824.79,4637.02,-5.5,-2.88,6.72,99.14,3224100,7085495,0.46,6675,2844.5,77,-5.7,2.21,56,監視,出来高弱い,Yahoo Finance chart API: 8031.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-YEN-RESOURCE,8001.T,伊藤忠商事,商社・非資源比率,2026-05-20,244,1928,1987.54,2053.43,1883.57,-7.71,-4.15,-10.37,28.12,12446000,16317580,0.76,2286.5,1447.6,57.3,-7.71,1.68,44,保留,なし,Yahoo Finance chart API: 8001.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-PRICE-PASS,2801.T,キッコーマン,食品・海外売上,2026-05-20,244,1433.5,1445.48,1441.63,1380.17,2.25,-2.38,-4.47,3.65,1639500,4264385,0.38,1603,1202,57.7,-8.25,1.76,44,保留,出来高弱い,Yahoo Finance chart API: 2801.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-DISASTER-INFRA,1802.T,大林組,建設・インフラ更新,2026-05-20,244,3279,3663.04,3838.4,3166.19,-11.35,-12.93,-17.82,52.65,2716800,3214485,0.85,4439,2117,50,-16.27,3.05,40,保留,直近20日下落大,Yahoo Finance chart API: 1802.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-AI-POWER,6501.T,日立,電力網・送配電・デジタル,2026-05-20,244,4879,4980.28,4973.39,4742.32,2.72,-6.53,-0.37,26.73,9350700,15318295,0.61,6039,3707,50.3,-12.79,2.36,39,保留,なし,Yahoo Finance chart API: 6501.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
2026/05/20 15:27,TREND-PRICE-PASS,8113.T,ユニ・チャーム,生活必需品・アジア,2026-05-20,244,948.6,947.14,963.02,961.14,1.45,-1.91,-12.17,-16.94,4374500,9003205,0.49,1181.5,874.7,24.1,-6.74,1.73,36,保留,200日線割れ / 出来高弱い,Yahoo Finance chart API: 8113.T,価格データのみの一次判定。財務・IR・PER/PBRは未反映。買い候補ではない。
