no,課題,今回の対応,現在ステータス,残作業
1,2025年基準の当時決算情報不足,14社すべてに公式/開示資料ベースの数値を入力。13社は使用可、レーザーテックは通期未公表時点のため限定使用。,大きく前進,レーザーテックは通期決算ではなく第3四半期/予想ベースとして別扱いを維持
2,過去検証が株価中心,2025年基準についてPER/PBR/ROE/EPS/売上/利益を結合し、株価だけの検証から財務根拠付きに変更。,一部完了,2023年・2024年基準にも同じ財務情報を入れる
3,2023年・2024年基準の当時情報未入力,28行の入力キューを作成。,準備完了,公式資料から数値入力する作業は未完了
4,質的スコアの客観化,仮説データ層と実績データ層に分けた評価CSVを作成。,設計完了,ニュース取得・過去反応との自動結合は未完了
5,イベント後リターン検証未完成,決算/CPI/日銀/FOMC/テーマニュース別の検証仕様を作成。,設計完了,イベント日CSVと株価を結合する実計算が必要
6,100社前後の母集団固定が弱い,母集団の採用・除外条件をCSV化。,設計完了,実際の100社リストへ条件を適用する処理が必要
7,チャンネル別比較ルールが粗い,3チャンネルと横断比較のルールをCSV化。,設計完了,チャンネル別スコアの自動再計算が必要
8,指数比較が購入判断に直結していない,S&P500/TOPIX/日経比較から購入比率を下げる条件をCSV化。,設計完了,6月イベント後の実データ入力で適用
9,上値・下値・途中決済ルールが暫定,下値、上値、決算前後、ストップ安対策の共通ルールと銘柄別補正方針をCSV化。,設計完了,各銘柄のボラティリティで閾値を具体化
10,顧客向け資料と実用画面の整理不足,今日見る実用画面を作成し、実用ダッシュボードへリンク追加。,一部完了,既存ダッシュボードの文字化け・整理は追加修正が必要
