queue_rank,priority,ticker,company,theme_name,trial_nisa_score,current_category,metric_group,metric_name,field,current_value,source_type,source_hint,verification_status,reflect_status,stop_reason,reason,hard_gate
1,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,業績,売上成長率,revenue_yoy_pct,11.1,公式IR,ディスコ IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,なし
2,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,業績,利益成長率,profit_yoy_pct,10.9,公式IR,ディスコ IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,なし
3,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,企業の質,ROE,roe_pct,25.15,公式IR/有報,ディスコ IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,なし
4,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,割安/過熱,PER,per,,株価データ/予想EPS,ディスコ IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,なし
5,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,割安/過熱,PBR,pbr,12.32,株価データ/BPS,ディスコ IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,なし
6,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,下落耐性,1年騰落率,ret1y_pct,97.7,株価時系列,ディスコ IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,なし
7,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,下落耐性,60日最大下落率,max_drawdown60_pct,-23.5,株価時系列,ディスコ IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,急落耐性の確認。-30%以下は原則保留。,なし
8,S,6146.T,ディスコ,AIデータセンター電力・冷却,61.8,残す,テーマ妥当性,テーマが売上・受注に効く証拠,theme_evidence,,公式IR/決算説明資料,ディスコ IR 決算短信・決算説明資料,要確認,未反映,公式IR・決算短信との照合前,ニュース連想だけでなく、会社の売上・受注・利益にどう効くか確認する。,なし
9,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,業績,売上成長率,revenue_yoy_pct,7.3,公式IR,三菱UFJ FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの入力値。売上だけでなく数量・価格転嫁・セグメント要因も確認する。,なし
10,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,業績,利益成長率,profit_yoy_pct,27.7,公式IR,三菱UFJ FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,成長スコアの重要入力値。営業利益または経常利益のどちらを使ったかを明記する。,なし
11,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,企業の質,ROE,roe_pct,11.34,公式IR/有報,三菱UFJ FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,企業の質・資本効率確認。金融業は一般事業会社と比較しない。,なし
12,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,割安/過熱,PER,per,,株価データ/予想EPS,三菱UFJ FG IR 決算短信・決算説明資料,未入力,未反映,公式IR・決算短信との照合前,割安・過熱ゲート。予想EPSの出所を確認する。,なし
13,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,割安/過熱,PBR,pbr,1.56,株価データ/BPS,三菱UFJ FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,高評価リスク確認。半導体・成長株では高PBRでも理由を確認する。,なし
14,S,8306.T,三菱UFJ FG,金利上昇・銀行保険,60.8,残す,下落耐性,1年騰落率,ret1y_pct,56.8,株価時系列,三菱UFJ FG IR 決算短信・決算説明資料,要照合,未反映,公式IR・決算短信との照合前,過熱ゲート。上がりすぎている場合は押し目確認へ回す。,なし
