channel,rank,ticker,name,role,themeHypothesis,evidenceStatus,quantStatus,missing,currentJudgment,purchaseHandling,nextAction
フィジカルAI,1,6506.T,安川電機,産業用ロボット、サーボ、モーション制御,AIが現実空間で動く場合、ロボット・制御機器・モーター需要が増えるという構造仮説に近い。,事業実体あり。受注、地域別需要、営業利益率、設備投資サイクルの確認が必要。,追加取得,PER/PBR/ROE、直近決算、受注、1年/5年/10年指数差,優先補完,購入候補ではなく、数値補完後に候補化を判定,公式決算短信と決算説明資料から受注・利益率を入れる
フィジカルAI,2,6954.T,ファナック,FA、CNC、産業用ロボット,工場自動化とロボット需要の代表銘柄。フィジカルAIの実需確認に使いやすい。,既存100社データあり。ロボット受注、工作機械需要、在庫循環を確認する。,一部あり,決算後反応、受注、為替感応度,優先検証,既存スコア通過後にテスト候補へ昇格可,過去5年/10年の指数差と決算後反応を接続する
フィジカルAI,3,6861.T,キーエンス,センサー、画像処理、FAデータ取得,AIが物理空間を見るための入力データ、検査、センサー側の中核候補。,高収益企業だが高PERになりやすい。割高耐性と金利上昇時の下落確認が必要。,追加取得,PER/PBR/ROE、利益率、海外売上、過去下落率,優先補完,割高確認を通るまで購入候補にしない,PER水準と利益率の安定性を入れる
フィジカルAI,4,6273.T,SMC,空圧制御、自動化部品,ロボット単体ではなく工場全体の自動化部品として需要波及を見る候補。,設備投資サイクルに左右される。地域別需要と利益率を確認する。,追加取得,株価指標、決算、地域別需要、営業利益率,補完後再判定,購入候補ではなく観察候補,公式決算の地域別売上と利益率を入れる
フィジカルAI,5,6645.T,オムロン,制御機器、センシング、FA,制御・センシング枠。ただし業績回復が確認できないとテーマだけになる。,構造改革・業績底打ち確認が必要。,追加取得,業績回復、受注、利益率、決算後反応,回復確認,業績確認まで購入候補にしない,直近決算で制御機器の回復を確認する
フィジカルAI,6,6594.T,ニデック,モーター、アクチュエータ、駆動部品,ロボット駆動部品としての接続はあるが、事業範囲が広く寄与分離が必要。,EV、精密小型モーター、ロボット向け寄与の分離が必要。,追加取得,セグメント寄与、利益率、PER/PBR/ROE,補完後再判定,テーマ寄与が見えるまで購入候補にしない,セグメント別の利益率と成長源を整理する
フィジカルAI,7,6762.T,TDK,センサー、電源、バッテリー、電子部品,フィジカルAI、AIサーバー、電源、センサーの複合テーマ候補。,既存候補。電子部品サイクルとスマホ需要の影響を分ける必要がある。,一部あり,テーマ別売上寄与、決算後反応,複合候補,既存候補と重複するため、単独枠ではなく総合枠で確認,電源・センサー寄与と電子部品サイクルを分ける
フィジカルAI,8,6324.T,ハーモニック・ドライブ・システムズ,精密減速機、ロボット関節部品,ロボット関節の高感応候補。需要回復時の反応は大きい可能性がある。,小型・高ボラ。赤字/黒字、受注回復、財務安全性の確認が必要。,追加取得,業績、財務安全性、流動性、最大下落率,小型高感応,NISA 1年では比率を抑える前提。購入候補化は慎重,受注回復と損益改善を確認する
フィジカルAI,9,6981.T,村田製作所,センサー、通信部品、電子部品,ロボット、IoT、エッジAIの部品側候補。ただしスマホ・電子部品サイクルの影響が大きい。,テーマ接続はあるが、フィジカルAI単独の説明力は要確認。,追加取得,セグメント寄与、指数差、決算後反応,調査追加,部品サイクル確認後に候補化を判定,スマホ依存とAI/自動車/産業向けの寄与を分ける
フィジカルAI,10,6479.T,ミネベアミツミ,モーター、センサー、精密部品,小型モーター・センサー・精密部品としてロボット/自動化に接続しうる。,テーマはあるが事業範囲が広い。利益寄与の分離が必要。,追加取得,セグメント寄与、利益率、株価長期指標,調査追加,追加データ取得まで観察,ロボット・産業機器向け売上の確認
量子コンピューター,1,6702.T,富士通,国産量子コンピューター、HPC、企業向け計算基盤,国策・研究開発・HPCと接続するが、量子単独の売上寄与はまだ見えにくい。,既存100社データあり。量子事業の売上寄与は要分離。,一部あり,量子関連売上、受注、商用サービス進捗,長期探索,量子単独では購入候補にしない,HPC、AI基盤、量子の寄与を分けて確認する
量子コンピューター,2,6701.T,NEC,量子アニーリング、量子活用サービス、AI/通信/防衛IT,量子、AI、防衛ITの複合テーマ。単独テーマより複合材料で見る。,既存100社データあり。量子単独寄与は要確認。,一部あり,量子案件の商用化、売上寄与、決算後反応,長期探索,購入候補ではなく複合テーマ観察,量子関連案件と防衛IT・AI基盤の寄与を分ける
量子コンピューター,3,9432.T,NTT,IOWN、光電融合、量子暗号、次世代通信基盤,量子そのものより通信インフラ・光電融合・データセンター接続で見る。,既存100社データあり。安定性は高いが指数超過力は要確認。,一部あり,テーマ寄与、指数超過、1年期待リターン,観察,1年でS&P+5%を狙う主役にはしにくい,通信安定枠としての役割を確認する
量子コンピューター,4,6501.T,日立製作所,研究開発、HPC、制御、産業DXへの量子活用余地,量子単独より、産業AI・電力・制御チャンネルと重ねて見る銘柄。,既存100社データあり。量子より産業AI・電力・制御の寄与が大きい。,一部あり,量子寄与の分離、決算後反応,複合探索,量子枠の主役ではなく総合枠で確認,既存総合候補との重複評価を整理する
量子コンピューター,5,6503.T,三菱電機,量子暗号、防衛、FA、電力制御の周辺技術,量子暗号と安全保障・FA・電力制御の周辺需要として扱う。,既存100社データあり。量子売上の見える化が難しい。,一部あり,量子暗号の売上寄与、テーマ別受注,観察,FA/電力の実績軸を優先,量子ではなく電力・FA側の評価と接続する
量子コンピューター,6,9613.T,NTTデータグループ,量子計算の企業導入、SI、コンサル実装,企業が量子を使う段階で導入支援が発生する可能性を見る。,量子より通常SI/クラウドの影響が大きい可能性。,追加取得,株価指標、案件、売上寄与,補完後再判定,量子案件の商用化確認まで購入候補にしない,導入支援案件と財務指標を確認する
量子コンピューター,7,3687.T,フィックスターズ,高速化ソフト、量子アニーリング関連の調査候補,量子・HPC・高速化ソフトの高感応候補。ただし小型で値動きが大きくなりやすい。,公式確認と流動性確認が必要。,追加取得,公式IR、PER/PBR/ROE、最大下落、流動性,調査追加,小型高ボラのため購入候補化は慎重,公式IRと長期株価指標を確認する
量子コンピューター,8,4307.T,野村総合研究所,金融・企業向け高度計算、導入支援の可能性,量子そのものではなく、金融・企業向け計算/導入支援の周辺候補。,量子テーマとの直接性は弱い。SI/コンサルとして確認。,追加取得,量子案件有無、財務指標、指数差,周辺観察,テーマだけでは採用しない,量子関連案件が公式に確認できるか調べる
量子コンピューター,9,3626.T,TIS,企業向けIT、金融IT、先端技術導入支援の可能性,量子導入のSI周辺候補。ただし量子との直接性は弱い。,公式案件確認が必要。,追加取得,量子関連案件、財務指標、株価長期指標,周辺観察,購入候補ではなく調査対象,公式資料で量子関連案件の有無を確認する
量子コンピューター,10,4812.T,電通総研,企業DX、数理最適化、研究開発支援の可能性,量子計算の実装支援に接続しうるが、直接性は弱い。,量子関連の公式確認が必要。,追加取得,公式案件、財務指標、指数差、流動性,周辺観察,現時点では購入候補にしない,量子・HPC・数理最適化関連の公式開示を確認する
