evidence_id,ticker,銘柄,入力欄,根拠分類,候補入力文,対になる注意点,公式資料,資料日付,URL,追加で必要な確認,official_confirmed,score_reflect,buy_limit,status
6503-energy,6503.T,三菱電機,segment_growth_evidence,実績,"エネルギーシステム: 売上高4,733億円、営業利益453億円、営業利益率9.6%。データセンター増設と電力流通事業増加が需要背景。",データセンター一般論だけでは反映しない。セグメントの売上・利益・受注増加とセットで扱う。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-energy,6503.T,三菱電機,order_demand_evidence,実績,"エネルギーシステム: 売上高4,733億円、営業利益453億円、営業利益率9.6%。データセンター増設と電力流通事業増加が需要背景。",データセンター一般論だけでは反映しない。セグメントの売上・利益・受注増加とセットで扱う。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-energy,6503.T,三菱電機,data_center_power_evidence,実績,"エネルギーシステム: 売上高4,733億円、営業利益453億円、営業利益率9.6%。データセンター増設と電力流通事業増加が需要背景。",データセンター一般論だけでは反映しない。セグメントの売上・利益・受注増加とセットで扱う。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-fa,6503.T,三菱電機,segment_growth_evidence,実績,"FAシステム: 売上高7,982億円、営業利益766億円、営業利益率9.6%。AI関連半導体設備投資需要が増加。",AIという単語だけでは反映しない。受注高・売上高の増加要因として確認できる場合だけ候補入力にする。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-fa,6503.T,三菱電機,semiconductor_capex_evidence,実績,"FAシステム: 売上高7,982億円、営業利益766億円、営業利益率9.6%。AI関連半導体設備投資需要が増加。",AIという単語だけでは反映しない。受注高・売上高の増加要因として確認できる場合だけ候補入力にする。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-fa,6503.T,三菱電機,order_demand_evidence,実績,"FAシステム: 売上高7,982億円、営業利益766億円、営業利益率9.6%。AI関連半導体設備投資需要が増加。",AIという単語だけでは反映しない。受注高・売上高の増加要因として確認できる場合だけ候補入力にする。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-guidance,6503.T,三菱電機,company_guidance_evidence,会社予想,"26年度見通し: 売上高6兆2,000億円、調整後営業利益5,900億円。防衛、FA、ライフの拡大。中東情勢による原材料・物流費高騰を織り込み。",全社見通しだけで個別テーマ寄与を断定しない。中東コスト織り込みを同じ行に残す。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-guidance,6503.T,三菱電機,forecast_quality_note,会社予想,"26年度見通し: 売上高6兆2,000億円、調整後営業利益5,900億円。防衛、FA、ライフの拡大。中東情勢による原材料・物流費高騰を織り込み。",全社見通しだけで個別テーマ寄与を断定しない。中東コスト織り込みを同じ行に残す。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
6503-guidance,6503.T,三菱電機,cost_risk_note,会社予想,"26年度見通し: 売上高6兆2,000億円、調整後営業利益5,900億円。防衛、FA、ライフの拡大。中東情勢による原材料・物流費高騰を織り込み。",全社見通しだけで個別テーマ寄与を断定しない。中東コスト織り込みを同じ行に残す。,三菱電機 2026年3月期 決算説明会資料,2026/04/28,https://www.mitsubishielectric.co.jp/ja/pr/2026/pdf/0428_co2.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-wfe,8035.T,東京エレクトロン,market_outlook_evidence,市場見通し,"CY2026〜2027 WFE市場: 年1,500〜1,700億ドル、CY2025比20%以上増。先端デバイス向けは30%以上増。",市場全体の見通しだけで購入候補化を確定しない。SOX指数と6月イベント後反応が必要。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-wfe,8035.T,東京エレクトロン,semiconductor_cycle_evidence,市場見通し,"CY2026〜2027 WFE市場: 年1,500〜1,700億ドル、CY2025比20%以上増。先端デバイス向けは30%以上増。",市場全体の見通しだけで購入候補化を確定しない。SOX指数と6月イベント後反応が必要。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-wfe,8035.T,東京エレクトロン,high_per_support_note,市場見通し,"CY2026〜2027 WFE市場: 年1,500〜1,700億ドル、CY2025比20%以上増。先端デバイス向けは30%以上増。",市場全体の見通しだけで購入候補化を確定しない。SOX指数と6月イベント後反応が必要。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-product-share,8035.T,東京エレクトロン,structural_advantage_evidence,製品別成長ドライバー,"塗布・現像シェア90%以上、絶縁膜エッチングシェア50%以上、先端パッケージングFY2026売上約2,000億円。",シェアが高いことだけで株価上昇を断定しない。利益率、受注、指数反応と併用する。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-product-share,8035.T,東京エレクトロン,product_share_evidence,製品別成長ドライバー,"塗布・現像シェア90%以上、絶縁膜エッチングシェア50%以上、先端パッケージングFY2026売上約2,000億円。",シェアが高いことだけで株価上昇を断定しない。利益率、受注、指数反応と併用する。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-product-share,8035.T,東京エレクトロン,high_per_support_note,製品別成長ドライバー,"塗布・現像シェア90%以上、絶縁膜エッチングシェア50%以上、先端パッケージングFY2026売上約2,000億円。",シェアが高いことだけで株価上昇を断定しない。利益率、受注、指数反応と併用する。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-ai-server,8035.T,東京エレクトロン,company_guidance_evidence,会社予想,"FY2027上期予想: 売上高1兆5,700億円、営業利益4,310億円、営業利益率27.5%。AIサーバー需要が牽引。",強い会社予想だけを採用しない。ホルムズ海峡リスクと高PERリスクを同じ行に残す。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-ai-server,8035.T,東京エレクトロン,ai_server_demand_evidence,会社予想,"FY2027上期予想: 売上高1兆5,700億円、営業利益4,310億円、営業利益率27.5%。AIサーバー需要が牽引。",強い会社予想だけを採用しない。ホルムズ海峡リスクと高PERリスクを同じ行に残す。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
8035-ai-server,8035.T,東京エレクトロン,geopolitical_risk_note,会社予想,"FY2027上期予想: 売上高1兆5,700億円、営業利益4,310億円、営業利益率27.5%。AIサーバー需要が牽引。",強い会社予想だけを採用しない。ホルムズ海峡リスクと高PERリスクを同じ行に残す。,東京エレクトロン 2026年3月期 決算説明会資料,2026/04/30,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4presentations-j.pdf,該当ページまたは該当箇所、対象年度、単位、前年比の目視確認,false,false,0円,入力前候補
