updated_at,ticker,company,lane,event_trigger,hypothesis_layer,evidence_layer_needed,score_policy
2026/05/26 16:33,6762.T,TDK,A 先行観察,AIサーバー、電源、電子部品、為替,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,AIサーバー関連ニュース、電子部品受注、同業電子部品株の反応、決算コメント。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,2802.T,味の素,B 補完後候補,食品値上げ、ヘルスケア、原材料、円安,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,原材料価格、値上げ浸透、同業食品のPER、ABF/ヘルスケア売上コメント。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,8766.T,東京海上HD,B 補完後候補,金利、保険料率、自然災害、政策保有株売却,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,日銀/米金利、損害率、保険料率、還元方針、同業保険株の反応。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,8316.T,三井住友FG,B 補完後候補,日銀、金利、利ざや、信用コスト,金利上昇は利ざや改善に効くが、急な景気悪化や信用コスト上昇で相殺される。,日銀会合、長短金利、銀行株指数、信用コスト、決算説明資料。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,8306.T,三菱UFJ FG,B 補完後候補,日銀、金利、利ざや、海外金利,金利正常化・海外金利環境が利益に接続しやすいが、急変時は相場全体の下落も受ける。,日銀会合、米金利、銀行株指数、PER/PBR/ROE補完、信用コスト。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,6367.T,ダイキン工業,B 補完後候補,データセンター冷却、猛暑、設備投資、為替,空調・冷却需要とデータセンター投資が追い風。ただし中国・住宅・為替で鈍化もある。,データセンター投資、空調需要、地域別売上、受注・利益率、同業比較。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,6503.T,三菱電機,B 補完後候補,電力、FA、防衛、データセンター、設備投資,電力制御・FA・インフラ需要が伸びれば追い風。ただし設備投資循環の影響を受ける。,受注、FA市況、電力投資、データセンター関連、決算コメント。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,5020.T,ENEOS HD,C 補完優先,原油、精製マージン、為替、中東情勢,原油・精製マージンが利益に直結。地政学や原油急落で逆方向にも大きく振れる。,原油価格、精製マージン、在庫評価、為替、エネルギー株指数。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,6146.T,ディスコ,C 補完優先,AI半導体、HBM、SiC、半導体設備投資,切断・研削・精密加工の構造需要は強いが、半導体設備投資サイクルと高評価に注意。,PER補完、同業半導体装置比較、SOX、受注/出荷、HBM/AI関連コメント。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
2026/05/26 16:33,4385.T,メルカリ,D 補欠保留,国内消費、FinTech、広告、規制,利益成長は魅力だが、事業構成・競争・規制・消費感応度の確認が不足。,PER補完、事業別利益、GMV、広告/FinTech進捗、同業ネット株比較。,仮説層は購入点へ直接加点しない。実績層が確認できた場合のみ説明材料・ゲート材料にする。
