updated_at,ticker,company,sector,theme,universe_roles,primary_purpose,usefulness_level,score,quote_status,performance_status,chart_status,reason_in_universe,next_action
2026/05/22 12:54,7203.T,トヨタ自動車,自動車,世界販売・円安・HV/EV,指数比較・大型代表 / 景気・マクロ感応,景気・マクロ感応,B 観察継続,34,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6758.T,ソニーグループ,エンタメ/半導体,ゲーム・音楽・画像センサー,指数比較・大型代表,指数比較・大型代表,B 観察継続,38,取得,取得,取得,指数・投信と比べる基準になる大型代表,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,指数比較・大型代表 / NISA 1年保有,NISA 1年保有,A 詳細確認,64,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,8316.T,三井住友FG,銀行,金利上昇・大手銀行,指数比較・大型代表 / NISA 1年保有,NISA 1年保有,A 詳細確認,69,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,8411.T,みずほFG,銀行,金利上昇・大手銀行,NISA 1年保有,NISA 1年保有,A 詳細確認,66,取得,取得,取得,1年保有テストで安定性や配当/業績の確認対象,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,8766.T,東京海上HD,保険,金利上昇・保険運用,指数比較・大型代表 / NISA 1年保有,NISA 1年保有,A 詳細確認,74,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,8750.T,第一生命HD,保険,金利上昇・保険運用,NISA 1年保有,NISA 1年保有,A 詳細確認,63,取得,取得,取得,1年保有テストで安定性や配当/業績の確認対象,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,8725.T,MS&AD,保険,金利上昇・保険運用,NISA 1年保有,NISA 1年保有,A 詳細確認,60,取得,取得,取得,1年保有テストで安定性や配当/業績の確認対象,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,9432.T,NTT,通信,守り・通信インフラ,指数比較・大型代表 / NISA 1年保有,NISA 1年保有,B 観察継続,40,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,9433.T,KDDI,通信,守り・通信インフラ,指数比較・大型代表 / NISA 1年保有,NISA 1年保有,B 観察継続,46,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,9984.T,ソフトバンクG,投資/AI,AI・投資会社,時流テーマ,時流テーマ,A 詳細確認,65,取得,取得,取得,AI・投資会社の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,9434.T,ソフトバンク,通信,通信・配当,NISA 1年保有,NISA 1年保有,B 観察継続,55,取得,取得,取得,1年保有テストで安定性や配当/業績の確認対象,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,9983.T,ファーストリテイリング,小売,海外成長・消費,指数比較・大型代表,指数比較・大型代表,A 詳細確認,61,取得,取得,取得,指数・投信と比べる基準になる大型代表,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6098.T,リクルートHD,人材/IT,求人・HRテック,補助比較,補助比較,B 観察継続,59,取得,取得,取得,,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7974.T,任天堂,ゲーム,新ハード・IP,指数比較・大型代表,指数比較・大型代表,B 観察継続,36,取得,取得,取得,指数・投信と比べる基準になる大型代表,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6861.T,キーエンス,FA,高収益・自動化,指数比較・大型代表,指数比較・大型代表,B 観察継続,50,取得,取得,取得,指数・投信と比べる基準になる大型代表,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6501.T,日立製作所,総合電機,電力・DX・インフラ,指数比較・大型代表 / 時流テーマ,時流テーマ,B 観察継続,53,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 電力・DX・インフラの資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6503.T,三菱電機,総合電機,電力制御・FA,時流テーマ,時流テーマ,B 観察継続,58,取得,取得,取得,電力制御・FAの資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7011.T,三菱重工,重工/防衛,防衛・電力・宇宙,時流テーマ,時流テーマ,B 観察継続,50,取得,取得,取得,防衛・電力・宇宙の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7012.T,川崎重工業,重工/防衛,防衛・水素,時流テーマ / テンバガー探索,テンバガー探索,A 詳細確認,69,取得,取得,取得,防衛・水素の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,7013.T,IHI,重工/防衛,航空・防衛,時流テーマ / テンバガー探索,テンバガー探索,B 観察継続,45,取得,取得,取得,航空・防衛の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,8035.T,東京エレクトロン,半導体装置,半導体サイクル,時流テーマ,時流テーマ,A 詳細確認,60,取得,取得,取得,半導体サイクルの資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6857.T,アドバンテスト,半導体装置,AI半導体検査,時流テーマ,時流テーマ,A 詳細確認,60,取得,取得,取得,AI半導体検査の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6920.T,レーザーテック,半導体装置,EUV検査,時流テーマ,時流テーマ,A 詳細確認,70,取得,取得,取得,EUV検査の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6146.T,ディスコ,半導体装置,切断・研削装置,時流テーマ,時流テーマ,A 詳細確認,60,取得,取得,取得,切断・研削装置の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6723.T,ルネサス,半導体,車載・産業半導体,時流テーマ,時流テーマ,B 観察継続,21,取得,取得,取得,車載・産業半導体の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6526.T,ソシオネクスト,半導体,ASIC・AI半導体,時流テーマ / テンバガー探索,テンバガー探索,B 観察継続,34,取得,取得,取得,ASIC・AI半導体の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7735.T,SCREEN HD,半導体装置,洗浄装置,時流テーマ,時流テーマ,A 詳細確認,66,取得,取得,取得,洗浄装置の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6981.T,村田製作所,電子部品,MLCC・スマホ/車載,時流テーマ,時流テーマ,B 観察継続,58,取得,取得,取得,MLCC・スマホ/車載の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6762.T,TDK,電子部品,電池・電子部品,時流テーマ,時流テーマ,A 詳細確認,66,取得,取得,取得,電池・電子部品の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6971.T,京セラ,電子部品,部品・通信,補助比較,補助比較,B 観察継続,55,取得,取得,取得,,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6594.T,ニデック,モーター,EV・精密モーター,時流テーマ / テンバガー探索,テンバガー探索,B 観察継続,50,取得,取得,取得,EV・精密モーターの資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6954.T,ファナック,FA,ロボット・工作機械,時流テーマ,時流テーマ,B 観察継続,52,取得,取得,取得,ロボット・工作機械の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6273.T,SMC,FA,空圧機器・自動化,時流テーマ,時流テーマ,B 観察継続,36,取得,取得,取得,空圧機器・自動化の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6645.T,オムロン,制御機器,FA・ヘルスケア,時流テーマ / テンバガー探索,テンバガー探索,B 観察継続,54,取得,取得,取得,FA・ヘルスケアの資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,時流テーマ / テンバガー探索,テンバガー探索,A 詳細確認,68,取得,取得,取得,データセンター・光ファイバーの資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,5802.T,住友電工,電線/車載,電線・自動車部品,時流テーマ,時流テーマ,A 詳細確認,64,取得,取得,取得,電線・自動車部品の資金流入仮説を検証,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,5801.T,古河電工,電線/光通信,光ファイバー・電力線,時流テーマ / テンバガー探索,テンバガー探索,A 詳細確認,68,取得,取得,取得,光ファイバー・電力線の資金流入仮説を検証 / 成長・変化率・時価総額余地を観察する枠,公式IR・決算短信・EDINETで数値検算し、6月テスト候補へ進める
2026/05/22 12:54,6701.T,NEC,IT/防衛,AI・官公庁・防衛,時流テーマ,時流テーマ,B 観察継続,48,取得,取得,取得,AI・官公庁・防衛の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6702.T,富士通,IT,DX・AI・サービス,時流テーマ,時流テーマ,B 観察継続,53,取得,取得,取得,DX・AI・サービスの資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6367.T,ダイキン工業,空調,データセンター冷却・空調,時流テーマ,時流テーマ,B 観察継続,56,取得,取得,取得,データセンター冷却・空調の資金流入仮説を検証,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6301.T,コマツ,建機,資源・インフラ,景気・マクロ感応,景気・マクロ感応,B 観察継続,40,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6326.T,クボタ,機械,農機・水インフラ,景気・マクロ感応,景気・マクロ感応,B 観察継続,35,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6902.T,デンソー,自動車部品,車載・電動化,景気・マクロ感応,景気・マクロ感応,B 観察継続,52,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,6201.T,豊田自動織機,機械/車載,物流・車載,景気・マクロ感応,景気・マクロ感応,B 観察継続,32,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7267.T,ホンダ,自動車,二輪・自動車,景気・マクロ感応,景気・マクロ感応,B 観察継続,30,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7269.T,スズキ,自動車,インド・小型車,景気・マクロ感応,景気・マクロ感応,B 観察継続,49,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7270.T,SUBARU,自動車,米国販売,景気・マクロ感応,景気・マクロ感応,B 観察継続,29,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,7202.T,いすゞ自動車,商用車,商用車・新興国,景気・マクロ感応,景気・マクロ感応,B 観察継続,35,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,5108.T,ブリヂストン,タイヤ,タイヤ・価格転嫁,NISA 1年保有,NISA 1年保有,B 観察継続,37,取得,取得,取得,1年保有テストで安定性や配当/業績の確認対象,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,8001.T,伊藤忠商事,商社,資源・非資源,景気・マクロ感応,景気・マクロ感応,B 観察継続,40,取得,取得,取得,金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,8031.T,三井物産,商社,資源・還元,指数比較・大型代表 / 景気・マクロ感応,景気・マクロ感応,B 観察継続,42,取得,取得,取得,指数・投信と比べる基準になる大型代表 / 金利・円安・資源・消費など市場環境の影響を測る,週次で株価・出来高・決算反応を確認する
2026/05/22 12:54,8058.T,三菱商事,商社,資源・還元,指数比較・大型代表 / 景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,43,取得,取得失敗: HTTP 500,取得,指数・投信と比べる基準になる大型代表 / 金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,8053.T,住友商事,商社,資源・非資源,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,15,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,8002.T,丸紅,商社,資源・電力,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,12,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,1605.T,INPEX,エネルギー,原油・ガス,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,15,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,5020.T,ENEOS HD,エネルギー,原油・精製,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,12,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,5019.T,出光興産,エネルギー,原油・化学,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,12,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,4063.T,信越化学工業,化学,半導体材料・塩ビ,時流テーマ,時流テーマ,C データ補完後に判定,18,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,半導体材料・塩ビの資金流入仮説を検証 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
2026/05/22 12:54,4188.T,三菱ケミカルG,化学,素材・石化,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,3402.T,東レ,素材,炭素繊維・繊維,時流テーマ,時流テーマ,C データ補完後に判定,7,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,炭素繊維・繊維の資金流入仮説を検証 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
2026/05/22 12:54,3407.T,旭化成,素材/住宅,素材・住宅,時流テーマ,時流テーマ,C データ補完後に判定,12,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,素材・住宅の資金流入仮説を検証 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
2026/05/22 12:54,4005.T,住友化学,化学,石化・農薬,景気・マクロ感応,景気・マクロ感応,D 低優先・比較のみ,15,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,金利・円安・資源・消費など市場環境の影響を測る / 財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,4519.T,中外製薬,医薬品,医薬・ロシュ連携,指数比較・大型代表 / NISA 1年保有,NISA 1年保有,C データ補完後に判定,0,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
2026/05/22 12:54,4568.T,第一三共,医薬品,がん領域,NISA 1年保有,NISA 1年保有,C データ補完後に判定,1,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
2026/05/22 12:54,4503.T,アステラス製薬,医薬品,医薬・パイプライン,補助比較,補助比較,D 低優先・比較のみ,12,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,4502.T,武田薬品,医薬品,大型医薬・配当,NISA 1年保有,NISA 1年保有,C データ補完後に判定,9,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1年保有テストで安定性や配当/業績の確認対象 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
2026/05/22 12:54,4523.T,エーザイ,医薬品,認知症薬,補助比較,補助比較,D 低優先・比較のみ,6,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,財務/業績データ補完が必要,代表性が低い場合は次回母集団から外す候補にする
2026/05/22 12:54,4543.T,テルモ,医療機器,医療機器,NISA 1年保有 / 時流テーマ,時流テーマ,C データ補完後に判定,11,取得失敗: HTTP 500,取得失敗: HTTP 500,取得,1年保有テストで安定性や配当/業績の確認対象 / 医療機器の資金流入仮説を検証 / 財務/業績データ補完が必要,J-QuantsまたはEDINET XBRLで財務・業績を補完してから再判定する
