順位,銘柄,現在の扱い,主な数値根拠,同業比較,選定理由,6月確認
1,8316.T 三井住友FG,中心確認,補正64.1点 / PER13.40倍 / PBR1.44倍 / ROE10.38% / 利益34% / 1年65% / 反応55.5点,中間 / PER倍率 0.97倍,銀行同業内でPERはおおむね中間。ROEも同業平均から大きく外れていない。,日銀後の銀行株全体、利ざや、信用コストを確認。銀行枠の中心候補として維持。
2,2802.T 味の素,条件付き中心,補正66.4点 / PER42.38倍 / PBR6.60倍 / ROE17.75% / 利益75% / 1年51.6% / 反応65.8点,割高警戒 / PER倍率 2.42倍,食品同業の補助PERより明確に高い。生活必需品の安定枠ではなく、高PER成長枠として扱う必要がある。,ABF、ヘルスケア、利益成長、決算後反応で高PERを説明できる場合のみ維持。説明できなければ保留へ下げる。
3,6762.T TDK,中心確認,補正63.2点 / PER31.22倍 / PBR3.21倍 / ROE9.81% / 利益21.5% / 1年135.7% / 反応63.8点,中間 / PER倍率 0.90倍,電子部品同業と比べてPER過熱は強くない。利益成長と株価反応も確認対象として残せる。,AIサーバー・電源・HDD周辺需要の質的仮説を、売上成長と6月の半導体指数反応で確認する。
4,8053.T 住友商事,中心確認,補正60.8点 / PER13.73倍 / PBR1.87倍 / ROE12.94% / 利益0.9% / 1年98.2% / 反応59.6点,中間 / PER倍率 0.91倍,総合商社内でPERは低め、PBRとROEは大きく見劣りしない。成長率は弱いため還元・資源・為替の確認が必要。,株主還元、資源価格、為替、商社株全体の反応を確認。成長率の弱さを還元と安定性で補えるかを見る。
5,8306.T 三菱UFJ FG,補欠比較,補正54.4点 / PER未取得 / PBR1.54倍 / ROE11.34% / 利益27.7% / 1年53.6% / 反応55.4点,中間 / PER倍率 1.23倍,銀行内ではPERがやや高め。三井住友FGと同じ銀行テーマの重複もある。,銀行枠を複数持つ理由があるか確認。三井住友FGと比較して優位が出なければ補欠扱い。
6,7173.T 東京きらぼしFG,監視,補正66.4点 / PER8.83倍 / PBR0.96倍 / ROE10.66% / 利益45.2% / 1年114.1% / 反応34.5点,相対割安 / PER倍率 0.64倍,PER/PBRは低いが、決算後反応が弱い。割安だけで候補へ上げない。,日銀後の地銀株反応、出来高、決算後20営業日反応の改善を確認してから再評価。
7,9984.T ソフトバンクG,別評価監視,補正61.8点 / PER未取得 / PBR2.45倍 / ROE34.28% / 利益259.9% / 1年285.2% / 反応52.9点,別評価 / PER倍率 別評価,PERで単純比較しにくい。保有資産価値、Arm、AI関連株、1年上昇率の過熱を別枠で見る必要がある。,NAV、保有株の下落耐性、米金利、AI株全体の反応を確認。通常のPER/PBR同業比較には混ぜない。
8,7735.T SCREEN HD,監視,補正49.1点 / PER19.65倍 / PBR4.44倍 / ROE20.28% / 利益-9.7% / 1年117.5% / 反応57.3点,相対割安 / PER倍率 0.47倍,半導体製造装置内ではPERは低め。ただし利益成長がマイナスで、低PERだけでは候補化できない。,受注、次期見通し、20営業日反応、SOX耐性を確認。利益成長改善が見えれば再評価。
9,6146.T ディスコ,反応検算,補正46.2点 / PER未取得 / PBR12.74倍 / ROE25.15% / 利益10.9% / 1年103.5% / 反応55.6点,割高警戒 / PER倍率 1.46倍,工程優位の質的材料は強いが、PER/PBRは同業内でも高い。技術優位だけで通さない。,20営業日反応、受注、利益率、SOX耐性がそろうまで中心候補へ戻さない。
10,7011.T 三菱重工業,反応検算,補正35.9点 / PER34.29倍 / PBR4.22倍 / ROE12.22% / 利益26.7% / 1年18.2% / 反応50.6点,割高警戒 / PER倍率 1.59倍,重工同業よりPERが高く、直近下落も大きい。テーマ性だけで候補へ上げない。,防衛・発電テーマの継続、200日線回復、下落率改善を確認。改善がなければ監視継続。
