updated_at,ticker,name,channel,role,market_signal,one_day_change_pct,event_status,engine_status_now,prebuy_gate,reference_score,data_coverage_points,risk_tags,current_allocation_yen,reason,stop_condition
2026/06/18 18:14,8053.T,住友商事,総合候補,中心候補,確認,-0.61%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,9,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,総合候補/大型株/指数確認,0,商社・資源・還元。個別は小幅安のため、資源価格と商社全体の反応を確認。,指数に明確に劣後、決算・業界材料が弱い場合は保留。
2026/06/18 18:14,8316.T,三井住友FG,総合候補,中心候補,確認,4.31%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,9,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,総合候補/大型株/指数確認,0,日銀後の銀行株反応は強い。信用コストと金利カーブを確認しつつ中心候補を維持。,指数に明確に劣後、決算・業界材料が弱い場合は保留。
2026/06/18 18:14,6501.T,日立製作所,AIインフラ,中心候補,確認,2.11%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,9,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,AIインフラ/政策/設備投資,0,AIインフラ・電力・デジタルの横断テーマ。指数に対して大きく崩れていない。,指数に明確に劣後、決算・業界材料が弱い場合は保留。
2026/06/18 18:14,6503.T,三菱電機,総合候補,条件付き候補,確認,3.29%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,総合候補/大型株/指数確認,0,FA・電力制御・防衛。イベント後反応は良好だが、事業寄与の確認を残す。,指数に明確に劣後、決算・業界材料が弱い場合は保留。
2026/06/18 18:14,6857.T,アドバンテスト,半導体製造装置・材料,条件付き候補,保留,0.80%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,半導体/高PER/高ボラ,0,AI半導体検査装置。高PER・高ボラのため、SOXと金利の安定確認後に小比率扱い。,SOX/NASDAQが再び弱い、米金利が上がる、または出来高を伴う反落時は保留。
2026/06/18 18:14,8035.T,東京エレクトロン,半導体製造装置・材料,条件付き候補,確認,4.74%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,半導体/高PER/高ボラ,0,装置株代表。反応は強いが、CPI後の半導体注意を残して比率は抑える。,SOX/NASDAQが再び弱い、米金利が上がる、または出来高を伴う反落時は保留。
2026/06/18 18:14,7011.T,三菱重工業,AIインフラ・防衛,条件付き候補,確認,2.80%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,AIインフラ/政策/設備投資,0,防衛・電力・エネルギー。短期過熱の確認を残しつつ候補維持。,指数に明確に劣後、決算・業界材料が弱い場合は保留。
2026/06/18 18:14,6762.T,TDK,フィジカルAI,条件付き候補,確認,0.65%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,候補/イベント確認,0,電子部品・AI端末・電池。反応は小幅で、為替と電子部品株全体を確認。,指数に明確に劣後、決算・業界材料が弱い場合は保留。
2026/06/18 18:14,6146.T,ディスコ,半導体製造装置・材料,条件付き候補,保留,1.54%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,半導体/高PER/高ボラ,0,精密加工の構造優位候補。値動きが大きいため初回は慎重扱い。,SOX/NASDAQが再び弱い、米金利が上がる、または出来高を伴う反落時は保留。
2026/06/18 18:14,5803.T,フジクラ,AIインフラ,条件付き候補,保留,-5.67%,黄: 注意あり,イベント反映済み・注文前,市場ゲートは赤停止なし。本人別NISA・証券画面確認が終わるまで実注文額は0円。,7,CPI/日銀/FOMC/指数/為替/個別株反応を反映。口座確認は別ゲート。,電線/データセンター/高ボラ/反応注意,0,電線・データセンターテーマ。イベント後に大きく売られたため、反発確認まで買付対象から外す。,前日比の下落が続く、またはデータセンター関連株全体が弱い場合は初回対象外。
