順位,ticker,銘柄,業種,現時点の扱い,過熱判定,共通下値ルール,共通上値ルール,銘柄別下値補正,銘柄別上値補正,追加購入条件,個別停止条件,まだ必要な確認
1,8316.T,三井住友FG,銀行,前面候補,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,金利上昇局面でも与信費用増加、銀行セクター劣後なら減額候補。,金利上昇とROE改善が確認できる間は保有優先。PBR急上昇と信用コスト増なら一部利確。,利ざや改善、与信費用抑制、ROE改善、株主還元。,与信費用増加が利ざや改善を上回る、または日銀後に銀行株全体が対TOPIXで大幅劣後,公式値照合 / 同業中央値比較
2,8766.T,東京海上HD,保険,比較候補,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,自然災害損害、海外保険採算悪化、保険セクター劣後なら減額候補。,保険料率改善と運用利回り改善が続く間は保有優先。災害損失が大きい場合は利確検討。,コンバインドレシオ、運用利回り、正味収入保険料の改善。,大規模災害損失、海外保険の採算悪化、保険セクター全体の反応悪化,公式値照合 / 同業中央値比較
3,8058.T,三菱商事,商社,補完後に再確認,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,資源価格下落、還元縮小、非資源利益悪化なら再判定。,資源価格だけで上昇した場合は一部利確を検討。非資源利益と還元で説明できる場合は保有。,非資源利益、ROE、株主還元、商品価格前提の確認。,資源価格下落で利益計画が崩れる、または還元縮小,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
4,8306.T,三菱UFJ FG,銀行,補完後に再確認,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,金利上昇局面でも与信費用増加、銀行セクター劣後なら減額候補。,金利上昇とROE改善が確認できる間は保有優先。PBR急上昇と信用コスト増なら一部利確。,利ざや改善、与信費用抑制、ROE改善、株主還元。,同業比較で劣後、または海外信用コスト増加,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
5,8031.T,三井物産,商社,補完後に再確認,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,資源価格下落、還元縮小、非資源利益悪化なら再判定。,資源価格だけで上昇した場合は一部利確を検討。非資源利益と還元で説明できる場合は保有。,非資源利益、ROE、株主還元、商品価格前提の確認。,商品市況依存が強く、非資源や還元で説明できない,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
6,7011.T,三菱重工,重工・防衛,保留寄り,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,受注増でも利益率が悪化する場合は減額候補。,受注残と利益率が伴う上昇なら保有。期待だけで急騰した場合は一部利確。,受注残、防衛関連売上、営業利益率、増産能力。,受注は増えても利益率が低下、または過熱指標が強い,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
7,8001.T,伊藤忠商事,商社,補完後に再確認,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,資源価格下落、還元縮小、非資源利益悪化なら再判定。,資源価格だけで上昇した場合は一部利確を検討。非資源利益と還元で説明できる場合は保有。,非資源利益、ROE、株主還元、商品価格前提の確認。,利益成長が弱い、還元縮小、商社内比較で劣後,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
8,6501.T,日立製作所,総合電機・IT,補完後に再確認,通常範囲,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,AI・電力テーマが部門売上に接続しない場合は減額候補。,部門売上、受注、利益率で説明できる上昇なら保有。テーマだけなら一部利確。,Lumada、エネルギー部門受注、営業利益率、海外比率。,テーマは強いが対象部門の寄与が小さい、または利益率悪化,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
9,5802.T,住友電工,電線・通信,過熱確認を優先,過熱・データ確認,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,急落時の追加購入は禁止。最大下落率、出来高、利益成長、同業比較を確認する。,上値追い禁止。購入後+10%でも利益成長確認前は追加しない。+20%以上で一部利確を検討。,売上・利益成長、受注、営業利益率が株価上昇に追いつくこと。,銅価格や原価上昇で利益率が悪化、または同業比較で劣後,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較
10,5801.T,古河電工,電線・通信,過熱確認を優先,過熱・データ確認,-5%で原因確認、-10%で保有再判定、急落時は追加購入しない,+10%は原則保有、+20%で一部利確検討、+30%以上で過熱確認,急落時の追加購入は禁止。最大下落率、出来高、利益成長、同業比較を確認する。,上値追い禁止。購入後+10%でも利益成長確認前は追加しない。+20%以上で一部利確を検討。,売上・利益成長、受注、営業利益率が株価上昇に追いつくこと。,1年上昇率に対して利益成長が追いつかない、または最大下落リスクが大きい,過熱・最大下落確認 / 同業中央値比較
