作成,順位,銘柄,従来区分,同業,PER,同業PER目安,PER倍率,同業シグナル,反映後の扱い,確認内容,次アクション
2026/05/27 15:20,1,8316.T 三井住友FG,中心確認,三菱UFJ、みずほ、東京きらぼし,13.40倍,13.79倍,0.97倍,中間,中心確認,銀行同業内でPERはおおむね中間。ROEも同業平均から大きく外れていない。,日銀後の銀行株全体、利ざや、信用コストを確認。銀行枠の中心候補として維持。
2026/05/27 15:20,2,2802.T 味の素,追加確認付き中心,キッコーマン、キリンHD,42.38倍,17.51倍,2.42倍,割高警戒,条件付き中心,食品同業の補助PERより明確に高い。生活必需品の安定枠ではなく、高PER成長枠として扱う必要がある。,ABF、ヘルスケア、利益成長、決算後反応で高PERを説明できる場合のみ維持。説明できなければ保留へ下げる。
2026/05/27 15:20,3,6762.T TDK,追加確認付き中心,村田製作所、京セラ,31.22倍,34.63倍,0.90倍,中間,中心確認,電子部品同業と比べてPER過熱は強くない。利益成長と株価反応も確認対象として残せる。,AIサーバー・電源・HDD周辺需要の質的仮説を、売上成長と6月の半導体指数反応で確認する。
2026/05/27 15:20,4,8053.T 住友商事,追加確認付き中心,三菱商事、三井物産、伊藤忠、丸紅,13.73倍,15.01倍,0.91倍,中間,中心確認,総合商社内でPERは低め、PBRとROEは大きく見劣りしない。成長率は弱いため還元・資源・為替の確認が必要。,株主還元、資源価格、為替、商社株全体の反応を確認。成長率の弱さを還元と安定性で補えるかを見る。
2026/05/27 15:20,5,8306.T 三菱UFJ FG,条件付き確認,三井住友、みずほ、東京きらぼし,17倍,13.79倍,1.23倍,中間,補欠比較,銀行内ではPERがやや高め。三井住友FGと同じ銀行テーマの重複もある。,銀行枠を複数持つ理由があるか確認。三井住友FGと比較して優位が出なければ補欠扱い。
2026/05/27 15:20,6,7173.T 東京きらぼしFG,監視,大手銀行比較,8.83倍,13.79倍,0.64倍,相対割安,監視,PER/PBRは低いが、決算後反応が弱い。割安だけで候補へ上げない。,日銀後の地銀株反応、出来高、決算後20営業日反応の改善を確認してから再評価。
2026/05/27 15:20,7,9984.T ソフトバンクG,監視,NAV型評価,未取得,別評価,別評価,別評価,別評価監視,PERで単純比較しにくい。保有資産価値、Arm、AI関連株、1年上昇率の過熱を別枠で見る必要がある。,NAV、保有株の下落耐性、米金利、AI株全体の反応を確認。通常のPER/PBR同業比較には混ぜない。
2026/05/27 15:20,8,7735.T SCREEN HD,監視,東京エレクトロン、ディスコ、アドバンテスト、レーザーテック,19.65倍,42.17倍,0.47倍,相対割安,監視,半導体製造装置内ではPERは低め。ただし利益成長がマイナスで、低PERだけでは候補化できない。,受注、次期見通し、20営業日反応、SOX耐性を確認。利益成長改善が見えれば再評価。
2026/05/27 15:20,9,6146.T ディスコ,監視,東京エレクトロン、SCREEN、アドバンテスト、レーザーテック,61.44倍,42.17倍,1.46倍,割高警戒,反応検算,工程優位の質的材料は強いが、PER/PBRは同業内でも高い。技術優位だけで通さない。,20営業日反応、受注、利益率、SOX耐性がそろうまで中心候補へ戻さない。
2026/05/27 15:20,10,7011.T 三菱重工業,監視,川崎重工、IHI,34.29倍,21.60倍,1.59倍,割高警戒,反応検算,重工同業よりPERが高く、直近下落も大きい。テーマ性だけで候補へ上げない。,防衛・発電テーマの継続、200日線回復、下落率改善を確認。改善がなければ監視継続。
