updated_at,ticker,company,theme_name,source_status,trial_nisa_score,category,growth_quality_score,downside_safety_score,valuation_score,medium_trend_score,data_confidence,hard_gate,per,pbr,roe_pct,revenue_yoy_pct,profit_yoy_pct,ret1y_pct,max_drawdown60_pct,calculation_basis,next_action
2026/05/25,8035.T,東京エレクトロン,AIデータセンター電力・冷却,100社母集団から試算,67.8,保留,88,52.1,40,80,80,PBR10.8倍で高評価注意,,10.8,29.56,0.5,-10.4,108.9,-19.5,199_universe100_screening.csv,公式IRで数値再照合し、ゲート要因を解消できるか確認する
2026/05/25,4063.T,信越化学工業,ナフサ・原油・化学品,既存NISAスコア接続済み,66,保留,,79.5,,73.1,25,決算後反応未取得 / データ信頼度70未満,,,,,,50.8,-11.2,245_nisa_1year_hold_score_top20.csv,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。
2026/05/25,6146.T,ディスコ,AIデータセンター電力・冷却,既存NISAスコア接続済み,61.8,残す,59.9,65.7,59.6,62.8,95,なし,,12.32,25.15,11.1,10.9,97.7,-23.5,245_nisa_1year_hold_score_top20.csv,購入確定ではなく、6月イベント後の再判定対象として日経75日線、米金利、為替、最新決算コメントを確認する。
2026/05/25,2802.T,味の素,物価高・価格転嫁力,既存NISAスコア接続済み,61.3,保留,,72.5,,71.1,25,決算後反応未取得 / データ信頼度70未満,,,,,,57.1,-15.9,245_nisa_1year_hold_score_top20.csv,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。
2026/05/25,8306.T,三菱UFJ FG,金利上昇・銀行保険,既存NISAスコア接続済み,60.8,残す,46,84.6,66.2,67.5,95,なし,,1.56,11.34,7.3,27.7,56.8,-14.8,245_nisa_1year_hold_score_top20.csv,購入確定ではなく、6月イベント後の再判定対象として日経75日線、米金利、為替、最新決算コメントを確認する。
2026/05/25,7011.T,三菱重工業,防衛・安全保障,100社母集団から試算,59.2,保留,68,61.8,52,30,100,点数55〜62で追加確認,34.66,4.26,12.22,-1.1,26.7,30.7,-24.5,199_universe100_screening.csv,公式IRで数値再照合し、ゲート要因を解消できるか確認する
2026/05/25,8316.T,三井住友FG,金利上昇・銀行保険,既存NISAスコア接続済み,57.6,保留,44.3,74.2,75.1,72.3,60,決算後反応未取得 / データ信頼度70未満,13.61,1.47,10.38,6.1,34,69.9,-18.3,245_nisa_1year_hold_score_top20.csv,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。
2026/05/25,5020.T,ENEOS,ナフサ・原油・化学品,既存NISAスコア接続済み,54.4,保留,,65.2,,60.9,25,決算後反応未取得 / データ信頼度70未満,,,,,,90.9,-16.8,245_nisa_1year_hold_score_top20.csv,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。
2026/05/25,6501.T,日立製作所,AIデータセンター電力・冷却,既存NISAスコア接続済み,53.5,保留,42.2,79.7,61.7,53.2,60,決算後反応未取得 / データ信頼度70未満,26.81,3.47,12.93,8.2,24.6,32.8,-14.6,245_nisa_1year_hold_score_top20.csv,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。
2026/05/25,6503.T,三菱電機,AIデータセンター電力・冷却,既存NISAスコア接続済み,48.8,保留,33.5,70.4,55.9,72.2,60,決算後反応未取得 / データ信頼度70未満,26.09,2.76,9.67,6.8,10.5,108.2,-16.8,245_nisa_1year_hold_score_top20.csv,NISA点は接続済みだがデータ信頼度が不足。決算後反応、PER/PBR/ROE、公式IR確認を補完して再計算する。
