No,不備,改善内容,現在状態,残作業,閉じる条件,関連ファイル,スコア反映
1,PER/PBRがまだ確定値ではない,EPS/BPSの公式確認と株価基準日を分離し、PER/PBRは候補値のまま止める専用チェック表を作成,改善済み: 候補値と正式値の境界を表示,株価取得元・取得日時・同一基準日を確認して再計算,全対象で株価基準日、EPS/BPS、計算式、出所がそろう,p1_price_basis_per_pbr_check_20260615.csv,禁止
2,公式値の転記はまだ下書き段階,ROE・営業利益率4項目を、原本上書き前の昇格ゲートとして別CSVに分離,改善済み: 転記候補 4項目,入力バリデーター通過後に原本キューへ反映,値、出所、確認位置、公式確認がそろう,p1_official_transfer_promotion_gate_20260615.csv,禁止
3,スコアにはまだ反映していない,スコア反映ゲートを作り、未通過項目がある限り0項目のままにする,改善済み: 反映解除条件を明文化,財務・価格・イベント・説明可能性の全通過,スコア反映ゲートの全行が通過,p1_score_reflection_unlock_gate_20260615.csv,0項目
4,P1復帰はまだ0社,P1復帰は、公式値が増えただけではなく、買付前ゲート通過後にだけ解除する扱いへ固定,改善済み: P1復帰0社を明示,6503・8035の各ゲート通過後に再判定,P1復帰理由、落とす条件、買付上限が銘柄別にそろう,p1_segment_next_gate_input_validator_20260615.csv,禁止
5,イベント後データが未入力,102のイベント入力状況を改善ボードに接続し、未入力件数と影響を表示,改善済み: 未入力 3/4,日銀、FOMC、最終購入前確認を入力,各イベントの実数、市場反応、現在状態、失敗時アクションが埋まる,102_june_event_result_input.csv,禁止
6,株価指標の再計算が必要,既存値を候補値として残し、正式反映には同一基準日の再現計算が必要と明記,改善済み: 補完候補 27/44,株価時系列からCAGR、S&P差、最大下落率を再計算,計算日、式、対象期間、欠損有無がCSVで再現可能,p1_segment_existing_data_prefill_candidates_20260615.csv,禁止
7,1年最大下落率の一部に期間ズレがあった,20日最大下落率など期間違いは正式転記禁止に固定,改善済み: 6503の20日値は1年値として使わない扱い,1年最大下落率を同一式で再計算,20日、60日、1年の列名と値が混ざらない,p1_segment_existing_data_prefill_candidates_20260615.csv,禁止
8,事業寄与の確認がまだ弱い,FA・電力制御、WFE・半導体需要を、全社売上・利益へ接続できるか確認する行を維持,改善済み: テーマ名だけでは通さない設計,セグメント売上、営業利益、受注、会社見通しを入力,テーマが全社業績へどの程度効くか、数値または会社資料で説明できる,p1_segment_order_evidence_candidates_20260615.csv,禁止
9,質的テーマの実証がまだ途中,AI、半導体、電力、データセンターは、仮説層と実績層を分けて表示,改善済み: テーマ検証行 5件,過去イベントと株価反応の結合を増やす,質的テーマが、受注・売上寄与・過去反応のうち2種類以上で確認される,theme_event_validation_ledger_20260614.csv,直接加点しない
10,買付比率・購入可否への接続が未完成,買付比率はイベント後・公式値・再計算通過後だけ再開する設計に固定,改善済み: 全銘柄の現時点買付上限0円を維持,全ゲート通過後に初回比率、縮小条件、見送り条件へ接続,指数+1%目標、劣後時縮小、銘柄別上限が同じ画面で確認できる,106_june_event_engine_output.csv / 108_capital_allocation_by_ticker.csv,禁止
