generated_at,ticker,company,current_class,connection,reference_ticker,reference_theme,reference_return_pct,reference_role,reference_support_score,reference_support_label,copy_risk,action
2026/05/27 11:01,2802.T,味の素,第1候補群,未接続,,未接続,,,45,参照弱い,なし。参照ポートフォリオからは補強できない。,勝者ポートフォリオからの補強は弱い。食品・値上げ耐性の独立仮説として、決算・PER・数量減を重視する。
2026/05/27 11:01,6762.T,TDK,第2候補群,テーマ近似,6516 山洋電気,半導体・AI・大型成長,+292.8%,上昇寄与枠,64,テーマ参照,高い。すでに大きく上昇した勝者を後追いする危険がある。,同じテーマの勝者例として有用。現在候補が同じ利益構造に乗っているか、売上・受注・利益率で確認する。
2026/05/27 11:01,6146.T,ディスコ,第2候補群,テーマ近似,6516 山洋電気,半導体・AI・大型成長,+292.8%,上昇寄与枠,64,テーマ参照,高い。すでに大きく上昇した勝者を後追いする危険がある。,同じテーマの勝者例として有用。現在候補が同じ利益構造に乗っているか、売上・受注・利益率で確認する。
2026/05/27 11:01,4385.T,メルカリ,補欠候補,未接続,,未接続,,,45,参照弱い,なし。参照ポートフォリオからは補強できない。,参照データだけでは補強できない。既存の量的スコアと6月再判定を優先する。
2026/05/27 11:01,9984.T,ソフトバンクG,補欠候補,直接一致,9984 ソフトバンクG,半導体・AI・大型成長,+155.0%,上昇寄与枠,76,強い参照。ただし追随リスクあり,中。勝ち筋は参考になるが、現在価格と決算反応の再確認が必要。,直接一致するため説明材料になる。ただし過去上昇の後追いにならないよう、最新PER・決算後反応を必ず確認する。
2026/05/27 11:01,7012.T,川崎重工業,監視のみ,テーマ近似,8053 住友商事,資本財・重工・景気循環,+214.1%,収益けん引枠,64,テーマ参照,高い。すでに大きく上昇した勝者を後追いする危険がある。,同じテーマの勝者例として有用。現在候補が同じ利益構造に乗っているか、売上・受注・利益率で確認する。
2026/05/27 11:01,8316.T,三井住友FG,監視のみ,直接一致,8316 三井住友FG,金利・金融,+279.4%,収益けん引枠,76,強い参照。ただし追随リスクあり,高い。すでに大きく上昇した勝者を後追いする危険がある。,過去の勝ち筋には一致。ただし現在は監視分類なので、金利・決算反応・警戒材料が改善した時だけ再浮上させる。
2026/05/27 11:01,5020.T,ENEOS HD,監視のみ,未接続,,未接続,,,45,参照弱い,なし。参照ポートフォリオからは補強できない。,参照データだけでは補強できない。既存の量的スコアと6月再判定を優先する。
2026/05/27 11:01,6503.T,三菱電機,監視のみ,未接続,,未接続,,,45,参照弱い,なし。参照ポートフォリオからは補強できない。,参照データだけでは補強できない。既存の量的スコアと6月再判定を優先する。
2026/05/27 11:01,8306.T,三菱UFJ FG,監視のみ,直接一致,8306 三菱UFJ FG,金利・金融,+160.2%,収益けん引枠,76,強い参照。ただし追随リスクあり,中。勝ち筋は参考になるが、現在価格と決算反応の再確認が必要。,過去の勝ち筋には一致。ただし現在は監視分類なので、金利・決算反応・警戒材料が改善した時だけ再浮上させる。
2026/05/27 11:01,6501.T,日立製作所,監視のみ,未接続,,未接続,,,45,参照弱い,なし。参照ポートフォリオからは補強できない。,参照データだけでは補強できない。既存の量的スコアと6月再判定を優先する。
2026/05/27 11:01,8002.T,丸紅,監視のみ,未接続,,未接続,,,45,参照弱い,なし。参照ポートフォリオからは補強できない。,参照データだけでは補強できない。既存の量的スコアと6月再判定を優先する。
