category,title_or_date,url_or_event,description_1,description_2
primary_link,実用パート入口,896_practical_entry_hub_20260606.html,毎日見る画面と補足資料を分けた入口。迷ったらここから確認する。,
primary_link,6月実行コックピット,895_june_execution_cockpit_20260606.html,6月のイベント、見る指標、止める条件、次の作業を1画面で確認する。,
primary_link,6月イベント判定エンジン,893_june_event_gate_engine_20260606.html,CPI、日銀、FOMC後の市場状態を緑・黄・赤で整理する。,
primary_link,候補別アクション分岐表,894_june_candidate_action_after_gate_20260606.html,イベント後に各候補を残す、保留、落とすのどれで扱うか確認する。,
schedule,6/10,米CPI,CPI、米10年金利、SOX、NASDAQ、VIX、ドル円,CPI悪化と米金利急騰が同時に出る場合、半導体・AI関連の追加判断を止める。 / 数値をイベント判定エンジンへ入力し、テーマ候補の扱いを再判定する。
schedule,6/15-16,日銀会合,政策金利、声明文、ドル円、日本10年金利、日経平均、TOPIX,急な円高、銀行・輸出・半導体への大きな逆風が出る場合は購入判断を保留する。 / 金融、商社、輸出、半導体装置の扱いを分けて確認する。
schedule,6/16-17,FOMC,政策金利、ドットプロット、FRB議長会見、米10年金利、VIX、NASDAQ,米金利急騰、VIX急騰、NASDAQ/SOX急落が重なる場合は攻め枠を止める。 / 6/18以降の一次再判定で、候補10社とテーマ候補を分けて処理する。
schedule,6/18以降,一次再判定,3イベント後の色判定、候補別スコア、指数差、直近下落、未確認データ,赤判定が残る、または根拠不足の銘柄は購入候補に進めない。 / 候補別の購入可否、保留理由、入れ替え候補を記録する。
candidate_handling,チャンネル1 総合候補,既存の総合候補を基準にする,量的スコア、長期安定性、指数比較、下落耐性を優先して見る。,未確認データが残る銘柄は、スコアが高くても購入確定にしない。
candidate_handling,チャンネル2 半導体製造装置・材料,半導体テーマの攻め枠,SOX、NASDAQ、米金利、受注・利益率、PER/PBR/ROEを確認して扱う。,高PER、高ボラ、直近過熱が強い場合は比率を下げるか保留する。
