updated_at,rank,ticker,company,sector,test_role,completion_status,grade,score,quantitative_grade,data_confidence,nisa_score_reference,reaction_layer,reaction_note,peer_status,qualitative_treatment,selection_reason,risk_note,next_trigger,next_action,june_treatment,investment_treatment
2026/05/26 23:39,1,6762.T,TDK,電子部品,主候補,根拠説明可能,S,80.9,A,100,60.7,暫定A,5日 対日経 5.5%、20営業日待ち,補正参考可,仮説確認用。単独加点しない。,量的評価A、信頼度100、PER 26.7、ROE 9.81%、売上成長13.6%、利益成長21.5%、決算後反応 5日 対日経 5.5%、20営業日待ち、同業比較は使用可 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 補正参考可 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,不足: イベント因果未完了 / 除外条件: AI関連コメントが弱い、利益率が悪化、在庫調整や顧客需要鈍化が明記される。,20営業日反応: 2026-06-01,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,6月イベント後に主候補として再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,2,8316.T,三井住友FG,銀行,主候補,根拠説明可能,S,80.9,B,95,65.1,暫定A,5日 対日経 5.99%、20営業日待ち,補正参考可,仮説確認用。単独加点しない。,量的評価B、信頼度95、PER 13.61、ROE 10.38%、売上成長6.1%、利益成長34%、決算後反応 5日 対日経 5.99%、20営業日待ち、同業比較は使用可 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 補正参考可 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,不足: 決算後反応未完了または未到達 / イベント因果未完了 / 除外条件: 信用コスト急増、金利上昇が景気悪化扱いになる、日銀後に銀行株が市場劣後。,20営業日反応: 2026-06-10,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,6月イベント後に主候補として再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,3,2802.T,味の素,食品,主候補,根拠説明可能,A,76.0,B,95,67.8,暫定A,5日 対日経 12.07%、20営業日待ち,未反映,仮説確認用。単独加点しない。,量的評価B、信頼度95、PER 43.73、ROE 17.75%、売上成長3.5%、利益成長75%、決算後反応 5日 対日経 12.07%、20営業日待ち、同業比較は未接続 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 未反映 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足: 決算後反応未完了または未到達 / 業種別補正未完了 / 業種別補正:接続不可 同業比較は未接続: 同業2社、PER 0件、PBR 0件、ROE 0件で基準未満。 / 除外条件: PERの高さに対して成長鈍化、原材料費再上昇、値上げ後の数量減、下方修正。,20営業日反応: 2026-06-04 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,6月イベント後に主候補として再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,4,5020.T,ENEOS HD,エネルギー,比較枠,比較根拠はあるが主候補化は未定,B,72.2,C,95,64.3,暫定B,5日 対日経 0.94%、20営業日待ち,未反映,仮説確認用。単独加点しない。,量的評価C、信頼度95、PER 8.36、ROE 8.00%、売上成長-4.5%、利益成長339.8%、決算後反応 5日 対日経 0.94%、20営業日待ち、同業比較は未接続 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 未反映 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足: 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 業種別補正:接続不可 同業比較は未接続: 同業3社、PER 0件、PBR 0件、ROE 0件で基準未満。 / 除外条件: 油価下落で在庫評価損、精製マージン悪化、脱炭素投資負担の増加。,20営業日反応: 2026-06-11 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足データまたは反応到達後に主候補化できるか再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,5,6367.T,ダイキン工業,空調,比較枠,比較根拠はあるが主候補化は未定,B,70.3,C,100,52.6,暫定B,5日 対日経 1.92%、20営業日待ち,未反映,仮説確認用。単独加点しない。,量的評価C、信頼度100、PER 24.97、ROE 9.1%、売上成長5.5%、利益成長3.3%、決算後反応 5日 対日経 1.92%、20営業日待ち、同業比較は未接続 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 未反映 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足: 決算後反応未完了または未到達 / イベント因果未完了 同業比較は未接続: 同業1社、PER 1件、PBR 1件、ROE 1件で基準未満。 / 除外条件: 中国・欧州の需要鈍化、利益率低下、データセンター需要が数字に出ない。,20営業日反応: 2026-06-09 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足データまたは反応到達後に主候補化できるか再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,6,6503.T,三菱電機,総合電機,比較枠,比較根拠はあるが主候補化は未定,B,70.0,C,95,55.6,暫定B,5日 対日経 1.9%、20営業日待ち,未反映,仮説確認用。単独加点しない。,量的評価C、信頼度95、PER 26.09、ROE 9.67%、売上成長6.8%、利益成長10.5%、決算後反応 5日 対日経 1.9%、20営業日待ち、同業比較は未接続 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 未反映 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足: 決算後反応未完了または未到達 / イベント因果未完了 同業比較は未接続: 同業2社、PER 2件、PBR 2件、ROE 2件で基準未満。 / 除外条件: FA市況低迷、受注鈍化、コスト増、政策テーマが業績に接続しない。,20営業日反応: 2026-06-01 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足データまたは反応到達後に主候補化できるか再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,7,8766.T,東京海上HD,保険,反応待ち,決算後反応の更新待ち,B,66.9,B,100,65.4,1日暫定,1日 対日経 -4.68%、5日/20営業日待ち,補正参考可,仮説確認用。単独加点しない。,量的評価B、信頼度100、PER 17.61、ROE 18.68%、売上成長5.1%、利益成長-7.6%、決算後反応 1日 対日経 -4.68%、5日/20営業日待ち、同業比較は使用可 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 補正参考可 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 5営業日反応を更新し、20営業日反応までの仮扱いとして明記する,決算後反応の注意: 1日 対日経 -4.68%、5日/20営業日待ち / 1日反応のみのため、5営業日と20営業日を待つ。 不足: 決算後反応未完了または未到達 / イベント因果未完了 / 除外条件: 自然災害損失の増加、保険引受悪化、決算後反応の弱さが継続。,20営業日反応: 2026-06-17 / 5営業日反応の更新,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 5営業日反応を更新し、20営業日反応までの仮扱いとして明記する,不足データまたは反応到達後に主候補化できるか再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,8,4385.T,メルカリ,ネット,補完待ち,財務または同業比較の補完待ち,B,65.1,保留,87,79.8,暫定A,5日 対日経 7.3%、20営業日待ち,未反映,仮説確認用。単独加点しない。,量的評価保留、信頼度87、PER 34.53（公式3Q累計EPS + 既存株価CSV）、ROE 30.52%、売上成長2.8%、利益成長59.2%、決算後反応 5日 対日経 7.3%、20営業日待ち、同業比較は未接続 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 未反映 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する / 公式EPS・通期予想・補助PERの整合性を検算する,PERまたは財務指標の不足を解消するまで順位を固定しない。 不足: 財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:接続不可 / PER:既存CSV内では未発見 同業比較は未接続: 同業2社、PER 1件、PBR 0件、ROE 0件で基準未満。 / 除外条件: 競争激化、成長鈍化、3Q累計PERを通期PERのように扱えない、同業比較不足。,20営業日反応: 2026-06-08 / 同業比較または広義比較の不足確認 / 公式値または説明補助値の検算,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する / 公式EPS・通期予想・補助PERの整合性を検算する,不足データまたは反応到達後に主候補化できるか再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,9,8306.T,三菱UFJ FG,銀行,補完待ち,財務または同業比較の補完待ち,B,65.0,C,92,62.1,暫定B,5日 対日経 2.39%、20営業日待ち,補正参考可,仮説確認用。単独加点しない。,量的評価C、信頼度92、PER 17（公式EPS + 既存株価CSV）、ROE 11.34%、売上成長7.3%、利益成長27.7%、決算後反応 5日 対日経 2.39%、20営業日待ち、同業比較は使用可 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 補正参考可 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 公式EPS・通期予想・補助PERの整合性を検算する,PERまたは財務指標の不足を解消するまで順位を固定しない。 不足: 財務指標未完了 / 業種別補正未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見 / 除外条件: 信用コスト増加、PERが同業より高い状態、金利上昇が景気悪化へ転ぶ。,20営業日反応: 2026-06-12 / 公式値または説明補助値の検算,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 公式EPS・通期予想・補助PERの整合性を検算する,不足データまたは反応到達後に主候補化できるか再判定,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
2026/05/26 23:39,10,6146.T,ディスコ,半導体装置,検算枠,弱い反応の原因検算が必要,C,49.0,C,92,60.9,D 実績弱い,20営業日 対日経 -19.66%,補正参考可,仮説確認用。単独加点しない。,量的評価C、信頼度92、PER 61.44（公式EPS + 既存株価CSV）、ROE 25.15%、売上成長11.1%、利益成長10.9%、決算後反応 20営業日 対日経 -19.66%、同業比較は使用可 / 質的仮説: 補助仮説 / 確認条件: 未設定 / 同業比較: 補正参考可 / 次作業: 20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 弱い決算後反応の原因を、指数比較・決算内容・過熱度から検算する,決算後反応の注意: 20営業日 対日経 -19.66% / 実績反応が弱いため、構造仮説をそのまま採用しない。 不足: 財務指標未完了 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見 / 除外条件: 20営業日反応の弱さが継続、高PER調整、半導体設備投資の鈍化。,20営業日反応: 2026-05-26 / 弱い反応の原因検算,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 弱い決算後反応の原因を、指数比較・決算内容・過熱度から検算する,反応が弱い理由を検算し、改善根拠がなければ観察枠へ下げる,投資実行判断ではない。NISA 1年保有テスト候補の説明整理。
