updated_at,rank,ticker,company,sector,role,score,grade,quantitative_grade,confidence,numeric_basis,qualitative_driver,confirmation,reject_condition,role_comment,client_explanation,next_action,june_treatment,treatment
2026/05/27 01:48,1,6762.T,TDK,電子部品,主候補,80.9,S,A,100,評価S / 点数80.9 / 量的評価A / 信頼度100 / 5日 対日経 5.5%、20営業日待ち,AIサーバー、HDD/電源周辺部材、電池・磁性材料,電子部品セグメントの売上・利益、受注または会社コメント、AIサーバー関連需要の継続、為替影響を確認。,AI関連コメントが弱い、利益率が悪化、在庫調整や顧客需要鈍化が明記される。,現時点で説明優先。6月イベント後に購入候補として再判定する。,TDKは主候補として扱う。評価S / 点数80.9 / 量的評価A / 信頼度100 / 5日 対日経 5.5%、20営業日待ち。質的材料は「AIサーバー、HDD/電源周辺部材、電池・磁性材料」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,6月イベント後に主候補として再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,2,8316.T,三井住友FG,銀行,主候補,80.9,S,B,95,評価S / 点数80.9 / 量的評価B / 信頼度95 / 5日 対日経 5.99%、20営業日待ち,日銀政策、利ざや、信用コスト、株主還元,資金利益増加、信用コスト抑制、自己株式取得・増配、日銀イベント後の銀行株反応を確認。,信用コスト急増、金利上昇が景気悪化扱いになる、日銀後に銀行株が市場劣後。,現時点で説明優先。6月イベント後に購入候補として再判定する。,三井住友FGは主候補として扱う。評価S / 点数80.9 / 量的評価B / 信頼度95 / 5日 対日経 5.99%、20営業日待ち。質的材料は「日銀政策、利ざや、信用コスト、株主還元」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,6月イベント後に主候補として再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,3,2802.T,味の素,食品,主候補,76.0,A,B,95,評価A / 点数76.0 / 量的評価B / 信頼度95 / 5日 対日経 12.07%、20営業日待ち,食品値上げ耐性、ABF、ヘルスケア、原材料・為替,ABF/ヘルスケアの成長、値上げ後の数量維持、原材料費の吸収、通期見通しの維持を確認。,PERの高さに対して成長鈍化、原材料費再上昇、値上げ後の数量減、下方修正。,現時点で説明優先。6月イベント後に購入候補として再判定する。,味の素は主候補として扱う。評価A / 点数76.0 / 量的評価B / 信頼度95 / 5日 対日経 12.07%、20営業日待ち。質的材料は「食品値上げ耐性、ABF、ヘルスケア、原材料・為替」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,6月イベント後に主候補として再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,4,5020.T,ENEOS HD,エネルギー,比較枠,72.2,B,C,95,評価B / 点数72.2 / 量的評価C / 信頼度95 / 5日 対日経 0.94%、20営業日待ち,原油、精製マージン、中東・海上輸送、脱炭素投資,精製マージン、在庫影響、油価、為替、通期見通しの感応度を確認。,油価下落で在庫評価損、精製マージン悪化、脱炭素投資負担の増加。,候補から外さず、主候補と比較して優位性が出るか確認する。,ENEOS HDは比較枠として扱う。評価B / 点数72.2 / 量的評価C / 信頼度95 / 5日 対日経 0.94%、20営業日待ち。質的材料は「原油、精製マージン、中東・海上輸送、脱炭素投資」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足データまたは反応到達後に主候補化できるか再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,5,6367.T,ダイキン工業,空調,比較枠,70.3,B,C,100,評価B / 点数70.3 / 量的評価C / 信頼度100 / 5日 対日経 1.92%、20営業日待ち,データセンター冷却、地域別空調需要、中国・為替,データセンター/大型空調関連の受注・売上、地域別利益、為替影響、通期見通しを確認。,中国・欧州の需要鈍化、利益率低下、データセンター需要が数字に出ない。,候補から外さず、主候補と比較して優位性が出るか確認する。,ダイキン工業は比較枠として扱う。評価B / 点数70.3 / 量的評価C / 信頼度100 / 5日 対日経 1.92%、20営業日待ち。質的材料は「データセンター冷却、地域別空調需要、中国・為替」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足データまたは反応到達後に主候補化できるか再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,6,6503.T,三菱電機,総合電機,比較枠,70.0,B,C,95,評価B / 点数70.0 / 量的評価C / 信頼度95 / 5日 対日経 1.9%、20営業日待ち,電力・データセンター、FA、設備投資、防衛・宇宙,インフラ・FA・防衛関連の受注または利益改善、電力設備需要の継続を確認。,FA市況低迷、受注鈍化、コスト増、政策テーマが業績に接続しない。,候補から外さず、主候補と比較して優位性が出るか確認する。,三菱電機は比較枠として扱う。評価B / 点数70.0 / 量的評価C / 信頼度95 / 5日 対日経 1.9%、20営業日待ち。質的材料は「電力・データセンター、FA、設備投資、防衛・宇宙」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,不足データまたは反応到達後に主候補化できるか再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,7,8766.T,東京海上HD,保険,反応待ち,66.9,B,B,100,評価B / 点数66.9 / 量的評価B / 信頼度100 / 1日 対日経 -4.68%、5日/20営業日待ち,保険料率、金利、自然災害、政策保有株売却,保険引受利益、資産運用益、政策保有株売却、自然災害損害率を確認。,自然災害損失の増加、保険引受悪化、決算後反応の弱さが継続。,決算後反応が短すぎるため、5営業日・20営業日を確認してから扱いを決める。,東京海上HDは反応待ちとして扱う。評価B / 点数66.9 / 量的評価B / 信頼度100 / 1日 対日経 -4.68%、5日/20営業日待ち。質的材料は「保険料率、金利、自然災害、政策保有株売却」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 5営業日反応を更新し、20営業日反応までの仮扱いとして明記する,不足データまたは反応到達後に主候補化できるか再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,8,4385.T,メルカリ,ネット,補完待ち,65.1,B,保留,87,評価B / 点数65.1 / 量的評価保留 / 信頼度87 / 5日 対日経 7.3%、20営業日待ち,国内消費、FinTech、広告、規制・競争,GMV、MAU、FinTech収益、広告収益、利益率改善、規制リスクの有無を確認。,競争激化、成長鈍化、3Q累計PERを通期PERのように扱えない、同業比較不足。,PERや同業比較など、説明に必要な数値の補完後に再判定する。,メルカリは補完待ちとして扱う。評価B / 点数65.1 / 量的評価保留 / 信頼度87 / 5日 対日経 7.3%、20営業日待ち。質的材料は「国内消費、FinTech、広告、規制・競争」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する / 公式EPS・通期予想・補助PERの整合性を検算する,不足データまたは反応到達後に主候補化できるか再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,9,8306.T,三菱UFJ FG,銀行,補完待ち,65.0,B,C,92,評価B / 点数65.0 / 量的評価C / 信頼度92 / 5日 対日経 2.39%、20営業日待ち,日銀政策、海外金利、株主還元、与信費用,資金利益、ROE、自己株式取得、与信費用、日銀後の銀行株反応を確認。,信用コスト増加、PERが同業より高い状態、金利上昇が景気悪化へ転ぶ。,PERや同業比較など、説明に必要な数値の補完後に再判定する。,三菱UFJ FGは補完待ちとして扱う。評価B / 点数65.0 / 量的評価C / 信頼度92 / 5日 対日経 2.39%、20営業日待ち。質的材料は「日銀政策、海外金利、株主還元、与信費用」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 公式EPS・通期予想・補助PERの整合性を検算する,不足データまたは反応到達後に主候補化できるか再判定,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
2026/05/27 01:48,10,6146.T,ディスコ,半導体装置,検算枠,49.0,C,C,92,評価C / 点数49.0 / 量的評価C / 信頼度92 / 20営業日 対日経 -19.66%,AI半導体、HBM、半導体設備投資、高シェア製造工程,AI/HBM向け需要、受注・出荷、利益率、同業比較、SOXに対する下落耐性を確認。,20営業日反応の弱さが継続、高PER調整、半導体設備投資の鈍化。,テーマ性はあるが、株価反応が弱いため原因検算を優先する。,ディスコは検算枠として扱う。評価C / 点数49.0 / 量的評価C / 信頼度92 / 20営業日 対日経 -19.66%。質的材料は「AI半導体、HBM、半導体設備投資、高シェア製造工程」だが、単独加点せず、確認条件を満たすかで判断する。,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 弱い決算後反応の原因を、指数比較・決算内容・過熱度から検算する,反応が弱い理由を検算し、改善根拠がなければ観察枠へ下げる,NISA 1年保有テスト候補の説明整理。投資実行判断ではない。
