事前順位,ticker,銘柄,業種,現在の扱い,作業分類,事前スコア,長期安定性点,量的点,質的接続,判定段階,理由,次に入れるデータ,10社に残す条件
1,8316.T,三井住友FG,銀行,優先深掘り,確証強化,82.9,83.6,69,金利・銀行/保険(82),A 確認後に候補化可能,既存の量的評価・長期安定性・質的接続がそろう。原資料照合と6月イベント確認で候補化できる。,公式値照合 / 同業中央値比較,公式値照合後に6月イベントで再判定
2,8766.T,東京海上HD,保険,優先深掘り,確証強化,78.3,76.2,74,金利・銀行/保険(78),A 確認後に候補化可能,既存の量的評価・長期安定性・質的接続がそろう。原資料照合と6月イベント確認で候補化できる。,公式値照合 / 同業中央値比較,公式値照合後に6月イベントで再判定
3,8306.T,三菱UFJ FG,銀行,長期浮上・量的補完,量的補完,64.6,81.6,未補完,金利・銀行/保険(82),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
4,7011.T,三菱重工,重工・防衛,長期浮上・量的補完,量的補完,62.6,78.1,未補完,防衛・政策(84),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
5,8058.T,三菱商事,商社,長期浮上・量的補完,量的補完,62.4,78.2,未補完,円安・資源・商社(82),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
6,6501.T,日立製作所,総合電機・IT,長期浮上・量的補完,量的補完,59.6,73.8,未補完,AI・データセンター(82) / 防衛・政策(72),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
7,8031.T,三井物産,商社,長期浮上・量的補完,量的補完,60.1,75.6,未補完,円安・資源・商社(77),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
8,5802.T,住友電工,電線・通信,長期浮上・量的補完,量的補完,58.3,71.4,未補完,AI・データセンター(84),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
9,5801.T,古河電工,電線・通信,テーマ接続確認,仮説検算,58,64.7,68,AI・データセンター(86),C 仮説検算後に比較,テーマ接続は強いが、過熱や最大下落率の確認を先に行う。,過熱・最大下落確認 / 同業中央値比較,仮説と過熱確認後に比較枠へ
10,8001.T,伊藤忠商事,商社,長期浮上・量的補完,量的補完,58.5,72.7,未補完,円安・資源・商社(79),B 量的補完後に再計算,長期では浮上しているが、PER/PBR/ROE、成長率、決算後反応を埋めるまで候補確定にしない。,PER/PBR/ROE / 売上成長率・利益成長率 / 決算後1日/5日/20日反応 / 同業中央値比較,購入候補化前に補完必須
