rank,ticker,name,status,normal_a_ready,financial_gate,event_gate,qualitative_gate,risk_gate,ev_gate,reliability_gate,overheat_gate,expected_value_pct,risk_score,reliability,one_year_pct,max_dd5_pct,d20_excess_pct,financial_evidence,event_evidence,qualitative_evidence,blocking_reason,next_work
1,8316.T,三井住友FG,通常A標準,YES,通過,通過,通過,通過,通過,通過,通過,14.34,58.6,100.0,66.8,-29.4,4.97,経常収益+6.1%・経常利益+34.0%・親会社株主帰属利益+34.4%・EPS411.97円・ROE10.4%・BPS4135.71円・年間配当157円・FY2027会社予想利益1兆7000億円+7.4%を確認,"Notice regarding Difference in Consolidated Financial Results for the Fiscal Year Ended March 31, 2026 Compared to March 31, 2025 / 開示日基準 / D+1 -2.05% / D+5 5.99% / D+20 4.97% / Aイベント条件通過",金利・銀行・株主還元: 主要公式財務はpass。決算後20営業日で対日経平均+4.97%を確認。6月イベント後も+4.31%を確認。 / 金利上昇が必ず利益増になるとは限らない。信用コスト・日銀方針・銀行株全体の反応と併用。,通常A標準の必要根拠を通過,注文前ゲートで当日悪材料・価格・NISA区分・本人操作・配分上限を確認する。
2,6762.T,TDK,通常A標準,YES,通過,通過,通過,通過,通過,通過,通過,12.5,36.4,100.0,146.4,-46.3,41.6,売上+3.0%・営業利益+13.8%・EPS+17.0%・PER26.7倍・PBR2.75倍・ROE9.81%・3Q比で売上とEPS改善,2026年3月期 決算短信〔IFRS〕(連結) / 開示日基準 / D+1 9.03% / D+5 5.50% / D+20 41.60% / Aイベント条件通過,フィジカルAI・電子部品・電源部品: 2026年3月期で売上+3.0%・営業利益+13.8%・EPS+17.0%を確認。決算後20営業日で対日経平均+41.6%を確認。 / AIサーバーやフィジカルAIへの寄与比率は未分離。単独の質的加点ではなく財務・価格・指数条件と併用。,通常A標準の必要根拠を通過,注文前ゲートで当日悪材料・価格・NISA区分・本人操作・配分上限を確認する。
3,8750.T,第一生命HD,通常A標準,YES,通過,通過,通過,通過,通過,通過,通過,7.21,61.6,76.0,55.7,-29.1,11.53,経常収益+14.5%・経常利益-0.3%・親会社株主帰属当期純利益-4.8%・EPS119.83円・ROE11.1%・経常収益経常利益率6.7%・FY2027会社予想経常利益+15.3%・親会社株主帰属純利益+17.5%・EPS142.46円・新契約年換算保険料+5.6%・保有契約年換算保険料+9.6%を確認,2026年3月期決算 / 開示前営業日基準 / D+1 10.60% / D+5 8.94% / D+20 11.53% / 決算反応補助,保険・金利・資産運用: 公式決算で経常収益+14.5%、ROE11.1%、FY2027会社予想の経常利益+15.3%、親会社株主帰属純利益+17.5%、新契約年換算保険料+5.6%、保有契約年換算保険料+9.6%を確認。 / 保険・金利テーマの補助根拠として使う。海外保険、金利変化、保険セクター反応、決算後反応が未接続のため、この材料だけでは買付候補に上げない。,通常A標準の必要根拠を通過,注文前ゲートで当日悪材料・価格・NISA区分・本人操作・配分上限を確認する。
4,6971.T,京セラ,通常A標準,YES,通過,通過,通過,通過,通過,通過,通過,2.66,57.8,54.0,92.3,-32.9,25.99,"売上高2,070,203百万円(+2.8%)・営業利益168,994百万円(+165.6%)・税引前利益140,969百万円(+485.0%)・親会社所有者帰属当期利益118,138百万円(+332.8%)・EPS102.70円・ROE4.3%・年間配当52円・配当性向50.6%・自己株式取得2,000億円完了を確認。半導体関連部品売上379,432百万円(+16.0%)、同税引前利益46,933百万円へ改善。",（訂正）「2026年3月期 決算説明会資料」 / 開示日基準 / D+1 2.02% / D+5 4.55% / D+20 25.99% / Aイベント条件通過,"半導体関連部品・AIデータセンター・半導体製造装置用部品: 公式資料で、半導体関連部品売上379,432百万円(+16.0%)、同税引前利益46,933百万円、情報通信関連市場向けセラミックパッケージ、データセンター向け有機パッケージ、半導体製造装置用部品の販売増を確認。2027年3月期の前提としてAI関連投資の加速も記載。 / 質的材料単独では買付根拠にしない。イベント後20営業日で日経平均比+25.99%を確認したため、公式根拠+市場反応の組み合わせとして通常購入ゲートへ再投入する。",通常A標準の必要根拠を通過,注文前ゲートで当日悪材料・価格・NISA区分・本人操作・配分上限を確認する。
5,6954.T,ファナック,通常A標準,YES,通過,通過,通過,通過,通過,通過,通過,1.16,45.4,78.0,109.7,-39.4,19.29,"売上高857,831百万円(+7.6%)・営業利益183,763百万円(+15.7%)・経常利益227,485百万円(+15.6%)・親会社株主帰属当期純利益166,543百万円(+12.9%)・EPS178.47円・ROE9.3%・営業利益率21.4%・自己資本比率89.2%・BPS1,998.45円・営業CF250,896百万円・FY2027会社予想売上+6.0%/営業利益+15.5%/EPS198.14円を確認",2026年3月期決算 / 開示前営業日基準 / D+1 14.61% / D+5 8.19% / D+20 19.29% / Aイベント条件通過,FA・ロボット・フィジカルAI周辺: 2026年3月期で売上+7.6%、営業利益+15.7%、営業利益率21.4%、自己資本比率89.2%を確認。FA・ロボット需要に対する財務耐性と利益率を確認。 / フィジカルAIという言葉だけで買付根拠にしない。工作機械受注、設備投資循環、中国需要、為替、イベント後反応と併用する。,通常A標準の必要根拠を通過,注文前ゲートで当日悪材料・価格・NISA区分・本人操作・配分上限を確認する。
6,6857.T,アドバンテスト,通常A未達（イベント不足）,NO,通過,不足,不足,不足,通過,通過,条件付き,15.31,31.2,100.0,264.3,-51.4,0.0,売上+44.7%・営業利益+118.8%・EPS+135.6%・PER42倍・PBR24.55倍・ROE57.65%を確認,最新イベント後反応未取得,公式資料で事業寄与・受注・売上比率が未接続,決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(31.2) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。
7,5803.T,フジクラ,通常A未達（イベント不足）,NO,通過,不足,通過,不足,通過,通過,条件付き,13.34,19.5,100.0,367.4,-50.7,0.0,売上+20.7%・営業利益+39.2%・親会社株主帰属利益+72.5%・EPS94.93円・PER48.47倍・PBR13.49倍・ROE32.48%を確認,最新イベント後反応未取得,データセンター・光ファイバー・電線: 2026年3月期は売上+20.7%・営業利益+39.2%・EPS+72.4%。3Q時点でも売上+20.2%・営業利益+47.7%。 / データセンター/光ファイバー需要の仮説は財務成長と整合するが、寄与比率は未分離。1年上昇率346.2%と急落リスクが大きいため買付根拠にはしない。,決算後1日・5日・20営業日の指数比未取得 / リスクスコア不足(19.5) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。
8,8035.T,東京エレクトロン,通常A未達（イベント不足）,NO,通過,不足,通過,不足,通過,通過,条件付き,12.84,27.2,100.0,130.3,-55.8,0.0,売上+0.5%・営業利益-10.4%・EPS1254.57円・ROE29.6%・営業利益率25.6%・FY2027中間会社予想売上+33.1%/営業利益+42.2%を確認,最新イベント後反応未取得,"WFE・半導体製造装置: CY2026〜2027のWFE市場は150〜170Bドル/年、CY2025比+20%以上。先端デバイス向けは+30%以上の見通し。 / 市場見通しだけで購入候補化を確定しない。地政学リスク・SOX・6月イベント後反応・価格過熱を併用。 ｜ 高シェア工程・先端パッケージング: 塗布・現像はシェア90%以上、絶縁膜エッチングはシェア50%以上。先端パッケージングはFY2027売上YoY+60%以上の見通し。 / 高シェアは構造優位の根拠だが、株価上昇の確定根拠ではない。利益率・受注・指数反応と併用する。 ｜ AIサーバー需要・先端ロジック: FY2027上期予想は売上高15,700億円・売上総利益7,150億円・営業利益4,310億円・営業利益率27…",決算後1日・5日・20営業日の指数比未取得 / リスクスコア不足(27.2) / 過熱または5年最大下落が大きい,決算後20営業日または6月イベント後の指数比を再取得する。
9,8306.T,三菱UFJ FG,通常A未達（イベント不足）,NO,通過,未達,通過,通過,通過,通過,通過,10.75,58.2,92.0,57.1,-31.8,0.45,経常収益+7.3%・経常利益+27.7%・親会社株主帰属当期純利益+30.3%・EPS213.17円・ROE11.3%・BPS1973.31円・自己資本比率5.2%・年間配当86円・FY2027親会社株主帰属当期純利益目標27000億円・年間配当予想96円・総自己資本比率16.85%・普通株式等Tier1比率12.47%を確認,2026年3月期 決算短信〔日本基準〕（連結） / 開示日基準 / D+1 3.22% / D+5 2.39% / D+20 0.45% / 補助未達,銀行・金利・資本政策: 2026年3月期は経常収益+7.3%・経常利益+27.7%・純利益+30.3%・ROE11.3%。FY2027純利益目標27000億円・配当予想96円。普通株式等Tier1比率12.47%も確認。 / 金利上昇だけで買付根拠にしない。過去イベント反応が反証注意のため、銀行セクター指数・信用コスト・日銀政策後反応を確認するまで監視,イベント後反応が通常A水準未達,決算後20営業日または6月イベント後の指数比を再取得する。
10,6503.T,三菱電機,通常A未達（イベント不足）,NO,通過,未到達,通過,通過,通過,通過,通過,10.62,56.6,100.0,128.8,-34.0,0.0,売上+7%・営業利益+11%・営業利益率7.3%・ROE9.7%・自己資本比率60.9%・FCF2315億円・FY2027会社予想売上+5%・FY2027調整営業利益+18%,（訂正）「2026年3月期 決算短信〔IFRS〕（連結）」の一部訂正に関するお知らせ / 開示日基準 / D+1 -0.99% / D+5 0.56% / D+20 % / 20営業日未到達,"電力・FA・データセンター周辺: 2026年3月期で売上+7%・営業利益+11%・ROE9.7%・自己資本比率60.9%を確認。ただし決算後20営業日は対日経平均-11.55%。 / 財務は改善しているが株価反応は弱い。質的テーマだけで増額しない。 ｜ エネルギーシステム・データセンター周辺需要: エネルギーシステムは売上高4,733億円（+771）・営業利益453億円（+178）・営業利益率9.6%（+2.7pt）。再生可能エネルギー拡大とデータセンター増設を背景に需要堅調。 / データセンター一般論ではなく、エネルギーシステムの受注・売上・利益率とセットで扱う。決算後20営業日反応は弱いため増額根拠にはしない。 ｜ FA・AI関連半導体設備投資: FAシステムは売上高…",20営業日反応が未到達,決算後20営業日または6月イベント後の指数比を再取得する。
