updated_at,event_type,current_level,priority,missing_work,score_policy
2026/05/26 11:15,TOB/MBO/買収,B: 分類DBあり・株価反応未結合,高,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。
2026/05/26 11:15,上方修正/下方修正,B: 分類DBあり・株価反応未結合,高,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。
2026/05/26 11:15,大型自社株買い/増配,B: 分類DBあり・株価反応未結合,高,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。
2026/05/26 11:15,新商品/新サービス,D: 仮説/分類のみ,高,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,大型契約/受注/提携,B: 分類DBあり・株価反応未結合,高,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。
2026/05/26 11:15,臨床試験/承認/薬価,D: 仮説/分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,CPI/PPI/雇用統計,D: 仮説/分類のみ,高,イベント日カレンダーと対象系列を作成し、株価時系列と結合。,マクロゲートとして手動/別系列で確認。銘柄点への直接加点はしない。
2026/05/26 11:15,為替急変,D: 仮説/分類のみ,高,イベント日カレンダーと対象系列を作成し、株価時系列と結合。,マクロゲートとして手動/別系列で確認。銘柄点への直接加点はしない。
2026/05/26 11:15,原油/ナフサ/商品価格,D: 仮説/分類のみ,高,イベント日カレンダーと対象系列を作成し、株価時系列と結合。,マクロゲートとして手動/別系列で確認。銘柄点への直接加点はしない。
2026/05/26 11:15,戦争/停戦/地政学,D: 仮説/分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,大型スポーツイベント/万博/BIGイベント,D: 仮説/分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,AI/半導体/データセンター投資,D: 仮説/分類のみ,高,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,ビットコイン急落/急騰,D: 仮説/分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,規制/補助金/国策,D: 仮説/分類のみ,高,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,自然災害/災害対策,D: 仮説/分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,決算短信/業績発表,B: 分類DBあり・株価反応未結合,高,TDnet分類済みイベントを株価時系列と結合し、1日/5日/20日超過リターンを計算。,候補発見と確認優先度まで。株価反応を結合するまで本体スコアへ直接加点しない。
2026/05/26 11:15,月次業績,C: 少数分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
2026/05/26 11:15,株式分割,C: 少数分類のみ,中,公式イベント日、対象銘柄、比較指数を定義してから反応計算へ進める。,仮説発見のみ。量的データ、決算、株価反応で検証するまでスコアへ混ぜない。
