updated_at,ticker,company_name,metric_group,score_field,demo_source,demo_value_for_score,current_nisa_score,demo_gate_status,estimated_component_effect,demo_reference_score,score_component,rule,caution,source_url
2026/05/19 17:27,2802.T,味の素,sales,sales_growth_pct,既存MVP値,3.5,66.7,動作確認通過,0.4,67.1,growth_score,売上成長率がプラスなら成長力を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:27,2802.T,味の素,eps,eps_growth_pct,既存MVP値,98.3,66.7,動作確認通過,2,68.7,growth_score,EPS成長率がプラスなら株主価値を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:27,2802.T,味の素,dividend,dividend_yield_pct,既存MVP値,0.89,66.7,動作確認通過,0.3,67,shareholder_return_score,配当利回りが確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:27,2802.T,味の素,buyback,buyback_amount_million_yen,既存MVP値,,66.7,値なし・停止,0,66.7,shareholder_return_score,自社株買い金額が確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:27,2802.T,味の素,operating_profit,operating_profit_growth_pct,既存MVP値,13.7,66.7,動作確認通過,1.4,68.1,growth_score,営業利益成長率がプラスなら成長力を強く補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://news.ajinomoto.co.jp/2026/05/2026_05_07_03.pdf
2026/05/19 17:27,6857.T,アドバンテスト,sales,sales_growth_pct,既存MVP値,44.7,53.4,動作確認通過,2.5,55.9,growth_score,売上成長率がプラスなら成長力を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:27,6857.T,アドバンテスト,eps,eps_growth_pct,既存MVP値,,53.4,値なし・停止,0,53.4,growth_score,EPS成長率がプラスなら株主価値を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:27,6857.T,アドバンテスト,dividend,dividend_yield_pct,既存MVP値,,53.4,値なし・停止,0,53.4,shareholder_return_score,配当利回りが確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:27,6857.T,アドバンテスト,buyback,buyback_amount_million_yen,既存MVP値,,53.4,値なし・停止,0,53.4,shareholder_return_score,自社株買い金額が確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:27,6857.T,アドバンテスト,operating_profit,operating_profit_growth_pct,既存MVP値,118.8,53.4,動作確認通過,3,56.4,growth_score,営業利益成長率がプラスなら成長力を強く補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www2.jpx.co.jp/disc/68570/140120260427511547.pdf
2026/05/19 17:27,7974.T,任天堂,sales,sales_growth_pct,既存MVP値,99.3,58.2,動作確認通過,2.5,60.7,growth_score,売上成長率がプラスなら成長力を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:27,7974.T,任天堂,dividend,dividend_yield_pct,既存MVP値,2.55,58.2,動作確認通過,0.9,59.1,shareholder_return_score,配当利回りが確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:27,7974.T,任天堂,operating_profit,operating_profit_growth_pct,既存MVP値,21.3,58.2,動作確認通過,2.1,60.3,growth_score,営業利益成長率がプラスなら成長力を強く補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:27,7974.T,任天堂,eps,eps_growth_pct,既存MVP値,51.3,58.2,動作確認通過,2,60.2,growth_score,EPS成長率がプラスなら株主価値を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:27,7974.T,任天堂,buyback,buyback_amount_million_yen,既存MVP値,,58.2,値なし・停止,0,58.2,shareholder_return_score,自社株買い金額が確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.nintendo.co.jp/ir/pdf/2026/260203.pdf
2026/05/19 17:27,8035.T,東京エレクトロン,dividend,dividend_yield_pct,既存MVP値,1.25,57.1,動作確認通過,0.4,57.5,shareholder_return_score,配当利回りが確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:27,8035.T,東京エレクトロン,eps,eps_growth_pct,既存MVP値,6.1,57.1,動作確認通過,0.6,57.7,growth_score,EPS成長率がプラスなら株主価値を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:27,8035.T,東京エレクトロン,sales,sales_growth_pct,既存MVP値,0.5,57.1,動作確認通過,0.1,57.2,growth_score,売上成長率がプラスなら成長力を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:27,8035.T,東京エレクトロン,operating_profit,operating_profit_growth_pct,既存MVP値,-10.4,57.1,動作確認通過,0,57.1,growth_score,営業利益成長率がプラスなら成長力を強く補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:27,8035.T,東京エレクトロン,buyback,buyback_amount_million_yen,既存MVP値,,57.1,値なし・停止,0,57.1,shareholder_return_score,自社株買い金額が確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.tel.co.jp/ir/library/report/jngpc500000000l6-att/fy26q4tanshin-j.pdf
2026/05/19 17:27,8058.T,三菱商事,cash_flow,fcf_amount_million_yen,既存MVP値,1041457,58.6,動作確認通過,2,60.6,financial_safety_score,FCFがプラスなら財務安全性を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:27,8058.T,三菱商事,sales,sales_growth_pct,既存MVP値,1.6,58.6,動作確認通過,0.2,58.8,growth_score,売上成長率がプラスなら成長力を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:27,8058.T,三菱商事,dividend,dividend_yield_pct,既存MVP値,1.89,58.6,動作確認通過,0.6,59.2,shareholder_return_score,配当利回りが確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
2026/05/19 17:27,8058.T,三菱商事,buyback,buyback_amount_million_yen,既存MVP値,,58.6,値なし・停止,0,58.6,shareholder_return_score,自社株買い金額が確認できれば株主還元を補強,PDF原文照合済みの正式値ではないため、本体スコアへは反映しない,https://www.mitsubishicorp.com/jp/en/ir/library/earnings/pdf/202605e.pdf
