updated_at,event_id,ticker,company,lane,event_theme,qualitative_signal,hypothesis_layer,prior_hypothesis_note,event_date,event_source,benchmark,stock_price_before,stock_price_1d,stock_price_5d,stock_price_20d,benchmark_before,benchmark_1d,benchmark_5d,benchmark_20d,stock_return_1d_pct,stock_return_5d_pct,stock_return_20d_pct,benchmark_return_1d_pct,benchmark_return_5d_pct,benchmark_return_20d_pct,excess_return_1d_pct,excess_return_5d_pct,excess_return_20d_pct,direction_match,evidence_rating,score_policy,purchase_status,note
2026/05/26 17:03,6762-01,6762.T,TDK,A 先行観察,AIサーバー需要,データセンター増設、AIサーバー投資、電源部品需要,電子部品需要の増加が確認できれば追い風,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,DRYRUN-2026-06,架空検算データ,日経平均 / TOPIX / 電子部品同業,1000,1035,1070,1100,40000,40200,40400,40600,3.5,7,10,0.5,1,1.5,3,6,8.5,一致,S,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,6762-02,6762.T,TDK,A 先行観察,為替・海外売上,円安、海外売上比率、材料費,円安は売上換算に追い風だが材料費上昇は逆風,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,DRYRUN-2026-06,架空検算データ,日経平均 / ドル円,1000,1010,1015,1025,40000,40200,40300,40400,1,1.5,2.5,0.5,0.75,1,0.5,0.75,1.5,一致,A,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,6762-03,6762.T,TDK,A 先行観察,電池・磁性材料,EV、蓄電池、HDD/データセンター関連部品,AI周辺需要が電子部品の構造需要へ波及するか確認,AIサーバーと電源・受動部品需要が伸びるとTDKの電子部品需要へ接続する可能性。,DRYRUN-2026-06,架空検算データ,日経平均 / 電子部品同業,1000,990,985,980,40000,40100,40200,40300,-1,-1.5,-2,0.25,0.5,0.75,-1.25,-2,-2.75,一致,C,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,2802-01,2802.T,味の素,B 補完後候補,食品値上げ耐性,食品価格、原材料価格、値上げ浸透,値上げ後も販売数量が崩れなければ利益率改善の可能性,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,DRYRUN-2026-06,架空検算データ,TOPIX / 食品同業,1000,1040,1030,1015,40000,40400,40500,40600,4,3,1.5,1,1.25,1.5,3,1.75,0,短期のみ,A,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,2802-02,2802.T,味の素,B 補完後候補,ABF・ヘルスケア,半導体材料ABF、アミノ酸、ヘルスケア売上,高PERを正当化できる成長が続くか確認,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,DRYRUN-2026-06,架空検算データ,TOPIX / 食品同業 / 半導体材料関連,1000,1005,1045,1085,40000,39900,40000,40100,0.5,4.5,8.5,-0.25,0,0.25,0.75,4.5,8.25,一致,S,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,2802-03,2802.T,味の素,B 補完後候補,円安・原材料,為替、穀物、物流費、エネルギー価格,原価上昇が利益を圧迫しないか確認,食品の値上げ耐性とABF/ヘルスケア成長が利益率を支えれば評価される可能性。,DRYRUN-2026-06,架空検算データ,日経平均 / ドル円,1000,960,940,925,40000,39200,39000,38800,-4,-6,-7.5,-2,-2.5,-3,-2,-3.5,-4.5,逆方向,C,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,8766-01,8766.T,東京海上HD,B 補完後候補,保険料率・金利,保険料改定、国内外金利、運用収益,金利上昇と保険料率改善が利益へつながるか確認,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,DRYRUN-2026-06,架空検算データ,TOPIX / 保険同業,1000,1020,1035,1048,40000,40050,40100,40150,2,3.5,4.8,0.13,0.25,0.38,1.87,3.25,4.42,一致,S,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,8766-02,8766.T,東京海上HD,B 補完後候補,自然災害・損害率,台風、豪雨、地震、損害率,大規模災害による損害率悪化を確認,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,DRYRUN-2026-06,架空検算データ,TOPIX / 保険同業,1000,1008,1002,1003,40000,40000,40000,40000,0.8,0.2,0.3,0,0,0,0.8,0.2,0.3,一致,B,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,8766-03,8766.T,東京海上HD,B 補完後候補,政策保有株売却,政策保有株売却、自己株買い、株主還元,資本効率改善が株価評価に反映されるか確認,金利上昇と政策保有株売却・還元が評価されやすい一方、災害損失で揺れる。,DRYRUN-2026-06,架空検算データ,TOPIX / 保険同業,1000,1030,1060,1065,40000,40100,40250,40300,3,6,6.5,0.25,0.63,0.75,2.75,5.37,5.75,一致,S,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
2026/05/26 17:03,8316-01,8316.T,三井住友FG,B 補完後候補,日銀・金利,日銀会合、長短金利、利ざや,金利上昇が利ざや改善につながるか確認,金利上昇は利ざや改善に効くが、急な景気悪化や信用コスト上昇で相殺される。,DRYRUN-2026-06,架空検算データ,TOPIX / 銀行指数,1000,1002,1005,1007,40000,40100,40200,40300,0.2,0.5,0.7,0.25,0.5,0.75,-0.05,0,-0.05,一致,B,仮説だけでは加点しない。実績入力後に説明材料または候補維持条件として使う。,購入判断不可,ドライラン用の架空値。実績値ではない。
