theme_id,capital_chain_score,score_reason
AI_DATA_CENTER,90,AI需要からデータセンター・電力・冷却・光ファイバー・半導体装置へ需要連鎖が複数段で説明できる
RATE_BANK,84,金利上昇が銀行・保険の利ざやや運用収益に直接つながりやすい
YEN_RESOURCE,82,円安と資源価格が商社・資源関連の利益と還元期待につながりやすい
NAPHTHA_CHEM,74,原料価格から化学品採算へつながるが価格転嫁力の確認が必須
PRICE_PASS,76,物価高から値上げ力へつながるが数量減と利益率悪化の確認が必須
DEFENSE_POLICY,86,国策・安全保障予算から受注残へつながりやすい
DISASTER_INFRA,70,復旧・強靭化需要は説明しやすいが一時需要と継続需要の区別が必要
HEALTHCARE_POLICY,72,承認・薬価・高齢化は材料になるが個別薬剤依存が大きい
INBOUND_CONSUMPTION,68,訪日需要と月次売上の連動は確認できるが利益率の確認が必要
IPO_LISTING_EVENT,66,イベント性は強いが需給要因が中心で長期保有根拠とは分離が必要
