rank,ticker,name,action,final_score,pre_score,quant_score,financial_score,qualitative_score,event_score,benchmark_score,risk_score,reliability,ev_score,implied_gate_penalty,pre_score_formula,final_score_formula,gate_notes,missing_items,data_sources,audit_note
1,8316.T,三井住友FG,購入候補,66.8,64.7,51.1,86.0,65.0,72.2,46.9,58.6,100.0,79.8,0.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,,,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
2,8053.T,住友商事,購入候補,66.6,64.4,59.8,81.0,65.0,52.6,57.6,53.1,100.0,80.0,0.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,,,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
3,6501.T,日立製作所,購入候補,58.4,56.2,41.7,73.0,65.0,63.4,34.6,47.4,100.0,71.5,0.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,,,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
4,8058.T,三菱商事,調査優先,57.6,58.5,54.9,62.0,65.0,54.3,51.6,56.5,78.0,73.8,3.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務は補助データ,公式決算原本照合 / 売上前年比 / 利益前年比,補助財務 / 補助イベント反応 / 補助質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
5,6503.T,三菱電機,小口,57.5,62.1,61.9,51.0,64.0,68.2,61.9,56.6,88.0,72.1,6.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務partial,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
6,6762.T,TDK,小口,56.0,60.5,68.4,51.0,56.0,57.6,68.1,36.4,88.0,71.3,6.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務partial,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,公式財務確認 / 6月イベント / チャンネル質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
7,8411.T,みずほFG,調査優先,55.4,56.9,51.9,83.0,50.0,50.0,50.7,50.9,62.0,67.1,2.9,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務は補助データ,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
8,8031.T,三井物産,調査優先,53.4,54.5,52.6,62.0,55.0,50.0,51.2,47.3,70.0,68.0,3.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務は補助データ,公式決算原本照合,補助財務 / 補助質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
9,8750.T,第一生命HD,調査優先,52.7,54.6,44.6,86.0,50.0,50.0,36.7,61.6,62.0,62.3,3.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務は補助データ,公式決算原本照合,補助財務 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
10,8306.T,三菱UFJ FG,監視,50.5,55.6,49.8,68.0,65.0,41.3,44.8,58.2,78.0,69.4,7.0,事前スコア = 量的31% + 財務17% + 質的15% + イベント14% + 指数10% + リスク8% + 信頼度5%,総合点 = 事前スコア86% + 信頼度補正後EVスコア14% - ゲート減点,財務補助データに注意,公式決算原本照合 / PER,補助財務 / 補助イベント反応 / 補助質的 / 価格,点数は候補比較用。ゲート減点や未確認項目がある場合、総合点が高くても買付対象とは限らない。
