updated_at,order,ticker,company,status,priority,next_trigger,data_task,source_basis,output,treatment
2026/05/26 23:30,1,6762.T,TDK,説明優先,高,20営業日反応: 2026-06-01,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,2026-04-28決算 / 1日 9.03% / 5日 5.5% / 20営業日 2026-06-01,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,2,8316.T,三井住友FG,説明優先,高,20営業日反応: 2026-06-10,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する,2026-05-13決算 / 1日 -2.05% / 5日 5.99% / 20営業日 2026-06-10,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,3,2802.T,味の素,説明優先,高,20営業日反応: 2026-06-04 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,2026-05-07決算 / 1日 1.64% / 5日 12.07% / 20営業日 2026-06-04,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,4,5020.T,ENEOS HD,比較維持,中,20営業日反応: 2026-06-11 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,2026-05-14決算 / 1日 7.35% / 5日 0.94% / 20営業日 2026-06-11,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,5,6367.T,ダイキン工業,比較維持,中,20営業日反応: 2026-06-09 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,2026-05-12決算 / 1日 6.08% / 5日 1.92% / 20営業日 2026-06-09,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,6,6503.T,三菱電機,比較維持,中,20営業日反応: 2026-06-01 / 同業比較または広義比較の不足確認,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する,2026-04-28決算 / 1日 3.57% / 5日 1.9% / 20営業日 2026-06-01,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,7,8766.T,東京海上HD,反応更新待ち,要確認,20営業日反応: 2026-06-17 / 5営業日反応の更新,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 5営業日反応を更新し、20営業日反応までの仮扱いとして明記する,2026-05-20決算 / 1日 -4.68% / 5日 未到達 / 20営業日 2026-06-17,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,8,4385.T,メルカリ,補完後に再判定,要確認,20営業日反応: 2026-06-08 / 同業比較または広義比較の不足確認 / 公式値または説明補助値の検算,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 同業比較または広義同業比較の不足理由を確認し、説明欄へ反映する / 公式EPS・通期予想・補助PERの整合性を検算する,2026-05-11決算 / 1日 -2.42% / 5日 7.3% / 20営業日 2026-06-08,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,9,8306.T,三菱UFJ FG,補完後に再判定,要確認,20営業日反応: 2026-06-12 / 公式値または説明補助値の検算,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 公式EPS・通期予想・補助PERの整合性を検算する,2026-05-15決算 / 1日 3.22% / 5日 2.39% / 20営業日 2026-06-12,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
2026/05/26 23:30,10,6146.T,ディスコ,検算優先,高,20営業日反応: 2026-05-26 / 弱い反応の原因検算,20営業日到達日に、対象銘柄と日経平均のリターン差を更新する / 弱い決算後反応の原因を、指数比較・決算内容・過熱度から検算する,2026-04-22決算 / 1日 -3.03% / 5日 -0.59% / 20営業日 2026-05-26,1社別メモ、選定ドラフト、説明ブリーフを更新,確認結果がそろうまで投資実行判断には使わない。未取得値は点数へ混ぜない。
