step,process,input,calculation_or_judgement,output,reason
1,母集団作成,公式決算・株価・業界テーマ候補,100社前後を対象化,比較対象リスト,恣意的に10社を選ばないため
2,量的スコア算出,成長性・収益性・割安・財務安全性・株価反応・下落耐性,量的スコア = 企業財務60% + 株価反応40%,量的S-A-B-C,1年保有では実績数値を優先するため
3,量的ハードゲート,未取得・過熱・急落・極端PER/PBR・反応悪化,該当ありなら購入候補にしない,通過/保留/除外,高スコアでも危険な銘柄を止めるため
4,質的仮説レーティング,戦争・停戦・新技術・BTC暴落・商品価格・規制など,仮説スコア = 因果経路25% + 企業感応度25% + 継続期間20% + 逆方向リスク15% + 情報源15%,質的仮説S-A-B-C,時流に合う候補を見つけるため
5,質的実績レーティング,過去イベント後リターン・相関・業績KPI接続・事例数,実績スコア = イベント後超過リターン35% + 相関25% + KPI接続25% + 事例数15%,質的実績S-A-B-C,仮説だけで点数を上げないため
6,質的総合判定,仮説スコア・実績スコア,質的総合 = 実績60% + 仮説40%。ただし実績Cなら総合B上限,質的S-A-B-C,話題性より再現性を重くするため
7,二軸統合,量的スコア・質的総合・ゲート結果,テスト優先度 = 量的70% + 質的実績20% + 質的仮説10%,総合順位,質的データより量的データを重視するため
8,10社選出,総合順位・セクター偏り・リスク,量的B以上かつデータ信頼度70以上を基本条件。質的Sでも量的Cなら除外,テスト候補10社,イベントだけで買い候補化しないため
9,購入前再判定,6月イベント・最新決算・指数比較,市場ゲートと銘柄別ゲートを通過したものだけ購入検討,購入検討/延期/除外,テスト候補と購入判断を分けるため
10,予実記録,予測スコア・実際のリターン・指数差,予測誤差 = 実績 - 予測。外れた理由を記録,モデル修正ログ,次回の精度改善に使うため
