updated_at,ticker,company,period_type,period,release_date,source_kind,verified_status,local_text_status,sales_million_yen,sales_yoy_pct,profit_metric,profit_million_yen,profit_yoy_pct,net_profit_million_yen,net_profit_yoy_pct,eps_yen,prior_eps_yen,eps_yoy_calc_pct,source_url,note
2026/05/22 15:07,6857.T,アドバンテスト,最新,2026年3月期,2026-04-27,公式PDF,公式PDF確認済,抽出不可,1128610,44.7,営業利益,499120,118.8,375353,132.9,515.15,218.67,135.6,https://www.advantest.com/document/ja/investors/ir-library/result/J_FR_FY2025_FN.pdf,AI関連の高性能半導体向けテスタ需要拡大。ローカルpypdfは暗号化で失敗したため、PDF本文確認で入力。
2026/05/22 15:07,6857.T,アドバンテスト,1つ前,2026年3月期3Q,2026-01-28,公式PDF,公式PDF確認済,抽出不可,800537,46.3,営業利益,346006,110.8,248526,105,340.6,164.21,107.4,https://www.advantest.com/document/ja/investors/ir-library/result/J_FR_FY2025_3Q.pdf,"通期見通しを売上1,070,000百万円、営業利益454,000百万円へ更新していた時点。"
2026/05/22 15:07,5801.T,古河電工,最新,2026年3月期,2026-05-12,公式PDF,公式PDF確認済,抽出成功,1307560,8.8,営業利益,63856,35.8,72514,117.4,1030.17,473.36,117.6,https://www.furukawaelectric.com/ir/library/finalreport/pdf/2026/20260512.pdf,利益成長が売上成長を上回る。採算改善の確認対象。
2026/05/22 15:07,5801.T,古河電工,1つ前,2026年3月期3Q,2026-02-09,公式PDF,公式PDF確認済,抽出成功,948887,7.6,営業利益,35137,11.9,35505,117,504.31,232.17,117.2,https://www.furukawaelectric.com/ir/library/finalreport/pdf/2026/20260209.pdf,3Q時点で通期業績予想と配当予想の修正あり。
2026/05/22 15:07,6920.T,レーザーテック,最新,2026年6月期3Q,2026-04-30,TDnet PDF,TDnet PDF確認済,抽出成功,169539,0.4,営業利益,78191,-1.4,56823,7.8,632.49,584.27,8.3,https://www2.jpx.co.jp/disc/69200/140120260430514363.pdf,売上は微増だが営業利益は前年同期比で小幅減。半導体テーマだけで強いとは判定しない。
2026/05/22 15:07,6920.T,レーザーテック,1つ前,2026年6月期中間期,2026-01-30,TDnet PDF,TDnet PDF確認済,抽出成功,128258,-0.6,営業利益,62991,-1.1,45745,5.6,508.61,480.31,5.9,https://www2.jpx.co.jp/disc/69200/140120260130542527.pdf,2Q時点から売上前年比は改善したが、営業利益前年比はまだマイナス圏。
2026/05/22 15:07,5803.T,フジクラ,最新,2026年3月期,2026-05-14,TDnet PDF,TDnet PDF確認済,抽出不可,1182358,20.7,営業利益,188707,39.2,157163,72.5,94.93,55.05,72.4,https://www2.jpx.co.jp/disc/58030/140120260514532598.pdf,決算短信本文で確認。ローカルpypdfは暗号化で失敗したため、PDF本文確認で入力。
2026/05/22 15:07,5803.T,フジクラ,1つ前,2026年3月期3Q,2026-02-09,TDnet PDF,TDnet PDF確認済,抽出不可,854931,20.2,営業利益,142196,47.7,111935,89.4,405.67,214.2,89.4,https://www2.jpx.co.jp/disc/58030/140120260206550168.pdf,4月1日付の株式分割前のEPS表示。最新期のEPSと単純比較する場合は分割影響に注意。
2026/05/22 15:07,9984.T,ソフトバンクG,最新,2026年3月期,2026-05-13,公式PDF,公式PDF確認済,抽出不可,7798650,7.7,税引前利益,6134905,259.9,5002271,333.7,873.51,195.2,347.5,https://group.softbank/media/Project/sbg/sbg/pdf/ir/financials/financial_reports/financial-report_q4fy2025_01_ja.pdf,投資会社性が強く、営業利益比較ではなく税引前利益を暫定使用。他社との横比較は別枠扱い。
2026/05/22 15:07,9984.T,ソフトバンクG,1つ前,2026年3月期3Q,2026-02-12,公式PDF,公式PDF確認済,抽出成功,5719247,7.9,税引前利益,4169160,228,3172653,398.7,553.47,106.68,418.8,https://group.softbank/media/Project/sbg/sbg/pdf/ir/financials/financial_reports/financial-report_q3fy2025_01_ja.pdf,SVFなど投資損益の影響が大きい。通常の事業会社スコアへ混ぜる前に補正が必要。
