updated_at,selection_rank,ticker,company,current_role,quantitative_grade,qualitative_status,action_status,selection_reason,remaining_check,next_action,external_route,purchase_status
2026/05/26 18:41,1,6762.T,TDK,最初に確認,A,仮説のみ 3件・未加点,6月実数入力後、最初に判定する,一次候補。データ完成度が最も高いが、イベント因果は未完了。 数値: PER 26.7 / PBR 2.75 / ROE 9.81% / 売上 13.6% / 利益 21.5%,イベント因果未完了,イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,現時点では追加ルート不要,購入判断ではない
2026/05/26 18:41,2,2802.T,味の素,補完後に確認,B,仮説のみ 3件・未加点,不足補完後、6月実数入力で判定する,補完後候補。財務・+1%接続は概ねあるが、決算後反応または同業補正を確認する。 数値: PER 43.73 / PBR 6.81 / ROE 17.75% / 売上 3.5% / 利益 75%,決算後反応未完了または未到達 / 業種別補正未完了,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。,同業中央値:同業2社以上のJ-Quantsまたは会社IR指標,購入判断ではない
2026/05/26 18:41,3,8766.T,東京海上HD,補完後に確認,B,仮説のみ 3件・未加点,不足補完後、6月実数入力で判定する,補完後候補。財務・+1%接続は概ねあるが、決算後反応または同業補正を確認する。 数値: PER 17.61 / PBR 2.7 / ROE 18.68% / 売上 5.1% / 利益 -7.6%,決算後反応未完了または未到達 / イベント因果未完了,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,現時点では追加ルート不要,購入判断ではない
2026/05/26 18:41,4,8316.T,三井住友FG,補完後に確認,B,仮説のみ 3件・未加点,不足補完後、6月実数入力で判定する,補完後候補。財務・+1%接続は概ねあるが、決算後反応または同業補正を確認する。 数値: PER 13.61 / PBR 1.47 / ROE 10.38% / 売上 6.1% / 利益 34%,決算後反応未完了または未到達 / イベント因果未完了,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,現時点では追加ルート不要,購入判断ではない
2026/05/26 18:41,5,8306.T,三菱UFJ FG,補完後に確認,C,仮説のみ 3件・未加点,不足補完後、6月実数入力で判定する,補完後候補。財務・+1%接続は概ねあるが、決算後反応または同業補正を確認する。 数値: PER 未取得 / PBR 1.56 / ROE 11.34% / 売上 7.3% / 利益 27.7%,財務指標未完了 / 業種別補正未完了,PER/PBR/ROE、売上成長、利益成長の欠けを公式決算または既存CSVで補完。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。,PER:J-Quantsまたは会社IR EPS + 株価,購入判断ではない
2026/05/26 18:41,6,6367.T,ダイキン工業,補完後に確認,C,仮説のみ 3件・未加点,不足補完後、6月実数入力で判定する,補完後候補。財務・+1%接続は概ねあるが、決算後反応または同業補正を確認する。 数値: PER 24.97 / PBR 2.14 / ROE 9.1% / 売上 5.5% / 利益 3.3%,決算後反応未完了または未到達 / イベント因果未完了,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,現時点では追加ルート不要,購入判断ではない
2026/05/26 18:41,7,6503.T,三菱電機,補完後に確認,C,仮説のみ 3件・未加点,不足補完後、6月実数入力で判定する,補完後候補。財務・+1%接続は概ねあるが、決算後反応または同業補正を確認する。 数値: PER 26.09 / PBR 2.76 / ROE 9.67% / 売上 6.8% / 利益 10.5%,決算後反応未完了または未到達 / イベント因果未完了,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,現時点では追加ルート不要,購入判断ではない
2026/05/26 18:41,8,5020.T,ENEOS HD,補完優先,C,仮説のみ 3件・未加点,補完が進めば候補、進まなければ観察のみ,補完優先。テーマ性はあるが、残課題が多いため10社内では観察寄り。 数値: PER 8.36 / PBR 1.03 / ROE 8.00% / 売上 -4.5% / 利益 339.8%,決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了,20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,同業中央値:同業2社以上のJ-Quantsまたは会社IR指標,購入判断ではない
2026/05/26 18:41,9,6146.T,ディスコ,補完優先,C,仮説のみ 3件・未加点,補完が進めば候補、進まなければ観察のみ,補完優先。テーマ性はあるが、残課題が多いため10社内では観察寄り。 数値: PER 未取得 / PBR 12.32 / ROE 25.15% / 売上 11.1% / 利益 10.9%,財務指標未完了 / 業種別補正未完了 / イベント因果未完了,PER/PBR/ROE、売上成長、利益成長の欠けを公式決算または既存CSVで補完。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,PER:J-Quantsまたは会社IR EPS + 株価,購入判断ではない
2026/05/26 18:41,10,4385.T,メルカリ,補欠比較,保留,仮説のみ 3件・未加点,現段階では補欠。10社枠の比較対象に残す,補欠保留。点数は高いが不足が多く、候補確定にはまだ早い。 数値: PER 未取得 / PBR 5.79 / ROE 30.52% / 売上 2.8% / 利益 59.2%,財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了,PER/PBR/ROE、売上成長、利益成長の欠けを公式決算または既存CSVで補完。20営業日が未到達なら未到達として固定し、1日/5日反応だけ別枠で記録。同業比較を最低2社以上に増やしてPER/PBR/ROEの相対位置を確認。イベント日と株価時系列を結合し、1日/5日/20日超過リターン欄へ接続。,PER:J-Quantsまたは会社IR EPS + 株価 / 同業中央値:同業2社以上のJ-Quantsまたは会社IR指標,購入判断ではない
