銘柄,役割,現在分類,財務ゲート,リスク,予定比率,初回買付方針,下値ルール,上値ルール,途中決済,追加買付,ストップ安級対応,注文票
8053.T 住友商事,中心候補,再選定候補,財務確認済み,中,18.75%,イベント・口座未完了のため0円,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,下方修正、還元姿勢悪化、指数劣後が重なる場合は一部売却候補,指数+1%以上の優位が続き、6月ゲートが緑の場合のみ追加検討,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
8316.T 三井住友FG,中心候補,再選定候補,財務確認済み,中,18.75%,イベント・口座未完了のため0円,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,下方修正、還元姿勢悪化、指数劣後が重なる場合は一部売却候補,指数+1%以上の優位が続き、6月ゲートが緑の場合のみ追加検討,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
6501.T 日立製作所,中心候補,再選定候補,財務確認済み,中高,18.75%,イベント・口座未完了のため0円,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,決算後反応が悪化し、指数にも劣後する場合は一部売却候補,指数+1%以上の優位と財務確認がそろった場合のみ追加検討,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
6503.T 三菱電機,条件付き候補,再選定候補,財務確認が必要,中,6.25%,イベント・口座未完了のため0円,買値から-7%で追加停止、-12%で保有理由を再点検、-18%で縮小候補,+20%以上で目標比率超過なら一部利確を確認,下方修正、還元姿勢悪化、指数劣後が重なる場合は一部売却候補,指数+1%以上の優位が続き、6月ゲートが緑の場合のみ追加検討,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
6857.T アドバンテスト,条件付き候補,監視,財務確認が必要,中高,6.25%,イベント・口座未完了のため0円,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,決算後反応が悪化し、指数にも劣後する場合は一部売却候補,指数+1%以上の優位と財務確認がそろった場合のみ追加検討,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
8035.T 東京エレクトロン,条件付き候補,監視,財務確認が必要,高,6.25%,イベント・口座未完了のため0円,買値から-5%で追加停止、-10%で保有理由を再点検、-15%で縮小候補,+15%以上かつ出来高急増なら、目標比率超過分の利確を確認,指数にも劣後、または決算根拠が崩れた場合は一部売却候補,指数+1%以上の優位、決算後反応改善、材料継続の3条件がそろうまで追加しない,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
7011.T 三菱重工業,条件付き候補,除外,財務確認が必要,高,6.25%,イベント・口座未完了のため0円,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,保有していない前提。保有済みなら追加停止し、売却候補として再審査,追加不可,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
6762.T TDK,条件付き候補,再選定候補,財務確認が必要,中高,6.25%,イベント・口座未完了のため0円,買値から-6%で追加停止、-11%で保有理由を再点検、-15%で縮小候補,+18%以上で目標比率超過なら一部利確を確認,決算後反応が悪化し、指数にも劣後する場合は一部売却候補,指数+1%以上の優位と財務確認がそろった場合のみ追加検討,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
6146.T ディスコ,条件付き候補,除外,財務確認が必要,高,6.25%,イベント・口座未完了のため0円,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,保有していない前提。保有済みなら追加停止し、売却候補として再審査,追加不可,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
5803.T フジクラ,条件付き候補,除外,財務確認が必要,高,6.25%,イベント・口座未完了のため0円,購入対象に戻す前に、直近60日・決算後20営業日・最大下落理由を再確認,購入対象外のため利確ルールではなく監視ルールで扱う,保有していない前提。保有済みなら追加停止し、売却候補として再審査,追加不可,当日は買い増し禁止。翌営業日に出来高、気配、指数差、会社発表、テーマ崩れの有無を確認して再判定,現時点は注文不可
