no,item,status,importance,why_it_matters,done,next_action,blocker,purchase_impact
1,候補10社の公式決算確認,一部完了,最重要,売上、利益、EPS、ROE、PER/PBRの確認が弱い銘柄は、株価やテーマだけで選んだように見える。,最終ロジック、判定ワークベンチ、銘柄別アクション票に未確認データの扱いを反映。,中心候補に残す銘柄から公式決算・IR・信頼できる指標を補完する。,公式資料確認、または信頼できるデータソースの補完が必要。,中心候補の必須項目が未確認なら購入判断に進めない。
2,6月イベント後の実データ入力,入力待ち,最重要,CPI、日銀、FOMC後の金利・為替・指数反応が入らないと、6月に買える環境か判断できない。,実数入力シート、イベント判定エンジン、購入前ゲートを作成。,6/10、6/15〜16、6/16〜17後に実数を入力し、緑・黄・赤を記録する。,イベント日到来後の実データが必要。,赤なら停止。黄なら保守配分。緑なら候補別に再判定。
3,決算後反応の検証,一部完了,高,決算数字が良くても株価が買われない場合があるため、決算後1日・5日・20営業日の反応を見る必要がある。,決算後反応を判定項目に組み込み、未到達・未確認を別扱いにした。,中心候補から順に、決算後反応と指数差を補完する。,決算日、株価時系列、指数時系列の結合が必要。,反応が未確認なら条件付きまたは補欠扱い。
4,質的テーマの実績検証,作業中,高,半導体、AIインフラ、電力、フィジカルAI、量子を思いつきで加点しないため、仮説と実績を分ける必要がある。,3チャンネル、フィジカルAI、量子を分離し、購入候補と監視枠を混同しない構造にした。,各テーマのニュース、受注、決算寄与、過去株価反応を別々に記録する。,ニュース本文、公式IR、過去イベント反応の追加確認が必要。,仮説だけのテーマは購入候補ではなく監視枠。
5,100社母集団の固定性,一部完了,高,母集団が曖昧だと、後から都合の良い銘柄を選んだように見える。,100社母集団、3チャンネル、最終ロジックを分けて表示。,時価総額、流動性、成長率、除外条件、テーマ分類を固定ルールとして明文化する。,候補群の採用・除外理由の棚卸しが必要。,母集団が説明できない候補は顧客説明で弱くなる。
6,銘柄別配分比率,暫定,最重要,候補が良くても、比率が大きすぎるとリスクが集中する。,スナップショット、ワークベンチ、銘柄別アクション票に配分・扱いの考え方を入れた。,市場ゲート緑・黄・赤ごとに、中心候補、条件付き、補欠の上限比率を確定する。,6月イベント後の市場ゲートが必要。,比率未確定なら購入金額を確定できない。
7,上値・下値ルールの銘柄別補正,一部完了,高,同じ-5%でも、銀行、商社、半導体、電線では意味が違う。,共通ルールと銘柄別の停止条件・利確条件を追加。,最大下落率、ボラティリティ、決算日、テーマ崩れ条件で銘柄別に補正する。,過去下落率と決算予定日の追加整理が必要。,ルールが粗い銘柄は小口または保留。
8,税制レイヤーの実口座連動,確認補助,中,NISA向き・課税口座向きの表示はあるが、実際の保有ロットや年間損益とはまだ完全連動していない。,NISA向き、課税口座向き、損益通算不可、本人操作の注意を表示。,実際の口座区分、保有ロット、年間損益が分かる場合だけ税制確認表へ接続する。,本人別の証券口座情報は外部確認が必要。,税制未確認でも購入候補選定は可能だが、発注前確認は必要。
9,S&P500/TOPIX劣後時の自動分岐,暫定,高,指数より+1%以上を狙う目的があるため、劣後時に何を下げるかを決めておく必要がある。,指数比較と購入前ゲートに、劣後時の比率見直しを入れた。,1か月、3か月、6か月、12か月で劣後した場合の個別株比率引き下げルールを固定する。,比較期間と対象指数の最終決定が必要。,運用中の見直しルール。購入前には説明責任として必要。
10,実用画面の整理,改善中,中,ページが多いと、毎日何を見るべきか分かりにくくなる。,ホーム、実用ダッシュボード、スナップショット、最終ゲート、銘柄別票、実数入力シートを追加。,実用パートを、今日見る、イベント後に見る、購入前に見る、記録する、の4つにさらに整理する。,利用者が実際に見る順番の確認が必要。,判断品質には影響するが、直接の購入可否条件ではない。
