ticker,name,channel,role,ifGreen,ifYellow,ifRed,requiredProof,maxAction,stopRule
既存10社,現行候補群,総合基準,基準,維持しつつ、テーマ候補が上回るか比較する,既存10社を基本維持。攻め枠追加は小比率または保留,既存10社を維持、または個別株比率を下げる。新規攻め枠は追加しない,指数比、下落耐性、決算後反応、未取得データの有無,基準維持,指数を上回る説明が弱い場合は個別株比率を上げない
6857.T,アドバンテスト,半導体製造装置・材料,攻め枠,SOX、米金利、候補別反応が良ければ小比率で採用検討,翌営業日以降に再確認。採用しても小比率に限定,採用しない,SOX、米10年金利、PER、受注、決算後反応、直近上昇率,小比率採用,SOX急落、金利急騰、PER過熱、決算後反応悪化
6146.T,ディスコ,半導体製造装置・材料,攻め枠,月次・受注・決算反応が良ければ小比率で比較,下落耐性が確認できるまで保留,採用しない,月次売上、受注、決算後反応、最大下落率、出来高,小比率採用,急騰後反落、最大下落リスクが説明できない、決算反応悪化
8035.T,東京エレクトロン,半導体製造装置・材料,補欠,半導体設備投資の回復が数字で確認できる場合のみ比較,補欠維持,採用しない,設備投資見通し、SOX、米金利、決算ガイダンス、PER,補欠から比較候補へ昇格,半導体サイクル悪化、金利急騰、ガイダンス弱化
6501.T,日立製作所,データセンター・電力・冷却・電線,守り寄り成長,送配電・電力制御・デジタル事業の寄与が確認できれば既存10社と入替比較,既存10社を維持し、事業寄与を追加確認,採用を急がない,電力・制御・デジタル事業の受注、利益率、指数差,入替候補,テーマ寄与が見えない、指数並みの反応に留まる
5803.T,フジクラ,データセンター・電力・冷却・電線,攻め枠,受注・利益率・株価反応が良ければ小比率採用を検討,過熱が落ち着くまで保留、または比率上限をかなり低くする,採用しない,光通信・電線需要、受注、利益率、過熱、最大下落率,小比率採用,過熱、急落、テーマ織り込み済み、利益率悪化
7011.T,三菱重工業,データセンター・電力・冷却・電線,条件付き,電力・防衛・大型インフラの寄与を分けて確認できれば比較,補完後候補に留める,採用しない,電力・防衛・受注残、利益率、直近株価反応、指数差,条件付き比較,テーマが広すぎて株価理由を分離できない、直近反応が弱い
6762.T,TDK,フィジカルAI,代表候補,フィジカルAIを1銘柄だけ入れる場合の代表候補として比較,小比率または保留。電子部品サイクルを追加確認,フィジカルAI枠は入れない,電源・センサー寄与、PER/PBR/ROE、電子部品サイクル、決算後反応,代表候補として比較,テーマ寄与が見えない、電子部品市況悪化、決算反応悪化
6954.T / 6861.T,ファナック / キーエンス,フィジカルAI,補完後候補,TDKの次に補完後比較。今すぐ採用しない,未採用維持,未採用維持,ロボット受注、FA需要、PER/PBR/ROE、決算後反応、指数差,補完後に候補化,受注弱化、高PERを説明できない、設備投資サイクル悪化
6702.T / 6701.T,富士通 / NEC,量子コンピューター,長期探索,監視継続。購入候補化しない,監視継続,監視継続,商用サービス、受注、売上寄与、イベント後株価反応,監視のみ,6月NISA 1年テストには入れない
