updated_at,rank,ticker,company,role,quantitative_grade,quantitative_score,qualitative_grade,qualitative_driver,current_evidence,required_evidence,reject_condition,cap_rule,score_treatment
2026/05/27 02:53,1,6762.T,TDK,主候補,A,80.9,A,AIサーバー、HDD/電源周辺部材、電池・磁性材料,量的評価が比較的強く、質的仮説も業績確認条件に接続できる。ただし株価反応の20営業日確認が残る。,電子部品セグメントの売上・利益、受注または会社コメント、AIサーバー関連需要の継続、為替影響を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,AI関連コメントが弱い、利益率が悪化、在庫調整や顧客需要鈍化が明記される。,量的評価の上限をAまで許容。株価反応がそろえばS候補へ進める。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,2,8316.T,三井住友FG,主候補,B,80.9,B,日銀政策、利ざや、信用コスト、株主還元,質的仮説は説明可能だが、量的評価はBのため、公式数字と20営業日反応の確認が必要。,資金利益増加、信用コスト抑制、自己株式取得・増配、日銀イベント後の銀行株反応を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,信用コスト急増、金利上昇が景気悪化扱いになる、日銀後に銀行株が市場劣後。,量的評価の上限をBまでに抑える。確認条件がそろうまで主候補化しない。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,3,2802.T,味の素,主候補,B,76.0,B,食品値上げ耐性、ABF、ヘルスケア、原材料・為替,質的仮説は説明可能だが、量的評価はBのため、公式数字と20営業日反応の確認が必要。,ABF/ヘルスケアの成長、値上げ後の数量維持、原材料費の吸収、通期見通しの維持を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,PERの高さに対して成長鈍化、原材料費再上昇、値上げ後の数量減、下方修正。,量的評価の上限をBまでに抑える。確認条件がそろうまで主候補化しない。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,4,5020.T,ENEOS HD,比較枠,C,72.2,B,原油、精製マージン、中東・海上輸送、脱炭素投資,テーマはあるが、量的評価がCのため、質的材料だけでは主候補に上げない。,精製マージン、在庫影響、油価、為替、通期見通しの感応度を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,油価下落で在庫評価損、精製マージン悪化、脱炭素投資負担の増加。,量的評価の上限をBまでに抑える。確認条件がそろうまで主候補化しない。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,5,6367.T,ダイキン工業,比較枠,C,70.3,B,データセンター冷却、地域別空調需要、中国・為替,テーマはあるが、量的評価がCのため、質的材料だけでは主候補に上げない。,データセンター/大型空調関連の受注・売上、地域別利益、為替影響、通期見通しを確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,中国・欧州の需要鈍化、利益率低下、データセンター需要が数字に出ない。,量的評価の上限をBまでに抑える。確認条件がそろうまで主候補化しない。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,6,6503.T,三菱電機,比較枠,C,70.0,B,電力・データセンター、FA、設備投資、防衛・宇宙,テーマはあるが、量的評価がCのため、質的材料だけでは主候補に上げない。,インフラ・FA・防衛関連の受注または利益改善、電力設備需要の継続を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,FA市況低迷、受注鈍化、コスト増、政策テーマが業績に接続しない。,量的評価の上限をBまでに抑える。確認条件がそろうまで主候補化しない。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,7,8766.T,東京海上HD,反応待ち,B,66.9,B,保険料率、金利、自然災害、政策保有株売却,質的仮説はあるが、決算後反応が短期確認中のため、20営業日まで待つ。,保険引受利益、資産運用益、政策保有株売却、自然災害損害率を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,自然災害損失の増加、保険引受悪化、決算後反応の弱さが継続。,量的評価の上限をBまでに抑える。確認条件がそろうまで主候補化しない。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,8,4385.T,メルカリ,補完待ち,保留,65.1,C,国内消費、FinTech、広告、規制・競争,質的仮説より先に、PER・同業比較・公式値の補完が必要。,GMV、MAU、FinTech収益、広告収益、利益率改善、規制リスクの有無を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,競争激化、成長鈍化、3Q累計PERを通期PERのように扱えない、同業比較不足。,量的評価の上限をCまでに抑える。確認条件が崩れる場合は見送り。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,9,8306.T,三菱UFJ FG,補完待ち,C,65.0,C,日銀政策、海外金利、株主還元、与信費用,質的仮説より先に、PER・同業比較・公式値の補完が必要。,資金利益、ROE、自己株式取得、与信費用、日銀後の銀行株反応を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,信用コスト増加、PERが同業より高い状態、金利上昇が景気悪化へ転ぶ。,量的評価の上限をCまでに抑える。確認条件が崩れる場合は見送り。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
2026/05/27 02:53,10,6146.T,ディスコ,検算枠,C,49.0,C,AI半導体、HBM、半導体設備投資、高シェア製造工程,テーマ性はあるが、20営業日反応が弱いため、仮説の検算を優先する。,AI/HBM向け需要、受注・出荷、利益率、同業比較、SOXに対する下落耐性を確認。 / 株価反応: 20営業日対日経平均超過リターン / 比較: 指数、同業、必要に応じてSOX/NASDAQ/金利/為替,20営業日反応の弱さが継続、高PER調整、半導体設備投資の鈍化。,量的評価の上限をCまでに抑える。確認条件が崩れる場合は見送り。,量的スコアへ単純加点しない。通過条件・上限・除外条件として使う。
