final_rank,generated_at,ticker,company,final_group,live_selection_score,final_selection_score,data_completion,per,pbr,roe_pct,sales_yoy_pct,profit_yoy_pct,return_1y_pct,max_drawdown_60d_pct,ma200_gap_pct,reaction_score,warning_items,reason,action_rule
1,2026/05/27 11:52,2802.T,味の素,中心候補,63.4,66.4,10/10,42.38,6.60,17.75,3.5,75,51.6,-15.9,27.4,65.8,なし,データ充足10/10、再計算63.4点、決算後反応65.8点。大きな警戒表示がなく、6月再判定に残せる。,6月CPI・日銀・FOMC後に市場ゲートを確認し、指数比較と個別警戒が悪化しなければテスト対象に残す。
2,2026/05/27 11:52,8316.T,三井住友FG,中心候補,61.1,64.1,10/10,13.40,1.44,10.38,6.1,34,65,-16.5,22.2,55.5,なし,データ充足10/10、再計算61.1点、決算後反応55.5点。大きな警戒表示がなく、6月再判定に残せる。,6月CPI・日銀・FOMC後に市場ゲートを確認し、指数比較と個別警戒が悪化しなければテスト対象に残す。
3,2026/05/27 11:52,6762.T,TDK,中心候補,60.2,63.2,10/10,31.22,3.21,9.81,13.6,21.5,135.7,-20,62.1,63.8,なし,データ充足10/10、再計算60.2点、決算後反応63.8点。大きな警戒表示がなく、6月再判定に残せる。,6月CPI・日銀・FOMC後に市場ゲートを確認し、指数比較と個別警戒が悪化しなければテスト対象に残す。
4,2026/05/27 11:52,8053.T,住友商事,中心候補,57.8,60.8,10/10,13.73,1.87,12.94,0.6,0.9,98.2,-17.9,35.3,59.6,なし,データ充足10/10、再計算57.8点、決算後反応59.6点。大きな警戒表示がなく、6月再判定に残せる。,6月CPI・日銀・FOMC後に市場ゲートを確認し、指数比較と個別警戒が悪化しなければテスト対象に残す。
5,2026/05/27 11:52,8306.T,三菱UFJ FG,条件付き中心候補,58.4,54.4,9/10,,1.54,11.34,7.3,27.7,53.6,-13.6,18.3,55.4,未取得: PER,再計算58.4点で比較圏内。残課題はPER。不足項目を補完できれば中心候補に近い。,PERなど不足項目を補完し、警戒条件が増えなければ中心候補へ戻す。補完できなければ監視に下げる。
6,2026/05/27 11:52,7173.T,東京きらぼしFG,監視候補,66.4,66.4,10/10,8.83,0.96,10.66,23.9,45.2,114.1,-19.2,27.8,34.5,決算後反応34.5点,再計算66.4点。決算後反応34.5点のため、中心候補ではなく監視候補として扱う。,追加データと6月イベント後の反応を見て、中心候補へ上げるか判断する。
7,2026/05/27 11:52,9984.T,ソフトバンクG,監視候補,73.8,61.8,9/10,,2.45,34.28,7.7,259.9,285.2,-21.6,65,52.9,未取得: PER / 1年上昇285.2%,再計算73.8点。未取得: PER / 1年上昇285.2%のため、中心候補ではなく監視候補として扱う。,過熱が落ち着く、または決算後20営業日反応と6月イベント後の価格維持を確認するまで中心に置かない。
8,2026/05/27 11:52,7735.T,SCREEN HD,監視候補,54.1,49.1,10/10,19.65,4.44,20.28,-3.1,-9.7,117.5,-24.5,39.9,57.3,利益成長マイナス: -9.7%,再計算54.1点。利益成長マイナス: -9.7%のため、中心候補ではなく監視候補として扱う。,追加データと6月イベント後の反応を見て、中心候補へ上げるか判断する。
9,2026/05/27 11:52,6146.T,ディスコ,監視候補,56.2,46.2,9/10,,12.74,25.15,11.1,10.9,103.5,-22.5,21.8,55.6,未取得: PER / PBR12.74倍,再計算56.2点。未取得: PER / PBR12.74倍のため、中心候補ではなく監視候補として扱う。,PER・PBRの妥当性と利益成長による説明ができるまで監視に止める。
10,2026/05/27 11:52,7011.T,三菱重工業,監視候補,42.9,35.9,10/10,34.29,4.22,12.22,-1.1,26.7,18.2,-25.3,-9.2,50.6,60日最大下落-25.3%,再計算42.9点。60日最大下落-25.3%のため、中心候補ではなく監視候補として扱う。,200日線回復、60日下落率改善、出来高増を確認するまで監視に止める。
