priority,ticker,name,source,theme,current_system_status,expansion_status,known_numbers,main_missing,next_action,client_explanation
1,8750.T,第一生命HD,補充スクリーニング,金利上昇・保険運用,通常A標準,既に通常A,補充スコア62.9 / 成長48.4 / 下落耐性55.5 / PER11.78 / PBR1.42 / ROE11.31% / 利益前年比4.8% / 1年58.2%,不足なし,注文前ゲートのみ確認。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
2,6971.T,京セラ,補充スクリーニング,部品・通信,通常A標準,既に通常A,補充スコア56.1 / 成長46.3 / 下落耐性56.5 / PER27.62 / PBR1.17 / ROE4.3% / 利益前年比332.8% / 1年69.7%,不足なし,注文前ゲートのみ確認。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
3,6954.T,ファナック,補充スクリーニング,ロボット・工作機械,通常A標準,既に通常A,補充スコア43.4 / 成長42.6 / 下落耐性34.6 / PER38.82 / PBR3.85 / ROE9.28% / 利益前年比15.7% / 1年96.1%,不足なし,注文前ゲートのみ確認。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
4,6762.T,TDK,量子・フィジカルAI枠,フィジカルAI / センサー、電源、バッテリー、電子部品,通常A標準,既に通常A,既存候補。電子部品サイクルとスマホ需要の影響を分ける必要がある。 / 一部あり,不足なし,電源・センサー寄与と電子部品サイクルを分ける,時流テーマの仮説を、通常Aの実データ基準へ通すための追加候補。
5,8725.T,MS&AD,補充スクリーニング,金利上昇・保険運用,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア69.6 / 成長54.6 / 下落耐性78.5 / PER15.06 / PBR1.34 / ROE17.96% / 利益前年比20.6% / 1年34.3%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(62),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
6,8411.T,みずほFG,補充スクリーニング,金利上昇・大手銀行,通常A未達（イベント不足）,既存100内の再確認候補,補充スコア67.5 / 成長60.5 / 下落耐性64.8 / PER13.79 / PBR1.58 / ROE11.48% / 利益前年比34.7% / 1年88.9%,イベント後反応が通常A水準未達 / 信頼度不足(62),決算後20営業日または6月イベント後の指数比を再取得する。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
7,6098.T,リクルートHD,補充スクリーニング,求人・HRテック,通常A未達（財務不足）,既存100内の再確認候補,補充スコア66 / 成長73.8 / 下落耐性65.3 / PER21.59 / PBR8.5 / ROE31.05% / 利益前年比28.5% / 1年14.1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(20.7) / 期待値が低い(-1.23%) / 信頼度不足(62) / 過熱または5年最大下落が大きい,公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
8,8766.T,東京海上HD,補充スクリーニング,金利上昇・保険運用,通常A未達（イベント不足）,既存100内の再確認候補,補充スコア65.4 / 成長46.3 / 下落耐性76.5 / PER17.61 / PBR2.7 / ROE18.68% / 利益前年比-7.6% / 1年37.7%,イベント後反応が通常A水準未達 / 信頼度不足(62),決算後20営業日または6月イベント後の指数比を再取得する。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
9,6702.T,富士通,補充スクリーニング,DX・AI・サービス,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア59.4 / 成長72.1 / 下落耐性36.8 / PER18.07 / PBR2.77 / ROE23.87% / 利益前年比31.4% / 1年0.8%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / 信頼度不足(66),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
10,6701.T,NEC,補充スクリーニング,AI・官公庁・防衛,通常A未達（財務不足）,既存100内の再確認候補,補充スコア59.1 / 成長69.7 / 下落耐性50.6 / PER / PBR2.51 / ROE13.03% / 利益前年比40.3% / 1年14.4%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア不足(34.2) / 信頼度不足(66),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
11,9434.T,ソフトバンク,補充スクリーニング,通信・配当,通常A不可（イベント反証）,既存100内の再確認候補,補充スコア58.1 / 成長45.8 / 下落耐性69.2 / PER19.25 / PBR4.09 / ROE19.32% / 利益前年比5.4% / 1年4.7%,公式決算・PER/PBR/ROE未通過 / 決算後20営業日で指数比が弱い / 質的材料が公式実績層未達 / リスクスコア高め(76.1) / 期待値が低い(0.36%) / 信頼度不足(54),次の決算、上方修正、政策材料、6月以降の再反応まで通常Aに上げない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
12,2503.T,キリンHD,補充スクリーニング,飲料・医薬,A補完枠（通常Aではない）,既存100内の再確認候補,補充スコア56.4 / 成長0 / 下落耐性59.9 / PER / PBR / ROE% / 利益前年比% / 1年33.6%,リスクスコア高め(70.4) / 期待値が低い(0.33%),主力ではなく守り・分散の補助に限定。通常A15社には数えない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
13,9432.T,NTT,補充スクリーニング,守り・通信インフラ,通常A未達（財務不足）,既存100内の再確認候補,補充スコア56.3 / 成長24.9 / 下落耐性74.6 / PER12.81 / PBR1.29 / ROE10.4% / 利益前年比3.4% / 1年1%,公式決算・PER/PBR/ROE未通過 / 決算後1日・5日・20営業日の指数比未取得 / 質的材料が公式実績層未達 / リスクスコア高め(72.5) / 期待値が低い(-0.46%) / 信頼度不足(54),公式決算・PER/PBR/ROE・EPS/BPS・利益率を埋める。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
14,9433.T,KDDI,補充スクリーニング,守り・通信インフラ,A補完枠（通常Aではない）,既存100内の再確認候補,補充スコア55 / 成長33.5 / 下落耐性69 / PER / PBR2.06 / ROE13.99% / 利益前年比1.1% / 1年8.4%,リスクスコア高め(75.5) / 期待値が低い(0.5%),主力ではなく守り・分散の補助に限定。通常A15社には数えない。,現100社だけで通常A15社に届かないため、補充候補として同じ基準に通す対象。
