updated_at,ticker,company,sector,theme,usefulness_level,proxy_rank,proxy_score_100,official_source_url,official_source_type,source_note,http_status,auto_access_status,source_status,official_two_earnings_input_status,fields_to_input,use_limit,next_action,official_check_order
2026/05/22 14:24,6857.T,アドバンテスト,半導体装置,AI半導体検査,A 詳細確認,1,87.7,https://www.advantest.com/ja/investors/ir-library/result/,公式決算短信ページ,アドバンテストの決算短信・説明会資料。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,1
2026/05/22 14:24,5801.T,古河電工,電線/光通信,光ファイバー・電力線,A 詳細確認,2,86.8,https://www.furukawaelectric.com/ir/library/,公式IR資料室,古河電工の決算短信・決算プレゼンテーション資料。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,2
2026/05/22 14:24,6920.T,レーザーテック,半導体装置,EUV検査,A 詳細確認,3,85.5,https://www.lasertec.co.jp/ir/data/,公式IR資料室,レーザーテックの決算短信、説明会資料、IR FAQ掲載先。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,3
2026/05/22 14:24,5803.T,フジクラ,電線/光通信,データセンター・光ファイバー,A 詳細確認,4,84.9,https://www.fujikura.co.jp/ir/financials/,公式決算公表資料,フジクラの決算公表資料ページ。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,4
2026/05/22 14:24,9984.T,ソフトバンクG,投資/AI,AI・投資会社,A 詳細確認,5,81.6,https://group.softbank/ir/financials/financial_reports,公式決算短信ページ,ソフトバンクグループの決算短信アーカイブ。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,5
2026/05/22 14:24,7012.T,川崎重工業,重工/防衛,防衛・水素,A 詳細確認,6,75,https://www.khi.co.jp/ir/calendar.html,公式IRカレンダー/決算資料,決算発表日と決算短信・説明資料リンクを掲載。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,6
2026/05/22 14:24,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,A 詳細確認,7,73.8,https://www.mufg.jp/ir/index.html,公式IRトップ/最新IR資料,最新IR資料に決算短信・決算説明資料・データブック等を掲載。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,7
2026/05/22 14:24,6762.T,TDK,電子部品,電池・電子部品,A 詳細確認,8,73.3,https://www.tdk.com/ja/ir/ir_library/financial/index.html,公式決算短信ページ,TDKの決算短信アーカイブ。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,8
2026/05/22 14:24,5802.T,住友電工,電線/車載,電線・自動車部品,A 詳細確認,9,72.9,https://sumitomoelectric.com/jp/ir/,公式IRトップ,住友電工の決算関連資料・IR関連資料への入口。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,9
2026/05/22 14:24,6146.T,ディスコ,半導体装置,切断・研削装置,A 詳細確認,10,72,https://www.disco.co.jp/jp/ir/library/fr.html,公式決算短信・四半期開示,ディスコの決算短信・四半期開示資料。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,10
2026/05/22 14:24,8316.T,三井住友FG,銀行,金利上昇・大手銀行,A 詳細確認,11,69.1,https://www.smfg.co.jp/investor/financial/latest_statement.html,公式決算短信ページ,三井住友FGの決算短信・説明資料確認先。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,11
2026/05/22 14:24,9983.T,ファーストリテイリング,小売,海外成長・消費,A 詳細確認,12,68.4,https://www.fastretailing.com/eng/ir/library/earning.html,公式決算発表ページ,ファーストリテイリングの決算発表資料。日本語ページへの切替リンクあり。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,12
2026/05/22 14:24,8411.T,みずほFG,銀行,金利上昇・大手銀行,A 詳細確認,16,61.3,https://www.mizuho-fg.co.jp/investors/financial/tanshin/index.html,公式決算関連情報,決算短信、決算概要、時系列データを掲載。,ERROR,自動取得注意,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,13
2026/05/22 14:24,8766.T,東京海上HD,保険,金利上昇・保険運用,A 詳細確認,17,61.1,https://www.tokiomarinehd.com/ir/financial/,公式決算資料ページ,東京海上HDの決算短信・決算IR資料確認先。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,14
2026/05/22 14:24,8750.T,第一生命HD,保険,金利上昇・保険運用,A 詳細確認,23,55.5,https://www.daiichilife-group.com/investor/event/,公式IRイベント/決算日程,第一生命グループの決算イベント、決算短信、決算資料への入口。,200,自動取得確認済み,公式URL候補設定済み,未入力,直近決算: 売上/営業利益/EPS/前年比。1つ前決算: 売上前年比/営業利益前年比/EPS前年比。会社予想修正。,公式数値入力前は購入判断不可。代理順位は確認優先度のみ。,公式ページから決算短信または決算説明資料を開き、217入力表へ数値入力,15
