updated_at,rank,ticker,company,quantitative_score,integrated_grade,qualitative_themes,theme_strength_score,data_confidence_score,buffett_gate,system_score,status,buy_rule,sell_risk_rule,operation_plan
2026/05/27 09:57,1,6762.T,TDK,80.9,A,HBM・先端パッケージ / AI半導体投資 / 円安,70,82,対象外,80,テスト中心候補,6月イベント後に市場条件が悪化せず、公式決算・PER/PBR/ROE・決算後反応が確認できた場合だけ少額テストを検討。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 SOX指数や主要顧客投資計画が悪化した場合は半導体テーマの上限を下げる。,6月イベント後に少額・分割・記録前提で再判定。購入前に証券会社画面と最新決算を確認。
2026/05/27 09:57,2,8316.T,三井住友FG,80.9,B,金利上昇 / 自社株買い・増配・資本効率,65,74,警戒条件,70.8,条件付きテスト候補,不足データ補完後、指数比較と同業比較で劣後しない場合だけ候補に残す。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 バークシャー関連・同業関連で大幅売却や信用不安が出た場合は追加確認まで新規買いを止める。,6月イベント後に少額・分割・記録前提で再判定。購入前に証券会社画面と最新決算を確認。
2026/05/27 09:57,3,2802.T,味の素,76.0,B,食品値上げ耐性 / 円高 / 原油・ナフサ下落,60,78,対象外,73,条件付きテスト候補,不足データ補完後、指数比較と同業比較で劣後しない場合だけ候補に残す。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,6月イベント後に少額・分割・記録前提で再判定。購入前に証券会社画面と最新決算を確認。
2026/05/27 09:57,4,5020.T,ENEOS HD,72.2,C,原油・中東リスク / 原油・ナフサ下落,60,51,警戒条件,59.6,補完後に再判定,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 バークシャー関連・同業関連で大幅売却や信用不安が出た場合は追加確認まで新規買いを止める。,購入候補ではなく、比較・補完・警戒条件の確認に使う。
2026/05/27 09:57,5,6367.T,ダイキン工業,70.3,C,データセンター冷却 / 円安,70,55,対象外,65.7,比較・観察候補,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,購入候補ではなく、比較・補完・警戒条件の確認に使う。
2026/05/27 09:57,6,6503.T,三菱電機,70.0,C,データセンター電力不足 / データセンター冷却 / 防衛・安全保障 / 人手不足・省人化,80,55,対象外,67,比較・観察候補,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,購入候補ではなく、比較・補完・警戒条件の確認に使う。
2026/05/27 09:57,7,8766.T,東京海上HD,66.9,B,金利上昇 / 自社株買い・増配・資本効率,65,82,確認条件,72.3,条件付きテスト候補,不足データ補完後、指数比較と同業比較で劣後しない場合だけ候補に残す。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,6月イベント後に少額・分割・記録前提で再判定。購入前に証券会社画面と最新決算を確認。
2026/05/27 09:57,8,4385.T,メルカリ,65.1,保留,人手不足・省人化 / 国内消費・プラットフォーム,60,55,対象外,59.8,補完後に再判定,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。,購入候補ではなく、比較・補完・警戒条件の確認に使う。
2026/05/27 09:57,9,8306.T,三菱UFJ FG,65.0,C,金利上昇 / 自社株買い・増配・資本効率,65,51,警戒条件,56.4,補完後に再判定,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 バークシャー関連・同業関連で大幅売却や信用不安が出た場合は追加確認まで新規買いを止める。,購入候補ではなく、比較・補完・警戒条件の確認に使う。
2026/05/27 09:57,10,6146.T,ディスコ,49.0,C,AI半導体投資 / 半導体工程の寡占・高シェア / HBM・先端パッケージ,70,40,対象外,51.7,補完後に再判定,購入検討には使わず、比較・観察または補完対象として扱う。,決算後20営業日で日経平均/TOPIXに明確に劣後した場合は優先度を下げる。 下方修正、利益率悪化、テーマ接続の否定が出た場合は中心候補から外す。 購入後に-5%下落した場合は理由を確認し、指数連動か個別悪材料かを分類する。 購入後に-10%下落し、かつ個別悪材料が確認された場合は縮小または撤退を検討する。 SOX指数や主要顧客投資計画が悪化した場合は半導体テーマの上限を下げる。,購入候補ではなく、比較・補完・警戒条件の確認に使う。
