No,課題,実作業,必要データ,完了条件,現状,関連ファイル
1,候補10社の最終根拠,各候補に公式決算値、PER/PBR/ROE、株価指標、質的材料、未取得項目を紐づける,公式決算短信、IR資料、株価CSV、指数CSV,10社すべてで必須欄が埋まり、未取得欄が加点されていない,未完了,860_candidate10_required_data_entry_20260603.csv
2,100社母集団,母集団の採用条件と除外条件を固定し、候補がどの条件で入ったかを記録する,時価総額、流動性、業績成長、業種、データ信頼度,母集団の入口条件が説明でき、恣意的な追加が別枠になる,改善中,861_universe100_selection_criteria_v2_20260603.csv
3,決算後反応,決算後1日・5日・20営業日の対指数超過リターンを入れる,決算日、株価、日経平均/TOPIX,20営業日到来済み銘柄は全て入力、未到来は未到来と表示,実データ待ち,852_earnings_reaction_gate_20260603.csv
4,質的テーマ検証,テーマ材料を仮説、実績、反証条件、出所に分ける,ニュース、公式資料、過去イベント日、株価反応,質的材料単独で購入候補にせず、量的ゲートと接続できる,改善中,853_qualitative_theme_validation_gate_20260603.csv
5,量子・フィジカルAI枠,探索枠として候補を分離し、購入候補へ昇格する条件を作る,売上寄与、受注、PER/PBR/ROE、株価反応,探索枠と購入候補が混在していない,作業中,847_quantum_physical_ai_channel_20260602.html
6,税制レイヤー,NISA向き、課税口座向き、損益通算不可、年末確認を購入前チェックに接続する,口座区分、保有ロット、年間損益、配当、外国源泉税,税制欄が既存スコアを上書きせず、購入前確認に表示される,改善中,842_tax_aware_operation_layer_phase1_20260602.html
7,6月イベント入力,CPI、日銀、FOMC後の金利・為替・指数・候補株反応を入れる,CPI、米10年金利、ドル円、NASDAQ/SOX、日経/TOPIX,6/18以降に購入可、延期、見送りが分岐表で出る,実データ待ち,862_june_purchase_gate_decision_tree_20260603.csv
8,上値・下値ルール,共通ルールに銘柄別ボラティリティと最大下落率を反映する,60日/1年下落率、ボラティリティ、決算日、テーマ崩れ条件,各候補に利確・途中決済・停止条件が1行で出る,改善中,855_trade_rule_refinement_matrix_20260603.csv
9,S&P500/TOPIX比較と購入比率,指数に勝てない場合の個別株比率引き下げ条件を固定する,S&P500、TOPIX、日経平均、候補10社リターン,+1%未満、+1〜5%、+5%以上で比率分岐が出る,改善中,856_benchmark_allocation_gate_20260603.csv
10,実務導線の整理,毎日見る画面を、今日見る項目、買わない条件、次入力に絞る,実用リンク、未取得データ、イベント予定、ゲート結果,ホームから実用パートに迷わず入れる,改善済み,858_practical_today_dashboard_20260603.html
