section,item,weight_or_step,rule,pass_or_condition,fail_or_action
detailed_rule,母集団を固定,1,約100社の母集団を、時価総額、売買代金、業績成長、テーマ関連性、除外条件で固定する。,母集団に入った理由が説明でき、銘柄の追加・削除理由が記録されている。,思いつき、話題性だけ、未記録の手動追加は候補化しない。
detailed_rule,必須データを確認,2,株価、出来高、PER、PBR、ROE、売上成長、利益成長、決算後反応、指数比較、最大下落率を確認する。,主要データが取得済み、または未取得理由と代替扱いが明記されている。,PER/PBR/ROE、決算後反応、下落耐性が欠ける場合は購入候補ではなく補完待ちにする。
detailed_rule,ハード除外,3,赤判定イベント、公式決算未確認、下方修正、説明不能な高PER、急騰後の過熱、流動性不足を除外または保留にする。,停止条件に該当しない。,停止条件に該当する銘柄は、点数が高くても最終10社へ入れない。
detailed_rule,量的スコアを作る,4,財務・成長、価格/長期安定、割安/質、決算後反応、リスク耐性を同じ表で採点する。,同じ列、同じ式、同じ欠損ルールで比較されている。,銘柄ごとに違う式、未取得値の推測加点、説明不能な係数は使わない。
detailed_rule,質的テーマを補助判定にする,5,AI、半導体、電力、フィジカルAI、量子などは、仮説層と実績層に分ける。量的スコアを上書きしない。,公式資料、ニュース、過去株価反応、売上寄与のいずれかで根拠がある。,テーマ名だけ、期待だけ、ニュースだけなら購入候補ではなく観察枠にする。
detailed_rule,3チャンネルで比較,6,総合候補、半導体製造装置・材料、データセンター・電力・冷却・電線を混ぜずに並べる。,各チャンネルで上位候補、補完待ち、監視枠が分かれている。,異なるテーマを1つのランキングに混ぜて、理由の違う銘柄を同列にしない。
detailed_rule,6月イベントゲート,7,6/10 CPI、6/15-16 日銀、6/16-17 FOMC後に、金利、為替、SOX、NASDAQ、日経平均、TOPIX、VIXを入力する。,市場ゲートが緑または黄で、候補別停止条件に触れていない。,赤判定が残る場合は、攻め枠を停止し、総合候補も購入判断へ進めない。
detailed_rule,最終10社を出す,8,通過銘柄だけをスコア順に並べ、中心候補、条件付き候補、補欠、監視枠に分類する。,中心候補と条件付き候補の合計から最大10社を出す。監視枠は10社に入れない。,10社に足りない場合は無理に埋めず、現金またはインデックス比率を上げる。
detailed_rule,比率を決める,9,中心候補を厚く、条件付き候補を薄く、攻め枠は市場ゲート通過後のみ小さく配分する。,200万円などの予算に対して、銘柄別上限、現金枠、延期条件が明記されている。,高スコアを理由に一括投入しない。高ボラ銘柄を大きくしすぎない。
detailed_rule,記録して検証,10,選定理由、入力値、除外理由、購入/見送り理由、5営業日・20営業日・3か月・1年結果を記録する。,予想と結果の差が残り、次回の係数やゲート修正に使える。,結果だけ見て後から理由を作らない。
score_structure,量的スコア,70%,財務・成長20、価格/長期安定20、割安/質15、決算後反応10、下落耐性5。,NISA 1年保有では、話題性よりも実データと下落耐性を主軸にするため。,
score_structure,質的テーマ補助,20%,構造優位、政策、需給、技術優位、イベント仮説をS/A/B/Cで評価。ただし売上寄与や過去反応が弱い場合は上限をBにする。,テーマは候補発見には有効だが、単独で購入候補にしないため。,
score_structure,データ信頼度,10%,公式資料、取得元、更新日、欠損有無、手入力有無で採点する。未取得値は推測で埋めない。,計算したふりを避け、説明責任を残すため。,
score_structure,ハードゲート,点数とは別,赤イベント、下方修正、公式未確認、説明不能な高PER、急落、流動性不足は点数に関係なく保留または除外。,高スコアでも買ってはいけない状態を止めるため。,
final_class,中心候補,,量的スコア上位、必須データ確認済み、赤ゲートなし、説明可能な成長または割安性あり。,6月イベント後に、購入比率の中心として検討する。,
final_class,条件付き候補,,テーマ性や成長性は強いが、高PER、急騰、下落耐性、決算後反応に追加確認が必要。,通過条件を満たした場合だけ小さく扱う。,
final_class,補欠候補,,候補価値はあるが、中心候補よりデータ不足またはリスクが大きい。,中心候補が落ちた場合の入替候補として残す。,
final_class,監視枠,,量子コンピューターなど、テーマは重要だが1年NISAの利益根拠がまだ弱い。,ニュースと実績を監視し、6月の購入候補にはしない。,
final_class,除外,,停止条件に該当、公式確認不足、下方修正、説明不能な割高、指数劣後が大きい。,最終10社には入れない。,
