ticker,銘柄,質的テーマ,主要仮説,実績確認データ,株価検証,反映方法,停止条件,現状
8316.T,三井住友FG,金利・金融政策,国内金利上昇が貸出利ざやと資本効率の改善につながる。,日銀政策金利、10年国債利回り、決算資料の利ざや、ROE、与信費用,金利上昇局面の対TOPIX超過リターン、決算後1日/5日/20日反応,質的検証点へ最大10点。ただし財務・割安、業績成長、決算後反応が入力済みの場合のみ,与信費用増加が利ざや改善を上回る、または日銀後に銀行株全体が対TOPIXで大幅劣後,確認優先
8766.T,東京海上HD,金利・保険料率,運用利回りと保険料率改善が1年保有の利益安定性を支える。,正味収入保険料、コンバインドレシオ、運用利回り、自然災害損害、ROE,金利上昇局面と決算後反応の対TOPIX超過リターン,災害損害を控除しても収益改善が確認できる場合だけ質的検証点へ反映,大規模災害損失、海外保険の採算悪化、保険セクター全体の反応悪化,確認優先
8306.T,三菱UFJ FG,金利・金融政策,銀行セクター全体の金利上昇メリットを取り込める。,国内外利ざや、与信費用、PBR、ROE、株主還元、海外金利感応度,三井住友FG、みずほFGとの対TOPIX反応差,同業比較で優位性が確認できる場合に候補順位を上げる,同業比較で劣後、または海外信用コスト増加,量的補完後
7011.T,三菱重工,防衛・安全保障 / エネルギー,防衛、宇宙、原子力、エネルギー投資の長期需要が受注残と利益率に反映される。,受注残、防衛関連売上、営業利益率、研究開発費、セグメント別利益,防衛予算・大型受注・決算発表後の対TOPIX超過リターン,受注残と利益率の両方が確認できる場合に質的検証点へ反映,受注は増えても利益率が低下、または過熱指標が強い,量的補完後
8058.T,三菱商事,資源・商品価格 / 資本政策,資源価格と株主還元が下支えになるが、商品市況依存を確認する必要がある。,資源利益、非資源利益、ROE、配当、自社株買い、原油・金属価格前提,商品価格変化と商社株の相関、決算後反応,非資源利益と還元で説明できる場合に反映。商品価格だけの上振れは確認止まり,資源価格下落で利益計画が崩れる、または還元縮小,量的補完後
6501.T,日立製作所,AIデータセンター投資 / 電力・インフラ,データセンター、送配電、産業DX需要が部門売上と受注に表れる。,Lumada売上、エネルギー部門受注、営業利益率、海外比率、受注残,データセンター関連ニュース、決算、同業の反応比較,テーマが部門売上または受注に接続した場合だけ反映,テーマは強いが対象部門の寄与が小さい、または利益率悪化,量的補完後
8031.T,三井物産,資源・商品価格 / 非資源成長,資源、エネルギー、インフラ投資と非資源利益の組み合わせで商社内比較に残る可能性がある。,資源利益、非資源利益、ROE、還元方針、原油・鉄鉱石・LNG前提,三菱商事、伊藤忠商事、住友商事との対TOPIX反応差,資源だけでなく非資源成長と還元の両方が確認できる場合に反映,商品市況依存が強く、非資源や還元で説明できない,量的補完後
5802.T,住友電工,電力・光通信 / データセンター,電線、光通信、車載の複合需要がAIインフラ投資に接続する。,情報通信売上、環境エネルギー売上、受注、銅価格影響、営業利益率,電線・光通信同業、銅価格、決算後反応の比較,売上・受注・利益率でテーマ接続が確認できる場合に反映,銅価格や原価上昇で利益率が悪化、または同業比較で劣後,量的補完後
5801.T,古河電工,電力・光通信 / データセンター,電線・光通信需要に接続するが、急騰後の過熱確認が必須。,情報通信売上、電力インフラ売上、営業利益率、最大下落率、出来高急増,住友電工、フジクラとの同業比較、過熱調整後の反応,過熱控除後も同業比較で優位なら比較枠に残す,1年上昇率に対して利益成長が追いつかない、または最大下落リスクが大きい,仮説検算
8001.T,伊藤忠商事,非資源・資本政策,非資源比率と還元方針が商社内の安定候補として機能する可能性がある。,非資源利益、ROE、株主還元、純利益進捗、セグメント別利益,三菱商事、三井物産との相対反応、決算後反応,非資源安定性が確認できる場合に商社枠内で順位比較,利益成長が弱い、還元縮小、商社内比較で劣後,量的補完後
