updated_at,priority,gate_result,ticker,company,quantitative_grade,reaction_layer,task,action,output,current_reason
2026/05/26 21:15,1,継続確認,6762.T,TDK,A,暫定A,候補説明の根拠整理,公式決算値、PER/PBR/ROE、5日反応、質的仮説を1枚説明にまとめる,候補として残す理由と20営業日待ちの注意点,量的データと信頼度は候補比較に使える。20営業日反応の到達後に再判定する
2026/05/26 21:15,1,継続確認,2802.T,味の素,B,暫定A,候補説明の根拠整理,公式決算値、PER/PBR/ROE、5日反応、質的仮説を1枚説明にまとめる,候補として残す理由と20営業日待ちの注意点,量的データと信頼度は候補比較に使える。20営業日反応の到達後に再判定する
2026/05/26 21:15,1,継続確認,8316.T,三井住友FG,B,暫定A,候補説明の根拠整理,公式決算値、PER/PBR/ROE、5日反応、質的仮説を1枚説明にまとめる,候補として残す理由と20営業日待ちの注意点,量的データと信頼度は候補比較に使える。20営業日反応の到達後に再判定する
2026/05/26 21:15,1,反応待ち,8766.T,東京海上HD,B,1日暫定,5営業日反応の追加取得,基準日、5営業日後株価、日経平均比較を取得し、暫定反応を更新する,反応待ちから継続確認または要検算へ分類,1日反応のみで、5営業日と20営業日の確認が未到達
2026/05/26 21:15,1,要検算,6146.T,ディスコ,C,D 実績弱い,弱い実績反応の検算,決算日、基準終値、20営業日終値、日経平均比較を再確認する,構造仮説を残すか、候補順位を下げるかの判断材料,20営業日反応が弱いため、検算まで候補強化しない
2026/05/26 21:15,2,比較対象,6367.T,ダイキン工業,C,暫定B,補欠候補の比較整理,同業比較、質的仮説、5日反応を確認し、上位候補との差を明記する,10社内に残す理由または控え候補扱い,データはそろいつつあるが、量的評価は上位候補より弱い
2026/05/26 21:15,2,比較対象,6503.T,三菱電機,C,暫定B,補欠候補の比較整理,同業比較、質的仮説、5日反応を確認し、上位候補との差を明記する,10社内に残す理由または控え候補扱い,データはそろいつつあるが、量的評価は上位候補より弱い
2026/05/26 21:15,2,比較対象,5020.T,ENEOS HD,C,暫定B,補欠候補の比較整理,同業比較、質的仮説、5日反応を確認し、上位候補との差を明記する,10社内に残す理由または控え候補扱い,データはそろいつつあるが、量的評価は上位候補より弱い
2026/05/26 21:15,2,補完待ち,8306.T,三菱UFJ FG,C,暫定B,不足データ補完,PERまたは財務指標の公式値・試算値を確認し、採点へ接続できるか判断する,補完後に候補へ戻すか、今回は除外するかの判断,PERまたは財務指標の不足が残るため、候補確定前に補完する
2026/05/26 21:15,2,補完待ち,4385.T,メルカリ,保留,暫定A,不足データ補完,PERまたは財務指標の公式値・試算値を確認し、採点へ接続できるか判断する,補完後に候補へ戻すか、今回は除外するかの判断,PERまたは財務指標の不足が残るため、候補確定前に補完する
