generated_at,ticker,company,current_class,operation_decision,quant_score,qualitative_score,data_confidence,original_priority_score,reference_connection,reference_ticker,reference_theme,reference_return_pct,reference_role,reference_support_score,copy_risk,reference_gate,revised_class,reference_effect,action,final_use
2026/05/27 11:07,2802.T,味の素,第1候補群,6月再判定候補,67.8,71.9,95,75.9,未接続,,未接続,,,45,なし。参照ポートフォリオからは補強できない。,独立候補,第1候補群,補強なし,プロ参照では補強できないため、既存の量的根拠、決算、PER、数量・利益率を優先して確認する。,既存の6月再判定へ接続。
2026/05/27 11:07,6762.T,TDK,第2候補群,比較継続,60.7,72.6,100,67.9,テーマ近似,6516 山洋電気,半導体・AI・大型成長,+292.8%,上昇寄与枠,64,高い。すでに大きく上昇した勝者を後追いする危険がある。,テーマ補強・後追い注意,第2候補群,参照点64,同じ勝ち筋に近い可能性がある。売上、受注、利益率、同業株反応で、テーマが実際に業績へ接続しているか確認する。,購入検討へ直接進めない。確認優先。
2026/05/27 11:07,6146.T,ディスコ,第2候補群,比較継続,60.9,72.6,92,66.8,テーマ近似,6516 山洋電気,半導体・AI・大型成長,+292.8%,上昇寄与枠,64,高い。すでに大きく上昇した勝者を後追いする危険がある。,テーマ補強・後追い注意,第2候補群,参照点64,同じ勝ち筋に近い可能性がある。売上、受注、利益率、同業株反応で、テーマが実際に業績へ接続しているか確認する。,購入検討へ直接進めない。確認優先。
2026/05/27 11:07,4385.T,メルカリ,補欠候補,保留,79.8,50,87,56.9,未接続,,未接続,,,45,なし。参照ポートフォリオからは補強できない。,参照外,補欠候補,補強なし,プロ参照では補強できない。6月再判定と既存スコアを優先する。,既存の6月再判定へ接続。
2026/05/27 11:07,9984.T,ソフトバンクG,補欠候補,反応再確認,66.9,50,92,55.6,直接一致,9984 ソフトバンクG,半導体・AI・大型成長,+155.0%,上昇寄与枠,76,中。勝ち筋は参考になるが、現在価格と決算反応の再確認が必要。,直接一致,補欠候補,参照点76,直接一致するため説明材料になる。ただし過去の成果を現在の買付理由にせず、最新PER、決算後反応、下落耐性で確認する。,既存の6月再判定へ接続。
2026/05/27 11:07,7012.T,川崎重工業,監視のみ,反応再確認,59.9,50,100,52.9,テーマ近似,8053 住友商事,資本財・重工・景気循環,+214.1%,収益けん引枠,64,高い。すでに大きく上昇した勝者を後追いする危険がある。,テーマ補強・後追い注意,監視のみ,参照点64,同じ勝ち筋に近い可能性がある。売上、受注、利益率、同業株反応で、テーマが実際に業績へ接続しているか確認する。,購入検討へ直接進めない。確認優先。
2026/05/27 11:07,8316.T,三井住友FG,監視のみ,警戒,65.1,62,95,50.5,直接一致,8316 三井住友FG,金利・金融,+279.4%,収益けん引枠,76,高い。すでに大きく上昇した勝者を後追いする危険がある。,再浮上候補,警戒解除待ち,過去勝ち筋あり,プロ参照では強いが、現在は警戒区分。金利、バフェット売買、決算後反応、指数比較が改善した時だけ再浮上させる。,購入検討へ直接進めない。確認優先。
2026/05/27 11:07,5020.T,ENEOS HD,監視のみ,警戒,64.3,62,95,50,未接続,,未接続,,,45,なし。参照ポートフォリオからは補強できない。,参照外,監視のみ,補強なし,プロ参照では補強できない。6月再判定と既存スコアを優先する。,既存の6月再判定へ接続。
2026/05/27 11:07,6503.T,三菱電機,監視のみ,保留,55.6,69.6,95,48.8,未接続,,未接続,,,45,なし。参照ポートフォリオからは補強できない。,参照外,監視のみ,補強なし,プロ参照では補強できない。6月再判定と既存スコアを優先する。,既存の6月再判定へ接続。
2026/05/27 11:07,8306.T,三菱UFJ FG,監視のみ,警戒,62.1,62,92,48.4,直接一致,8306 三菱UFJ FG,金利・金融,+160.2%,収益けん引枠,76,中。勝ち筋は参考になるが、現在価格と決算反応の再確認が必要。,再浮上候補,警戒解除待ち,過去勝ち筋あり,プロ参照では強いが、現在は警戒区分。金利、バフェット売買、決算後反応、指数比較が改善した時だけ再浮上させる。,購入検討へ直接進めない。確認優先。
2026/05/27 11:07,6501.T,日立製作所,監視のみ,保留,59.3,50,95,46.9,未接続,,未接続,,,45,なし。参照ポートフォリオからは補強できない。,参照外,監視のみ,補強なし,プロ参照では補強できない。6月再判定と既存スコアを優先する。,既存の6月再判定へ接続。
2026/05/27 11:07,8002.T,丸紅,監視のみ,保留,53,50,95,43.4,未接続,,未接続,,,45,なし。参照ポートフォリオからは補強できない。,参照外,監視のみ,補強なし,プロ参照では補強できない。6月再判定と既存スコアを優先する。,既存の6月再判定へ接続。
