ticker,name,universe_status,risk_tier,acute_warning_score,acute_warning_level,risk_cap_pct,five_year_drawdown,one_year_drawdown,sixty_day_return,reaction_score,initial_treatment,intraday_rule,next_day_rule,add_rule,exit_rule
8053.T,住友商事,再選定候補,中,36.5,中,18.75%,-35.8%,-18.8%,11.9%,43.7,通常確認,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,共通ゲート通過後のみ追加可,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
8316.T,三井住友FG,再選定候補,中,23.8,低,18.75%,-29.4%,-19.3%,0.8%,57.1,通常確認,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,共通ゲート通過後のみ追加可,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
6501.T,日立製作所,再選定候補,中高,52,中,6.25%,-38.7%,-22.8%,1.1%,29.1,通常確認,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,共通ゲート通過後のみ追加可,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
6503.T,三菱電機,再選定候補,中,34.3,低,6.25%,-34%,-16.3%,12.3%,43.9,通常確認,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,共通ゲート通過後のみ追加可,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
6857.T,アドバンテスト,監視,中高,77,高,6.25%,-51.4%,-28.9%,-6.2%,20.4,小口または見送り,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,追加買付は原則停止。再開は指数回復と材料確認後,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
8035.T,東京エレクトロン,監視,高,47,中,3%,-55.8%,-28.8%,16.6%,68.2,通常確認,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,共通ゲート通過後のみ追加可,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
7011.T,三菱重工業,除外,高,86.7,高,3%,-35.8%,-26.6%,-22.2%,34.5,初回除外,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,追加買付は原則停止。再開は指数回復と材料確認後,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
6762.T,TDK,再選定候補,中高,36.3,中,6.25%,-46.3%,-28.2%,57.7%,91.6,通常確認,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,共通ゲート通過後のみ追加可,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
6146.T,ディスコ,除外,高,88.9,高,3%,-65.2%,-24.7%,-15.6%,32.3,初回除外,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,追加買付は原則停止。再開は指数回復と材料確認後,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
5803.T,フジクラ,除外,高,91.7,高,3%,-50.7%,-45.3%,10.1%,0,初回除外,ストップ安または前日比-10%以上の日は買い増し禁止。成行売りも避け、材料確認を優先,翌営業日に出来高、寄付き気配、指数差、会社発表、テーマ崩れを確認して再判定,追加買付は原則停止。再開は指数回復と材料確認後,下方修正、粉飾・不祥事、資金繰り悪化、テーマ根拠消滅ならNISAでも売却検討
