updated_at,file,line,rule_id,phrase,severity,treatment,replacement,reason,context
2026/05/26 11:15,academic_validation_protocol_20260525.html,101,R09,購入候補,WARN,許容,検証候補 / 確認対象,購入確定に近く見えるため、役割を併記する。,実績データ層 過去に効いたか検証 質的評価の上限を決める 量的データ層 最終判断の主軸 購入候補スコアの中心
2026/05/26 11:15,academic_validation_protocol_20260525.html,106,R09,購入候補,WARN,許容,検証候補 / 確認対象,購入確定に近く見えるため、役割を併記する。,仮説C × 実績S = まず再調査 実績なし = 購入候補スコアへ反映しない
2026/05/26 11:15,backtest_validation_20260525.html,99,R12,売買判断,CONTEXT,許容,売買判断ではない / 判断補助,否定文・注意文なら可。肯定文では不可。,去検証、6月以降に前向き記録すべき検証を分けます。 重要: 100社母集団の1年騰落率は、現在時点の説明変数と同時点の株価結果を見た確認です。未来を当てたバックテストではないため、売買判断の根拠にはまだできません。
2026/05/26 11:15,backtest_validation_20260525.html,133,R12,売買判断,CONTEXT,要確認,売買判断ではない / 判断補助,否定文・注意文なら可。肯定文では不可。,準備段階 売買判断の根拠としては未到達。
2026/05/26 11:15,backtest_validation_20260525.html,264,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,276,R12,売買判断,CONTEXT,要確認,売買判断ではない / 判断補助,否定文・注意文なら可。肯定文では不可。,暫定検証可 参考検証に使用可能。ただし売買判断には6月以降の前向き記録が必要。
2026/05/26 11:15,backtest_validation_20260525.html,288,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,300,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,312,R12,売買判断,CONTEXT,要確認,売買判断ではない / 判断補助,否定文・注意文なら可。肯定文では不可。,暫定検証可 参考検証に使用可能。ただし売買判断には6月以降の前向き記録が必要。
2026/05/26 11:15,backtest_validation_20260525.html,324,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,336,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,348,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,360,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,backtest_validation_20260525.html,372,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,未接続 過去検証データが未接続。購入検討用スコアの根拠にはしない。
2026/05/26 11:15,candidate_data_completion_20260526.html,517,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,20営業日未到達は一部接続 決算後1日/5日は見えても20営業日が未到達なら、購入検討用スコアの根拠としては未完成。 短期反応だけで1年保有判断をしないため。
2026/05/26 11:15,candidate_data_completion_20260526.html,529,R08,保証,WARN,許容,想定 / 検証 / 条件付き,保証という語は顧客説明で誤解されやすい。,+1%比較は後ろ向き確認 1年騰落率で比較対象+1%を超えても、将来の保証ではなく追加検証条件として扱う。 目的との接続は必要だが、過去成績だけで買わないため。
2026/05/26 11:15,candidate_june_rulebook.html,33,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,目的: 10社候補を、6月の米CPI・日銀・FOMC後に「購入検討へ進む」「小口検討/候補維持」「待機」「除外」に分けるための判定表です。 注意: これは売買指示ではありません。NISA 1年保有テストの候補を選ぶための判断補助で、実行前には証券会社画面・公式IR・最新決算を再確認します。
2026/05/26 11:15,candidate_june_rulebook.html,51,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,総合前年比4.0%超、コア前月比0.5%以上、米10年金利4.70%以上 悪化時は高PER・半導体・グロース寄りを購入検討へ進めない。
2026/05/26 11:15,candidate_june_rulebook.html,67,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,米10年金利4.70%以上、NASDAQ/SOX -5%以上、ドル円±3%以上の急変 金利急騰時はPER高め、AI・半導体テーマの候補を購入検討へ進めない。
2026/05/26 11:15,candidate_june_rulebook.html,75,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,日経75日線-2%以上、候補の決算後反応35点未満、下方修正または会計リスク 通過銘柄だけを購入検討へ進め、未到達・未確認銘柄は候補維持または待機にする。
2026/05/26 11:15,candidate_june_rulebook.html,100,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,残す 購入検討へ進む条件あり NISA 79.8 反応 56.8 信頼度 87 PER 未取得
2026/05/26 11:15,candidate_june_rulebook.html,110,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,残す 購入検討へ進む条件あり NISA 67.8 反応 65.8 信頼度 95 PER 43.73
2026/05/26 11:15,candidate_june_rulebook.html,120,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,残す 購入検討へ進む条件あり NISA 65.1 反応 55.5 信頼度 95 PER 13.61
2026/05/26 11:15,candidate_june_rulebook.html,207,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,残す 購入検討へ進む条件あり 候補維持または小口検討
2026/05/26 11:15,candidate_june_rulebook.html,209,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,211,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,215,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,残す 購入検討へ進む条件あり 候補維持または小口検討
2026/05/26 11:15,candidate_june_rulebook.html,217,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,219,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,223,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,残す 購入検討へ進む条件あり 候補維持または小口検討
2026/05/26 11:15,candidate_june_rulebook.html,225,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,227,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,233,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,235,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,241,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,243,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,249,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,251,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,257,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,259,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,265,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,候補維持または小口検討 購入検討不可または除外 共通市場ゲート通過後に個別ゲートを確認
2026/05/26 11:15,candidate_june_rulebook.html,267,R13,購入検討,CONTEXT,要確認,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,共通市場ゲート通過後に個別ゲートを確認 購入検討へ進む場合でも、指数比較と+1%目標を満たせない場合は個別株比率を下げる
2026/05/26 11:15,candidate_june_rulebook.html,273,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,予備維持 購入検討不可または除外 20営業日反応と公式説明資料の要因確認を優先
2026/05/26 11:15,candidate_june_rulebook.html,281,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,予備維持 購入検討不可または除外 20営業日反応と公式説明資料の要因確認を優先
2026/05/26 11:15,candidate_june_rulebook.html,296,R13,購入検討,CONTEXT,許容,購入検討用スコア / 購入検討へ進めない,ゲートや非採用説明なら可。購入対象の断定には使わない。,したがって、6月イベント後の条件を通っても、期待値が指数+1%を上回る説明ができない銘柄は、購入検討ではなく候補維持または除外にします。
