updated_at,order,ticker,company,status,grade,score,headline,numeric_basis,qualitative_hypothesis,confirmation_needed,reject_condition,peer_reference,reaction_schedule,next_trigger,treatment
2026/05/26 23:02,1,6762.T,TDK,説明優先,S,80.9,TDKは、現時点で説明優先に置く。主な理由は、量的評価A、信頼度100、PER 26.7、ROE 9.81%、売上成長13.6%、利益成長21.5%、決算後反応 5日 対日経 5.5%、20営業日待ち、同業比較は使用可。,量的評価A、信頼度100、PER 26.7、ROE 9.81%、売上成長13.6%、利益成長21.5%、決算後反応 5日 対日経 5.5%、20営業日待ち、同業比較は使用可,AIサーバー、HDD/電源周辺部材、電池・磁性材料,電子部品セグメントの売上・利益、受注または会社コメント、AIサーバー関連需要の継続、為替影響を確認。,AI関連コメントが弱い、利益率が悪化、在庫調整や顧客需要鈍化が明記される。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-04-28決算 / 1日 9.03% / 5日 5.5% / 20営業日 2026-06-01,20営業日反応: 2026-06-01,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,2,8316.T,三井住友FG,説明優先,S,80.9,三井住友FGは、現時点で説明優先に置く。主な理由は、量的評価B、信頼度95、PER 13.61、ROE 10.38%、売上成長6.1%、利益成長34%、決算後反応 5日 対日経 5.99%、20営業日待ち、同業比較は使用可。,量的評価B、信頼度95、PER 13.61、ROE 10.38%、売上成長6.1%、利益成長34%、決算後反応 5日 対日経 5.99%、20営業日待ち、同業比較は使用可,日銀政策、利ざや、信用コスト、株主還元,資金利益増加、信用コスト抑制、自己株式取得・増配、日銀イベント後の銀行株反応を確認。,信用コスト急増、金利上昇が景気悪化扱いになる、日銀後に銀行株が市場劣後。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-05-13決算 / 1日 -2.05% / 5日 5.99% / 20営業日 2026-06-10,20営業日反応: 2026-06-10,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,3,2802.T,味の素,説明優先,A,76.0,味の素は、現時点で説明優先に置く。主な理由は、量的評価B、信頼度95、PER 43.73、ROE 17.75%、売上成長3.5%、利益成長75%、決算後反応 5日 対日経 12.07%、20営業日待ち、同業比較は未接続。,量的評価B、信頼度95、PER 43.73、ROE 17.75%、売上成長3.5%、利益成長75%、決算後反応 5日 対日経 12.07%、20営業日待ち、同業比較は未接続,食品値上げ耐性、ABF、ヘルスケア、原材料・為替,ABF/ヘルスケアの成長、値上げ後の数量維持、原材料費の吸収、通期見通しの維持を確認。,PERの高さに対して成長鈍化、原材料費再上昇、値上げ後の数量減、下方修正。,広義でも不足: 広義7社、PER 0件、PBR 0件、ROE 0件。,2026-05-07決算 / 1日 1.64% / 5日 12.07% / 20営業日 2026-06-04,20営業日反応: 2026-06-04 / 同業比較または広義比較の不足確認,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,4,5020.T,ENEOS HD,比較維持,B,72.2,ENEOS HDは、10社内で比較を継続する。上位候補との差は、不足: 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 業種別補正:接続不可 同業比較は未接続: 同業3社、PER 0件、PBR 0件、ROE 0件で基準未満。,量的評価C、信頼度95、PER 8.36、ROE 8.00%、売上成長-4.5%、利益成長339.8%、決算後反応 5日 対日経 0.94%、20営業日待ち、同業比較は未接続,原油、精製マージン、中東・海上輸送、脱炭素投資,精製マージン、在庫影響、油価、為替、通期見通しの感応度を確認。,油価下落で在庫評価損、精製マージン悪化、脱炭素投資負担の増加。,広義でも不足: 広義7社、PER 0件、PBR 0件、ROE 0件。,2026-05-14決算 / 1日 7.35% / 5日 0.94% / 20営業日 2026-06-11,20営業日反応: 2026-06-11 / 同業比較または広義比較の不足確認,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,5,6367.T,ダイキン工業,比較維持,B,70.3,ダイキン工業は、10社内で比較を継続する。上位候補との差は、不足: 決算後反応未完了または未到達 / イベント因果未完了 同業比較は未接続: 同業1社、PER 1件、PBR 1件、ROE 1件で基準未満。,量的評価C、信頼度100、PER 24.97、ROE 9.1%、売上成長5.5%、利益成長3.3%、決算後反応 5日 対日経 1.92%、20営業日待ち、同業比較は未接続,データセンター冷却、地域別空調需要、中国・為替,データセンター/大型空調関連の受注・売上、地域別利益、為替影響、通期見通しを確認。,中国・欧州の需要鈍化、利益率低下、データセンター需要が数字に出ない。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-05-12決算 / 1日 6.08% / 5日 1.92% / 20営業日 2026-06-09,20営業日反応: 2026-06-09 / 同業比較または広義比較の不足確認,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,6,6503.T,三菱電機,比較維持,B,70.0,三菱電機は、10社内で比較を継続する。上位候補との差は、不足: 決算後反応未完了または未到達 / イベント因果未完了 同業比較は未接続: 同業2社、PER 2件、PBR 2件、ROE 2件で基準未満。,量的評価C、信頼度95、PER 26.09、ROE 9.67%、売上成長6.8%、利益成長10.5%、決算後反応 5日 対日経 1.9%、20営業日待ち、同業比較は未接続,電力・データセンター、FA、設備投資、防衛・宇宙,インフラ・FA・防衛関連の受注または利益改善、電力設備需要の継続を確認。,FA市況低迷、受注鈍化、コスト増、政策テーマが業績に接続しない。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-04-28決算 / 1日 3.57% / 5日 1.9% / 20営業日 2026-06-01,20営業日反応: 2026-06-01 / 同業比較または広義比較の不足確認,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,7,8766.T,東京海上HD,反応更新待ち,B,66.9,東京海上HDは、決算後反応の更新を待つ。1日反応だけでは扱いを固定しない。,量的評価B、信頼度100、PER 17.61、ROE 18.68%、売上成長5.1%、利益成長-7.6%、決算後反応 1日 対日経 -4.68%、5日/20営業日待ち、同業比較は使用可,保険料率、金利、自然災害、政策保有株売却,保険引受利益、資産運用益、政策保有株売却、自然災害損害率を確認。,自然災害損失の増加、保険引受悪化、決算後反応の弱さが継続。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-05-20決算 / 1日 -4.68% / 5日 未到達 / 20営業日 2026-06-17,20営業日反応: 2026-06-17 / 5営業日反応の更新,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,8,4385.T,メルカリ,補完後に再判定,B,65.1,メルカリは、補完後に再判定する。試算値や不足値をそのまま順位固定に使わない。,量的評価保留、信頼度87、PER 34.53（公式3Q累計EPS + 既存株価CSV）、ROE 30.52%、売上成長2.8%、利益成長59.2%、決算後反応 5日 対日経 7.3%、20営業日待ち、同業比較は未接続,国内消費、FinTech、広告、規制・競争,GMV、MAU、FinTech収益、広告収益、利益率改善、規制リスクの有無を確認。,競争激化、成長鈍化、3Q累計PERを通期PERのように扱えない、同業比較不足。,広義でも不足: 広義7社、PER 3件、PBR 2件、ROE 2件。,2026-05-11決算 / 1日 -2.42% / 5日 7.3% / 20営業日 2026-06-08,20営業日反応: 2026-06-08 / 同業比較または広義比較の不足確認 / 公式値または説明補助値の検算,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,9,8306.T,三菱UFJ FG,補完後に再判定,B,65.0,三菱UFJ FGは、補完後に再判定する。試算値や不足値をそのまま順位固定に使わない。,量的評価C、信頼度92、PER 17（公式EPS + 既存株価CSV）、ROE 11.34%、売上成長7.3%、利益成長27.7%、決算後反応 5日 対日経 2.39%、20営業日待ち、同業比較は使用可,日銀政策、海外金利、株主還元、与信費用,資金利益、ROE、自己株式取得、与信費用、日銀後の銀行株反応を確認。,信用コスト増加、PERが同業より高い状態、金利上昇が景気悪化へ転ぶ。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-05-15決算 / 1日 3.22% / 5日 2.39% / 20営業日 2026-06-12,20営業日反応: 2026-06-12 / 公式値または説明補助値の検算,明日説明用メモ。投資実行判断ではない。
2026/05/26 23:02,10,6146.T,ディスコ,検算優先,C,49.0,ディスコは、検算優先に置く。構造仮説はあるが、実績反応が弱い。,量的評価C、信頼度92、PER 61.44（公式EPS + 既存株価CSV）、ROE 25.15%、売上成長11.1%、利益成長10.9%、決算後反応 20営業日 対日経 -19.66%、同業比較は使用可,AI半導体、HBM、半導体設備投資、高シェア製造工程,AI/HBM向け需要、受注・出荷、利益率、同業比較、SOXに対する下落耐性を確認。,20営業日反応の弱さが継続、高PER調整、半導体設備投資の鈍化。,広義参考可: 広義グループで3社以上、PER/PBR/ROEが3件以上そろう。,2026-04-22決算 / 1日 -3.03% / 5日 -0.59% / 20営業日 2026-05-26,20営業日反応: 2026-05-26 / 弱い反応の原因検算,明日説明用メモ。投資実行判断ではない。
