channel,candidateRank,ticker,name,role,currentJudgment,matched,dataCompletenessPct,quantGate,quantReason,universeRank,universeScore,decision,growthScore,qualityValuationScore,momentumScore,riskPenalty,per,pbr,roe,revenueYoy,profitYoy,ret60,ret1y,aboveMa200,maxDrawdown60,priceDate,nextAction
フィジカルAI,1,6506.T,安川電機,産業用ロボット、サーボ、モーション制御,優先補完,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,公式決算短信と決算説明資料から受注・利益率を入れる
フィジカルAI,2,6954.T,ファナック,FA、CNC、産業用ロボット,優先検証,接続済み,100,観察,数値は接続できたが、購入候補化には追加確認が必要。,33,52,今回は見送り,14,10,17,4,38.82,3.85,9.28,7.6,15.7,21.2,96.1,38.5,-25.5,2026-05-21,過去5年/10年の指数差と決算後反応を接続する
フィジカルAI,3,6861.T,キーエンス,センサー、画像処理、FAデータ取得,優先補完,接続済み,89,観察,数値は接続できたが、購入候補化には追加確認が必要。,16,50,今回は見送り,14,9,16,2,,5.4,13.53,10.4,8.4,32.2,24.4,30.4,-18.3,2026-05-21,PER水準と利益率の安定性を入れる
フィジカルAI,4,6273.T,SMC,空圧制御、自動化部品,補完後再判定,接続済み,100,保留,既存100社スコア50点未満 / リスク減点が大きい,34,36,今回は見送り,4,15,8,7,23.84,1.92,8.28,6.4,0.2,-9.5,17.7,10.1,-23.7,2026-05-21,公式決算の地域別売上と利益率を入れる
フィジカルAI,5,6645.T,オムロン,制御機器、センシング、FA,回復確認,接続済み,100,保留,リスク減点が大きい,35,54,今回は見送り,13,13,16,6,38.7,1.27,3.54,-4.3,10.9,12.9,40,24.5,-22.7,2026-05-21,直近決算で制御機器の回復を確認する
フィジカルAI,6,6594.T,ニデック,モーター、アクチュエータ、駆動部品,補完後再判定,接続済み,89,観察,数値は接続できたが、購入候補化には追加確認が必要。,32,50,今回は見送り,20,9,8,2,,1.7,9.81,11.1,47.1,11.9,-4.3,8.8,-20.1,2026-05-21,セグメント別の利益率と成長源を整理する
フィジカルAI,7,6762.T,TDK,センサー、電源、バッテリー、電子部品,複合候補,接続済み,100,数値確認済み,既存100社スコアと主要指標の入力率は確認済み。決算後反応・受注確認へ進める。,30,66,観察候補,20,13,17,0,26.7,2.75,9.81,13.6,21.5,30.4,105.9,41.1,-20,2026-05-21,電源・センサー寄与と電子部品サイクルを分ける
フィジカルAI,8,6324.T,ハーモニック・ドライブ・システムズ,精密減速機、ロボット関節部品,小型高感応,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,受注回復と損益改善を確認する
フィジカルAI,9,6981.T,村田製作所,センサー、通信部品、電子部品,調査追加,接続済み,100,保留,1年急騰後,29,58,比較対象,17,9,18,0,41.64,4.49,8.83,5,0.8,86.3,223.7,98.8,-19.3,2026-05-21,スマホ依存とAI/自動車/産業向けの寄与を分ける
フィジカルAI,10,6479.T,ミネベアミツミ,モーター、センサー、精密部品,調査追加,未接続,0,数値接続前,既存100社スクリーニング表に同一tickerがないため、購入候補判定には使わない。,,,,,,,,,,,,,,,,,,ロボット・産業機器向け売上の確認
