updated_at,selection_rank,ticker,company,in_fixed_universe,fixed_universe_id,universe_score,primary_purpose,usefulness_level,roles,fixed_reason,nisa_score_reference,quantitative_grade,data_readiness_score,current_gap,lineage_note
2026/05/26 20:17,1,6762.T,TDK,採用済み,30,66,時流テーマ,A 詳細確認,時流テーマ,役割があり、主要データ取得状況を確認できる。,60.7,A,90,イベント因果未完了,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,2,2802.T,味の素,採用済み,71,19,NISA 1年保有,C データ補完後に判定,指数比較・大型代表 / NISA 1年保有,役割または主要データ取得状況の確認が不足。,67.8,B,90,決算後反応未完了または未到達 / 業種別補正未完了 / 業種別補正:接続不可,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,3,8766.T,東京海上HD,採用済み,6,74,NISA 1年保有,A 詳細確認,指数比較・大型代表 / NISA 1年保有,役割があり、主要データ取得状況を確認できる。,65.4,B,80,決算後反応未完了または未到達 / イベント因果未完了,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,4,8316.T,三井住友FG,採用済み,4,69,NISA 1年保有,A 詳細確認,指数比較・大型代表 / NISA 1年保有,役割があり、主要データ取得状況を確認できる。,65.1,B,90,決算後反応未完了または未到達 / イベント因果未完了,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,5,8306.T,三菱UFJ FG,採用済み,3,64,NISA 1年保有,A 詳細確認,指数比較・大型代表 / NISA 1年保有,役割があり、主要データ取得状況を確認できる。,62.1,C,82,財務指標未完了 / 業種別補正未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,6,6367.T,ダイキン工業,採用済み,41,56,時流テーマ,B 観察継続,時流テーマ,役割があり、主要データ取得状況を確認できる。,52.6,C,80,決算後反応未完了または未到達 / イベント因果未完了,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,7,6503.T,三菱電機,採用済み,18,58,時流テーマ,B 観察継続,時流テーマ,役割があり、主要データ取得状況を確認できる。,55.6,C,90,決算後反応未完了または未到達 / イベント因果未完了,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,8,5020.T,ENEOS HD,採用済み,57,12,景気・マクロ感応,D 低優先・比較のみ,景気・マクロ感応,役割または主要データ取得状況の確認が不足。,64.3,C,90,決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 業種別補正:接続不可,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,9,6146.T,ディスコ,採用済み,25,60,時流テーマ,A 詳細確認,時流テーマ,役割があり、主要データ取得状況を確認できる。,60.9,C,82,財務指標未完了 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:説明補助まで / PER:既存CSV内では未発見,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
2026/05/26 20:17,10,4385.T,メルカリ,採用済み,85,17,テンバガー探索,C データ補完後に判定,テンバガー探索,役割または主要データ取得状況の確認が不足。,79.8,保留,61,財務指標未完了 / 決算後反応未完了または未到達 / 業種別補正未完了 / イベント因果未完了 / 財務指標:説明補助まで / 業種別補正:接続不可 / PER:既存CSV内では未発見,固定母集団に採用済み。NISA 1年保有、時流テーマ、指数比較などの役割を持つ対象として10社確認へ進めている。
