No,不足点,改善内容,追加ファイルまたは画面,現状,運用上の扱い
1,候補10社の最終根拠が不十分,候補ごとに公式数値、株価指標、長期安定性、質的材料、未取得項目を1行で確認する証拠マトリクスを追加,851_candidate10_evidence_matrix_20260603.csv,改善実装済み,不足項目は点数に混ぜず、未取得として表示
2,100社前後の母集団条件が弱い,母集団に入れる条件と除外条件を固定。流動性、時価総額、業績成長、データ取得可否、特殊リスクを明記,850_universe100_fixed_rulebook_20260603.csv,改善実装済み,条件外の銘柄は別枠観察にする
3,決算後反応の検証が不足,決算後1営業日、5営業日、20営業日の対日経平均/TOPIX超過リターンを入力するゲートを追加,852_earnings_reaction_gate_20260603.csv,実データ待ち,20営業日未到来は未到来として扱う
4,質的テーマの客観化が途中,仮説層、実績層、反証条件、出所、対象企業への伝播経路を分離。単純加点を禁止,853_qualitative_theme_validation_gate_20260603.csv,改善実装済み,質的材料は直接買いシグナルではなく、候補化と警戒条件に使う
5,量子・フィジカルAI枠が作業中,既存候補とは分け、探索枠として監視。NISA候補に入れるには量的ゲート通過が必要と明記,847_quantum_physical_ai_channel_20260602.html,作業中を明示,現時点では別枠観察
6,税制レイヤーが確認支援に留まる,NISA向き、課税口座向き、損出し、外国税額控除、配当課税比較を補助列として整理,842_tax_aware_operation_layer_phase1_20260602.html,改善実装済み,既存スコアは上書きしない
7,6月イベントの実データ入力が未完,CPI、日銀、FOMC後に入れる項目と分岐を固定。結果が悪い場合は購入延期にする,854_june_event_input_gate_20260603.csv,実データ待ち,2026/06/10以降に更新
8,上値・下値・途中決済ルールが暫定,共通ルールに加え、最大下落率、ボラティリティ、決算日、テーマ崩れ条件で銘柄別補正する表を追加,855_trade_rule_refinement_matrix_20260603.csv,改善実装済み,購入前に銘柄別値幅を再計算
9,S&P500/TOPIX比較が購入比率に直結していない,+1%未満なら個別株比率を増やさない、+5%未満なら高リスク枠を増やさない等の配分ゲートを追加,856_benchmark_allocation_gate_20260603.csv,改善実装済み,実績差と期待差を分ける
10,画面が煩雑,毎日見る実用画面を新設。今日見る項目、買わない条件、次の入力、主要リンクだけに整理,858_practical_today_dashboard_20260603.html,改善実装済み,詳細資料は別画面に残す
