updated_at,ticker,company,lane,task_category,status,task_count,priority,action,output
2026/05/26 17:06,6762.T,TDK,A 先行観察,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,6762.T,TDK,A 先行観察,業種別補正,確認済み,0,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,6762.T,TDK,A 先行観察,決算後反応,確認済み,0,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,6762.T,TDK,A 先行観察,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,2802.T,味の素,B 補完後候補,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,2802.T,味の素,B 補完後候補,業種別補正,2日以内に補完,1,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,2802.T,味の素,B 補完後候補,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,2802.T,味の素,B 補完後候補,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,8766.T,東京海上HD,B 補完後候補,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,8766.T,東京海上HD,B 補完後候補,業種別補正,確認済み,0,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,8766.T,東京海上HD,B 補完後候補,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,8766.T,東京海上HD,B 補完後候補,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,8316.T,三井住友FG,B 補完後候補,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,8316.T,三井住友FG,B 補完後候補,業種別補正,確認済み,0,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,8316.T,三井住友FG,B 補完後候補,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,8316.T,三井住友FG,B 補完後候補,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,8306.T,三菱UFJ FG,B 補完後候補,財務指標,2日以内に補完,1,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,8306.T,三菱UFJ FG,B 補完後候補,業種別補正,2日以内に補完,1,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,8306.T,三菱UFJ FG,B 補完後候補,決算後反応,確認済み,0,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,8306.T,三菱UFJ FG,B 補完後候補,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,6367.T,ダイキン工業,B 補完後候補,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,6367.T,ダイキン工業,B 補完後候補,業種別補正,確認済み,0,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,6367.T,ダイキン工業,B 補完後候補,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,6367.T,ダイキン工業,B 補完後候補,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,6503.T,三菱電機,B 補完後候補,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,6503.T,三菱電機,B 補完後候補,業種別補正,確認済み,0,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,6503.T,三菱電機,B 補完後候補,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,6503.T,三菱電機,B 補完後候補,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,5020.T,ENEOS HD,C 補完優先,財務指標,確認済み,0,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,5020.T,ENEOS HD,C 補完優先,業種別補正,2日以内に補完,1,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,5020.T,ENEOS HD,C 補完優先,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,5020.T,ENEOS HD,C 補完優先,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,6146.T,ディスコ,C 補完優先,財務指標,2日以内に補完,1,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,6146.T,ディスコ,C 補完優先,業種別補正,2日以内に補完,1,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,6146.T,ディスコ,C 補完優先,決算後反応,確認済み,0,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,6146.T,ディスコ,C 補完優先,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
2026/05/26 17:06,4385.T,メルカリ,D 補欠保留,財務指標,2日以内に補完,1,1,PER/PBR/ROE、売上成長率、利益成長率を公式資料または信頼できるデータで埋める,10社選定表・補完作業表
2026/05/26 17:06,4385.T,メルカリ,D 補欠保留,業種別補正,2日以内に補完,1,3,同業比較の中央値・レンジを入れ、PER/PBR/ROEの単純比較を避ける,10社選定表・補完作業表
2026/05/26 17:06,4385.T,メルカリ,D 補欠保留,決算後反応,待つ,1,2,決算後1日/5日/20日の対指数超過リターンを記録する。20営業日未到達は待つ,10社選定表・補完作業表
2026/05/26 17:06,4385.T,メルカリ,D 補欠保留,イベント実績層,6月イベント後に入力,3,4,イベント日、公式ソース、株価反応、指数反応を入力しS〜C判定する,428/433系CSV
