updated_at,rank,ticker,company,category,action_band,type,nisa_score,earnings_reaction_score,data_confidence,per,pbr,roe_pct,main_risk,proceed_condition,caution_condition,stop_condition,next_action
2026/05/25 19:13,1,4385.T,メルカリ,残す,購入検討へ進む条件あり,グロース/ネット,79.8,56.8,87,未取得,5.79,30.52,金利上昇と市場リスクオフで高成長株が売られやすい。PER未取得のため割高評価の完全確認が未了。,20営業日超過リターンが0%以上、PBRが急拡大していない、米10年金利4.60%未満、NASDAQが崩れていない,20営業日未到達、または超過リターン-5%以内、米金利4.60〜4.70%,20営業日超過-5%以下、米金利4.70%以上、決算後反応35点未満、PER/PBR確認不能が続く,6月判定では小口検討または候補維持。PER相当の割高確認が取れるまで比率を上げない。
2026/05/25 19:13,2,2802.T,味の素,残す,購入検討へ進む条件あり,食品/ヘルスケア,67.8,65.8,95,43.73,6.81,17.75,予想PER43.73倍、PBR6.81倍で割安余地は小さい。決算反応と次期成長確認が必要。,20営業日超過リターン0%以上、PER45倍未満、PBR7倍未満、会社見通しに下方修正なし,20営業日未到達、PER45倍接近、日経より強いが出来高確認不足,PER45倍以上かつPBR7倍以上、20営業日超過-5%以下、営業利益見通し悪化,価格を追わず、割高ゲートを通った場合のみ小口検討。割高継続なら待機。
2026/05/25 19:13,3,8316.T,三井住友FG,残す,購入検討へ進む条件あり,銀行,65.1,55.5,95,13.61,1.47,10.38,金利上昇は追い風だが、急な金利変動・信用コスト・政策ショックは逆風。,日銀後に銀行株がTOPIX比で崩れず、円高ショックなし、20営業日反応が0%以上,銀行株は強いが日経全体が75日線を割る、または信用コスト情報が未確認,銀行株がTOPIX比-3%以上、日経-3%以上、信用コスト悪化、日銀ショック,金利テーマ枠として候補維持。日銀後の銀行セクター反応を見て判断。
2026/05/25 19:13,4,5020.T,ENEOS HD,残す,小口検討または候補維持,エネルギー,64.3,57,95,8.36,1.03,8.00,利益前年比は大きいが売上は-4.5%。原油・精製マージン・為替の影響が大きい。,20営業日反応0%以上、原油価格が急落せず、円高ショックなし、精製マージン悪化なし,原油が短期で±10%動く、売上減少の理由確認が未了,原油急落、精製マージン悪化、20営業日超過-5%以下、地政学材料の反転,テーマ連動が強いため、原油・為替・決算反応がそろうまで小口以上は不可。
2026/05/25 19:13,5,8306.T,三菱UFJ FG,残す,小口検討または候補維持,銀行,62.1,41.3,92,未取得,1.56,11.34,金利上昇メリットはあるが、日銀イベントで市場全体が崩れると銀行も巻き込まれる。,日銀後に銀行株がTOPIX比で優位、米金利急騰なし、日経75日線を維持,銀行株は強いが日経が75日線付近、または信用コスト確認不足,銀行株がTOPIX比-3%以上、日経75日線-2%以上、信用コスト悪化,三井住友FGと重複するため、銀行枠の中でどちらを残すかを6月に比較。
2026/05/25 19:13,6,6146.T,ディスコ,残す,小口検討または候補維持,半導体装置,60.9,68.7,92,未取得,12.32,25.15,AI/半導体需要に強い一方、米金利上昇・SOX下落・円高に弱い。,FOMC後に米10年金利4.60%未満、SOXが2営業日で-3%以内、決算後反応50点以上維持,SOX -3〜-5%、米金利4.60〜4.70%、円高2〜3%,SOX -5%以上、米金利4.70%以上、円高3%以上、60日最大下落-25%超,半導体枠の本命候補。マクロゲートを通らない限り購入検討へ進めない。
2026/05/25 19:13,7,6762.T,TDK,残す,小口検討または候補維持,電子部品,60.7,62.9,100,26.7,2.75,9.81,電池・電子部品テーマは強いが、1年上昇率が高く、円高と電子部品サイクルに注意。,FOMC後にSOX/NASDAQが崩れず、円高3%未満、20営業日反応が50点以上,1年上昇率がさらに拡大、出来高急増で上髭、円高2〜3%,円高3%以上、SOX -5%以上、20営業日超過-5%以下、PBR上昇が続く,半導体・電子部品枠として候補維持。ディスコと同時に過大配分しない。
2026/05/25 19:13,8,6503.T,三菱電機,残す,候補維持,総合電機/FA,55.6,55.1,95,26.09,2.76,9.67,電力制御・FAテーマはあるが、業績/質スコアが低め。決算反応の確定が必要。,20営業日反応50点以上、日経75日線維持、円高ショックなし、FA/電力制御の業績説明が確認できる,20営業日未到達、業績伸びが弱いまま、セグメント確認不足,20営業日反応35点未満、業績/質スコア改善なし、円高3%以上,8社中では確認項目が多い。6月は候補維持寄りで扱う。
2026/05/25 19:13,9,8766.T,東京海上HD,予備,予備維持,保険/金利,65.4,40.6,100,17.61,2.7,18.68,予備枠。経常利益前年比-7.6%、決算後1日反応は日経比-4.68%。還元方針と20営業日反応待ち。,20営業日反応50点以上、5日/20日超過リターンが改善、還元方針に悪化なし、自然災害損失懸念が拡大しない,反応点35〜50点、20営業日未到達、利益減の一過性確認が未了,反応点35点未満、20営業日超過-5%以下、経常利益減少の継続懸念、保険セクターが弱い,現時点は予備。6月一次判定で昇格しなければ待機。
2026/05/25 19:13,10,6367.T,ダイキン工業,予備,予備維持,空調/冷却,52.6,57.2,100,24.97,2.14,9.1,予備枠。AI冷却テーマはあるが全社営業利益+3.3%で伸びは強くない。,20営業日反応50点以上、データセンター冷却・北米/アジア需要の説明確認、日経75日線維持,テーマは強いが業績寄与が確認不足、20営業日未到達,20営業日反応35点未満、営業利益成長が鈍いまま、出来高弱く株価が日経に負ける,現時点は予備。テーマが業績に入る証拠を確認できるまで購入候補にしない。
