hypothesis_rating,evidence_rating,meaning,allowed_output,score_policy,action
S,S,因果仮説が明確で過去実績やKPI接続も強い,質的S,実績主導で高評価可能,量的ゲート通過後に10社候補へ
S,A,仮説が強く実績も概ね確認できる,質的A,高評価。ただし実績不足分は信頼度で調整,量的ゲート通過後に候補化
S,B,仮説は強いが実績が弱い/事例が少ない,質的B上限,仮説でS/Aにしない,監視または補欠
S,C,話題は強いが実績が確認できない,質的C-B上限,購入候補スコアに反映しない,探索メモ止まり
A,S,仮説は十分で実績が強い,質的A-S,実績を優先して評価,量的ゲート通過後に候補化
A,A,仮説と実績が両方良い,質的A,標準的な高評価,量的ゲート通過後に候補化
A,B,仮説はあるが実績が弱め,質的B,実績不足のため上限B,監視または補欠
A,C,仮説はあるが実績なし,質的C-B上限,購入候補スコアに反映しない,探索メモ止まり
B,S,仮説は平凡だが過去実績が強い,質的A,仮説を見直す価値あり,実績理由を再調査
B,A,仮説は平凡だが実績は良い,質的B-A,実績寄りに評価,量的ゲート次第で補欠
B,B,仮説も実績も普通,質的B,優先度は低い,100社内では残すが10社候補は難しい
B,C,実績が弱い,質的C,反映しない,除外寄り
C,S,仮説は弱いのに実績が強い,要調査,計算に入れる前に理由確認,データ異常/別要因を確認
C,A,仮説は弱いが実績はある,要調査,直接加点しない,別イベントや業種要因を再分類
C,B,仮説も弱く実績も普通,質的C,反映しない,除外
C,C,仮説も実績も弱い,質的C,反映しない,除外
