updated_at,work_id,ticker,company,lane,missing_area,treatment,priority,can_resolve_in_48h,source_or_data,acceptance_rule,effect
2026/05/26 16:33,1,6762.T,TDK,A 先行観察,イベント後リターン/因果,仮説と実績を分ける,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日、関連指数、対象銘柄の1/5/20営業日後リターン。,仮説層と実績層を別列にする。実績がない場合は加点せず、検証待ちにする。,仮説だけでは加点しない。実績層が取れたら候補説明に使う。
2026/05/26 16:33,2,2802.T,味の素,B 補完後候補,決算後反応,待つ,高,完全解消不可。未到達として記録する。,株価時系列、日経平均/TOPIX、決算日。20営業日が未到達なら未到達として記録。,1日/5日反応は記録。20営業日未到達は「未到達」と明記し、点数に混ぜない。,購入判断には使わず、短期反応ログと未到達フラグだけ残す。
2026/05/26 16:33,3,2802.T,味の素,B 補完後候補,業種別補正,埋める,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業2社以上のPER/PBR/ROE、売上成長、利益成長。,候補銘柄を同業平均または同業中央値と比較できる状態にする。,補完後に候補レーンの維持・昇格・保留を再判定する。
2026/05/26 16:33,4,8766.T,東京海上HD,B 補完後候補,決算後反応,待つ,高,完全解消不可。未到達として記録する。,株価時系列、日経平均/TOPIX、決算日。20営業日が未到達なら未到達として記録。,1日/5日反応は記録。20営業日未到達は「未到達」と明記し、点数に混ぜない。,購入判断には使わず、短期反応ログと未到達フラグだけ残す。
2026/05/26 16:33,5,8766.T,東京海上HD,B 補完後候補,イベント後リターン/因果,仮説と実績を分ける,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日、関連指数、対象銘柄の1/5/20営業日後リターン。,仮説層と実績層を別列にする。実績がない場合は加点せず、検証待ちにする。,仮説だけでは加点しない。実績層が取れたら候補説明に使う。
2026/05/26 16:33,6,8316.T,三井住友FG,B 補完後候補,決算後反応,待つ,高,完全解消不可。未到達として記録する。,株価時系列、日経平均/TOPIX、決算日。20営業日が未到達なら未到達として記録。,1日/5日反応は記録。20営業日未到達は「未到達」と明記し、点数に混ぜない。,購入判断には使わず、短期反応ログと未到達フラグだけ残す。
2026/05/26 16:33,7,8316.T,三井住友FG,B 補完後候補,イベント後リターン/因果,仮説と実績を分ける,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日、関連指数、対象銘柄の1/5/20営業日後リターン。,仮説層と実績層を別列にする。実績がない場合は加点せず、検証待ちにする。,仮説だけでは加点しない。実績層が取れたら候補説明に使う。
2026/05/26 16:33,8,8306.T,三菱UFJ FG,B 補完後候補,財務指標,埋める,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,公式決算短信、有価証券報告書、既存CSV。未取得値は空欄のままにする。,PER/PBR/ROE、売上成長、利益成長のうち欠けている項目を埋める。出典欄を残す。,補完後に候補レーンの維持・昇格・保留を再判定する。
2026/05/26 16:33,9,8306.T,三菱UFJ FG,B 補完後候補,業種別補正,埋める,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業2社以上のPER/PBR/ROE、売上成長、利益成長。,候補銘柄を同業平均または同業中央値と比較できる状態にする。,補完後に候補レーンの維持・昇格・保留を再判定する。
2026/05/26 16:33,10,6367.T,ダイキン工業,B 補完後候補,決算後反応,待つ,高,完全解消不可。未到達として記録する。,株価時系列、日経平均/TOPIX、決算日。20営業日が未到達なら未到達として記録。,1日/5日反応は記録。20営業日未到達は「未到達」と明記し、点数に混ぜない。,購入判断には使わず、短期反応ログと未到達フラグだけ残す。
2026/05/26 16:33,11,6367.T,ダイキン工業,B 補完後候補,イベント後リターン/因果,仮説と実績を分ける,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日、関連指数、対象銘柄の1/5/20営業日後リターン。,仮説層と実績層を別列にする。実績がない場合は加点せず、検証待ちにする。,仮説だけでは加点しない。実績層が取れたら候補説明に使う。
2026/05/26 16:33,12,6503.T,三菱電機,B 補完後候補,決算後反応,待つ,高,完全解消不可。未到達として記録する。,株価時系列、日経平均/TOPIX、決算日。20営業日が未到達なら未到達として記録。,1日/5日反応は記録。20営業日未到達は「未到達」と明記し、点数に混ぜない。,購入判断には使わず、短期反応ログと未到達フラグだけ残す。
2026/05/26 16:33,13,6503.T,三菱電機,B 補完後候補,イベント後リターン/因果,仮説と実績を分ける,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日、関連指数、対象銘柄の1/5/20営業日後リターン。,仮説層と実績層を別列にする。実績がない場合は加点せず、検証待ちにする。,仮説だけでは加点しない。実績層が取れたら候補説明に使う。
2026/05/26 16:33,14,5020.T,ENEOS HD,C 補完優先,決算後反応,待つ,高,完全解消不可。未到達として記録する。,株価時系列、日経平均/TOPIX、決算日。20営業日が未到達なら未到達として記録。,1日/5日反応は記録。20営業日未到達は「未到達」と明記し、点数に混ぜない。,購入判断には使わず、短期反応ログと未到達フラグだけ残す。
2026/05/26 16:33,15,5020.T,ENEOS HD,C 補完優先,業種別補正,埋める,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業2社以上のPER/PBR/ROE、売上成長、利益成長。,候補銘柄を同業平均または同業中央値と比較できる状態にする。,補完後に候補レーンの維持・昇格・保留を再判定する。
