ticker,name,role,financial_status,universe_status,reaction_score,confidence,required_items,source_to_check,gate,action,purchase_effect
8053.T,住友商事,中心候補,pass,再選定候補,43.7,B,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 配当・自社株買い・還元方針,住友商事IR/決算資料,財務確認済み,6月イベント・口座確認後に再判定,財務は通過。ただしイベント・口座・指数比較が未完了なら買付不可
8316.T,三井住友FG,中心候補,pass,再選定候補,57.1,A,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 配当・自社株買い・還元方針,三井住友FG IR/決算短信,財務確認済み,6月イベント・口座確認後に再判定,財務は通過。ただしイベント・口座・指数比較が未完了なら買付不可
6501.T,日立製作所,中心候補,pass,再選定候補,29.1,C,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減,日立製作所IR/決算説明会資料,反応再確認,6月イベント・口座確認後に再判定,財務は通過。ただしイベント・口座・指数比較が未完了なら買付不可
6503.T,三菱電機,条件付き候補,partial,再選定候補,43.9,B,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,三菱電機IR/決算短信・説明資料,財務確認後,公式資料で数値を入れる,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
6857.T,アドバンテスト,条件付き候補,partial,監視,20.4,C,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,アドバンテストIR/決算資料,監視,財務確認しても小口候補へ上げるには指数・反応改善が必要,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
8035.T,東京エレクトロン,条件付き候補,partial,監視,68.2,B,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,東京エレクトロンIR/決算短信,監視,財務確認しても小口候補へ上げるには指数・反応改善が必要,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
7011.T,三菱重工業,条件付き候補,partial,除外,34.5,C,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,三菱重工IR/決算資料,初回買付不可,財務確認しても、価格・反応・下落理由が解消するまで監視,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
6762.T,TDK,条件付き候補,partial,再選定候補,91.6,B,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与,TDK IR/決算短信,財務確認後,公式資料で数値を入れる,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
6146.T,ディスコ,条件付き候補,partial,除外,32.3,C,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,ディスコIR/決算説明資料,初回買付不可,財務確認しても、価格・反応・下落理由が解消するまで監視,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
5803.T,フジクラ,条件付き候補,partial,除外,0,C,PER / PBR / ROE / 営業利益率 / 今期会社予想 / 前期比増減 / 受注またはセグメント寄与 / 高PER・高PBRを説明できる成長根拠,フジクラIR/決算短信,初回買付不可,財務確認しても、価格・反応・下落理由が解消するまで監視,未確認数値を点数に混ぜない。確認完了まで予定比率を上げない
