updated_at,rank,ticker,company,sector,category,nisa_score,data_confidence,ret1y_pct,best_benchmark_name,best_benchmark_return_pct,plus1_target_return_pct,excess_vs_plus1_target_pct,validation_status,hard_gate,plus1_status,action,reason,risk_memo
2026/05/25 21:02,1,4385.T,メルカリ,ネット,残す,79.8,87,70.7,日経平均,49.55,50.55,20.15,未接続,決算後20営業日未到達,比較上は通過・ゲート保留,6月イベント後に再判定,1年実績は合格線比 +20.15%。ただし 決算後20営業日未到達 のため売買判断へ進めない。,ゲート: 決算後20営業日未到達 / 信頼度 87点
2026/05/25 21:02,2,2802.T,味の素,食品,残す,67.8,95,57.1,日経平均,49.55,50.55,6.55,暫定検証可,決算後20営業日未到達,比較上は通過・ゲート保留,6月イベント後に再判定,1年実績は合格線比 +6.55%。ただし 決算後20営業日未到達 のため売買判断へ進めない。,ゲート: 決算後20営業日未到達 / PER 43.73倍で割高確認
2026/05/25 21:02,3,8316.T,三井住友FG,銀行,残す,65.1,95,69.9,日経平均,49.55,50.55,19.35,未接続,決算後20営業日未到達,比較上は通過・ゲート保留,6月イベント後に再判定,1年実績は合格線比 +19.35%。ただし 決算後20営業日未到達 のため売買判断へ進めない。,ゲート: 決算後20営業日未到達
2026/05/25 21:02,4,5020.T,ENEOS HD,エネルギー,残す,64.3,95,90.9,日経平均,49.55,50.55,40.35,未接続,決算後20営業日未到達,比較上は通過・ゲート保留,6月イベント後に再判定,1年実績は合格線比 +40.35%。ただし 決算後20営業日未到達 のため売買判断へ進めない。,ゲート: 決算後20営業日未到達
2026/05/25 21:02,5,8306.T,三菱UFJ FG,銀行,残す,62.1,92,56.8,日経平均,49.55,50.55,6.25,暫定検証可,なし,比較上は有力,候補維持,1年実績が合格線を +6.25% 上回り、スコアと信頼度も最低条件を満たす。,大きな停止理由なし
2026/05/25 21:02,6,6146.T,ディスコ,半導体装置,残す,60.9,92,97.7,日経平均,49.55,50.55,47.15,未接続,なし,比較上は有力,候補維持,1年実績が合格線を +47.15% 上回り、スコアと信頼度も最低条件を満たす。,60日最大下落 -23.5%
2026/05/25 21:02,7,6762.T,TDK,電子部品,残す,60.7,100,105.9,日経平均,49.55,50.55,55.35,未接続,なし,比較上は有力,候補維持,1年実績が合格線を +55.35% 上回り、スコアと信頼度も最低条件を満たす。,60日最大下落 -20%
2026/05/25 21:02,8,6503.T,三菱電機,総合電機,残す,55.6,95,108.2,日経平均,49.55,50.55,57.65,未接続,決算後20営業日未到達,比較上は通過・ゲート保留,6月イベント後に再判定,1年実績は合格線比 +57.65%。ただし 決算後20営業日未到達 のため売買判断へ進めない。,ゲート: 決算後20営業日未到達
2026/05/25 21:02,9,8766.T,東京海上HD,保険,予備,65.4,100,37.7,日経平均,49.55,50.55,-12.85,未接続,決算後反応未接続 / なし / 暫定: 20営業日未到達,指数優位・ゲートあり,個別株比率を下げる,1年実績が合格線を +12.85% 下回る。現時点では指数・投信優先。,ゲート: 決算後反応未接続 / なし / 暫定: 20営業日未到達
2026/05/25 21:02,10,6367.T,ダイキン工業,空調,予備,52.6,100,49.6,日経平均,49.55,50.55,-0.95,未接続,決算後反応未接続 / なし / 暫定: 20営業日未到達,指数優位・ゲートあり,個別株比率を下げる,1年実績が合格線を +0.95% 下回る。現時点では指数・投信優先。,ゲート: 決算後反応未接続 / なし / 暫定: 20営業日未到達
