優先区分,ticker,銘柄,現在扱い,入力項目,入力する値,公式確認元,許容出所,入力条件,未入力時の扱い,完了後の反映,状態
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,PER,株価 ÷ 会社予想EPS、または証券会社・JPX・Yahoo等のPER値。算定日を必ず残す。,三菱電機IR/決算短信・説明資料,会社予想EPSは決算短信・説明資料。PER値を外部サイトから入れる場合は参考値として出所を明記。,対象年度、株価基準日、EPSの種類をそろえる。取得元が違うPERを混在させない。,割高・割安判断に使わない。比率引上げ禁止。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,PBR,株価 ÷ 1株純資産、または証券会社・JPX・Yahoo等のPBR値。算定日を必ず残す。,三菱電機IR/決算短信・説明資料,BPSは決算短信・有価証券報告書。外部サイト値を使う場合は参考値として出所を明記。,株価基準日とBPS対象期をそろえる。,資産価値・過熱判断に使わない。比率引上げ禁止。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,ROE_pct,ROE%。会社資料の値、または親会社株主帰属利益 ÷ 自己資本で計算。,三菱電機IR/決算短信・説明資料,決算短信、決算説明資料、有価証券報告書、統合報告書。,計算した場合は分子・分母・対象期をメモに残す。,収益性スコアに使わない。候補復帰は保留。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,営業利益率_pct,営業利益 ÷ 売上高。IFRS企業は事業利益・営業利益の定義を資料に合わせる。,三菱電機IR/決算短信・説明資料,決算短信、決算説明資料、補足資料。,売上高と利益の単位・対象期間を一致させる。,利益率改善の根拠に使わない。候補復帰は保留。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,今期会社予想_前期比,会社予想の売上・利益・EPSの前期比。上方/据置/下方の分類も残す。,三菱電機IR/決算短信・説明資料,決算短信の業績予想、決算説明資料、会社発表。,通期予想か四半期予想かを明記する。,1年保有の先行き根拠に使わない。候補復帰は保留。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,参照URLまたは資料名,参照した公式資料名またはURL。,三菱電機IR/決算短信・説明資料,会社IR、TDnet、EDINET、JPX、証券会社画面、Yahoo等の参考サイト。,公式資料か参考値かを分ける。,検算不能のため買付判断に使わない。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,資料日付,資料公表日または確認日。,三菱電機IR/決算短信・説明資料,資料表紙、TDnet公表日、IR掲載日。,古い資料と最新資料を混ぜないため必須。,いつの数字か不明なので買付判断に使わない。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,入力状態,未確認、参考値入力、公式確認済み、要再確認のいずれか。,三菱電機IR/決算短信・説明資料,作業者入力。,公式確認済み以外は買付解除に使わない。,未確認として扱い、注文票に反映しない。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6503.T,三菱電機,B: 財務補完後に確認,受注またはセグメント寄与,受注高、受注残、セグメント売上/利益、AI・電力・半導体等の寄与説明。,三菱電機IR/決算短信・説明資料,決算説明資料、補足資料、統合報告書、会社IR。,テーマと業績の接続が読める記述または数値を入れる。,質的テーマを買付理由にしない。監視または補助説明に限定。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
P1: 候補復帰確認,6762.T,TDK,B: 財務補完後に確認,PER,株価 ÷ 会社予想EPS、または証券会社・JPX・Yahoo等のPER値。算定日を必ず残す。,TDK IR/決算短信,会社予想EPSは決算短信・説明資料。PER値を外部サイトから入れる場合は参考値として出所を明記。,対象年度、株価基準日、EPSの種類をそろえる。取得元が違うPERを混在させない。,割高・割安判断に使わない。比率引上げ禁止。,公式確認済みになれば候補復帰を再判定。未確認の間は比率引上げ禁止。,未入力
