event_type,impact_strength,typical_impact,usable_for_nisa_1y,main_risk,score_use
TOB/MBO/買収,S,発表直後に対象企業株が買付価格へ急接近しやすい,低い,発表後は織り込み済みで上値が限定されやすい,購入候補加点ではなくイベント把握・裁定注意
上方修正/下方修正,S,会社予想の変更でPER/EPS評価が一気に変わる,高い,一過性要因か本業継続かを誤る,量的スコアに正式反映
大型自社株買い/増配,A,需給改善・株主還元評価で買われやすい,中-高,既に期待されている場合は反応が弱い,還元スコアと需給評価に反映
新商品/新サービス,S-A,販売数量・単価・利益率が変わる場合に強い,高い,期待先行・材料出尽くし・初動失敗,質的仮説からKPI確認後に量的反映
大型契約/受注/提携,S-A,将来売上・利益の可視性が高まる,高い,契約金額や利益率が不明だと過大評価,受注残・売上寄与を確認して反映
臨床試験/承認/薬価,A-S,医薬品企業の将来利益が大きく変わる,銘柄による,失敗時の下落が大きい,成功/失敗シナリオを別計算
金利/FOMC/日銀,A,銀行・不動産・高PER株・為替感応株に広く影響,高い,方向が読めても市場期待との差で逆に動く,市場ゲート・セクター感応度に反映
CPI/PPI/雇用統計,A,金利・為替・グロース株に連鎖,中-高,単月データで過剰反応しやすい,マクロゲートとして使う
為替急変,A,輸出・輸入・海外売上比率の高い企業に影響,高い,ヘッジや現地生産で企業差が大きい,海外売上比率・原価比率と結合
原油/ナフサ/商品価格,A,素材・化学・航空・物流・商社・資源株に影響,中-高,価格転嫁力を無視すると逆判定になる,原価率・価格転嫁力と結合
戦争/停戦/地政学,A-S,防衛・資源・物流・旅行・航空・半導体供給網に影響,中,予測困難で急反転しやすい,リスクゲートとシナリオ評価
大型スポーツイベント/万博/BIGイベント,B-A,広告・放送・旅行・飲料・小売・ゲームに短期需要,中,効果が広く薄く織り込まれやすい,関連企業の売上KPIがある場合のみ反映
AI/半導体/データセンター投資,A-S,半導体・電力・冷却・光通信・素材に資金流入,高い,過熱PER・設備投資循環の反転,テーマ仮説と量的ゲートを両方必須
ビットコイン急落/急騰,B-A,リスク選好・暗号資産関連・高PER株へ波及,低-中,株価との因果が弱い場合が多い,相関が確認できる銘柄だけ参考
規制/補助金/国策,A-S,防衛・半導体・電力・医療・脱炭素などに長期資金,高い,予算化や受注化しないと業績に出ない,政策→予算→受注の順に確認
自然災害/災害対策,A,建設・通信・電力・保険・防災関連に影響,中,倫理面と一過性需要・損害額の不確実性,投資候補よりリスク管理と復旧需要確認
