updated_at,ticker,company,missing_area,current_status,priority,can_resolve_in_48h,action
2026/05/26 16:10,6762.T,TDK,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,2802.T,味の素,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,2802.T,味の素,業種別補正,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業数と候補側指標数を増やせる場合のみ補正値へ反映。
2026/05/26 16:10,8766.T,東京海上HD,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,8766.T,東京海上HD,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,8316.T,三井住友FG,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,8316.T,三井住友FG,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,8306.T,三菱UFJ FG,財務指標,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,PER/PBR/ROE・売上成長・利益成長の欠けを公式決算または既存CSVで確認。
2026/05/26 16:10,8306.T,三菱UFJ FG,業種別補正,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業数と候補側指標数を増やせる場合のみ補正値へ反映。
2026/05/26 16:10,6367.T,ダイキン工業,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,6367.T,ダイキン工業,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,6503.T,三菱電機,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,6503.T,三菱電機,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,5020.T,ENEOS HD,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,5020.T,ENEOS HD,業種別補正,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業数と候補側指標数を増やせる場合のみ補正値へ反映。
2026/05/26 16:10,5020.T,ENEOS HD,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,6146.T,ディスコ,財務指標,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,PER/PBR/ROE・売上成長・利益成長の欠けを公式決算または既存CSVで確認。
2026/05/26 16:10,6146.T,ディスコ,業種別補正,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業数と候補側指標数を増やせる場合のみ補正値へ反映。
2026/05/26 16:10,6146.T,ディスコ,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
2026/05/26 16:10,4385.T,メルカリ,財務指標,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,PER/PBR/ROE・売上成長・利益成長の欠けを公式決算または既存CSVで確認。
2026/05/26 16:10,4385.T,メルカリ,決算後反応,一部接続,高,20営業日未到達なら完全解消は不可。未到達として別扱いにする。,20営業日到達後に対日経平均の1日/5日/20日超過リターンを再計算。
2026/05/26 16:10,4385.T,メルカリ,業種別補正,一部接続,中,既存CSV・公式資料・株価時系列の結合で初期対応可能。,同業数と候補側指標数を増やせる場合のみ補正値へ反映。
2026/05/26 16:10,4385.T,メルカリ,イベント後リターン/因果,一部接続,高,既存CSV・公式資料・株価時系列の結合で初期対応可能。,イベント日と株価時系列を結合し、類似イベントの超過リターンを確認。
