category,question,answer,evidence
選定全体,この10社は購入候補として確定ですか。,確定ではありません。本日提示する10社は、6月の市場イベント後に再判定する検証対象です。現時点では、TDKを最優先確認、三井住友FG・味の素・東京海上HDを条件付き確認、その他を比較・補完・検算に分けています。,本日説明用10社選出根拠、量的×質的統合候補判定
選定方法,時流テーマを点数に足しているだけではないですか。,足していません。質的テーマは候補抽出、通過条件、除外条件として使い、総合点へ直接加算しません。量的評価・質的評価・元評価の弱い側を上限にして、過大評価を抑えています。,質的評価ゲート、量的×質的統合候補判定
半導体,半導体工程で高シェアなら有望なのに、なぜディスコを上位にしないのですか。,構造テーマは有力ですが、現時点では直近の株価反応が弱く、公式数字と20営業日反応の検算が必要です。そのため主候補ではなく仮説検算枠に置いています。テーマだけで上げないための設計です。,質的テーマ×銘柄接続表、NISA検証対象10社
TDK,なぜTDKが最優先なのですか。,量的評価A、質的評価Aで、AI半導体・HBM周辺、電子部品、円安感応に接続しています。今後は20営業日反応、AI/HBM関連の売上・受注・利益率、為替感応度を確認します。,本日説明用10社選出根拠、質的テーマ×銘柄接続表
金融,三井住友FGや東京海上HDを入れる理由は何ですか。,金利上昇、資本効率、株主還元のテーマに接続します。ただし、信用コスト、自然災害損害率、日銀後の金融株反応が条件です。条件付き候補として扱い、無条件の上位候補にはしていません。,質的テーマ×銘柄接続表
味の素,味の素はPERが高いのではないですか。,高い可能性があるため、条件付き確認にしています。食品値上げ耐性、ABF/ヘルスケア、原材料・為替のテーマはありますが、値上げ後の数量維持、原材料費、成長率でPERを説明できるかを確認します。,本日説明用10社選出根拠
100社母集団,100社前後の母集団はどう扱っていますか。,100社ぴったりを目的にせず、候補として意味のある母集団を作る方針です。本日は、その中から詳細確認へ進める10社を検証対象として整理しています。次工程で母集団全体への質的テーマ接続を広げます。,母集団定義、質的テーマ×銘柄接続表
NISA,NISAで1年持つ前提に合っていますか。,短期売買ではなく1年保有テストを想定しています。そのため、テーマだけでなく、決算数字、下落耐性、20営業日反応、6月の市場イベント後の再判定を重視しています。,NISA 1年保有テスト運用手順
ベンチマーク,S&P500や日経平均連動投信より意味がありますか。,目標は、既存の無難な選択肢を1年で少なくとも+1%ポイント上回れるかを検証することです。現時点では実績ではなく、検証設計と候補整理の段階です。,+1%ベンチマーク接続、NISA記録台帳
6月判断,いつ決めるのですか。,5月中は候補整理とデータ確認です。6月のCPI、日銀、FOMC後に、市場環境、指数反応、各社の確認数字を更新し、残す・下げる・外すに再分類します。,候補10社 6月再判定カレンダー、6月判定ルール
