updated_at,fixed_universe_id,ticker,company,sector,theme,primary_purpose,usefulness_level,roles,quote_status,performance_status,chart_status,data_acquired_count,universe_score,reason_in_universe,fixed_status,fixed_reason
2026/05/25 20:39,1,7203.T,トヨタ自動車,自動車,世界販売・円安・HV/EV,景気・マクロ感応,B 観察継続,指数比較・大型代表 / 景気・マクロ感応,取得,取得,取得,3,34,指数・投信と比べる基準になる大型代表 / 金利・円安・資源・消費など市場環境の影響を測る,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,2,6758.T,ソニーグループ,エンタメ/半導体,ゲーム・音楽・画像センサー,指数比較・大型代表,B 観察継続,指数比較・大型代表,取得,取得,取得,3,38,指数・投信と比べる基準になる大型代表,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,3,8306.T,三菱UFJ FG,銀行,金利上昇・大手銀行,NISA 1年保有,A 詳細確認,指数比較・大型代表 / NISA 1年保有,取得,取得,取得,3,64,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,4,8316.T,三井住友FG,銀行,金利上昇・大手銀行,NISA 1年保有,A 詳細確認,指数比較・大型代表 / NISA 1年保有,取得,取得,取得,3,69,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,5,8411.T,みずほFG,銀行,金利上昇・大手銀行,NISA 1年保有,A 詳細確認,NISA 1年保有,取得,取得,取得,3,66,1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,6,8766.T,東京海上HD,保険,金利上昇・保険運用,NISA 1年保有,A 詳細確認,指数比較・大型代表 / NISA 1年保有,取得,取得,取得,3,74,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,7,8750.T,第一生命HD,保険,金利上昇・保険運用,NISA 1年保有,A 詳細確認,NISA 1年保有,取得,取得,取得,3,63,1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,8,8725.T,MS&AD,保険,金利上昇・保険運用,NISA 1年保有,A 詳細確認,NISA 1年保有,取得,取得,取得,3,60,1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,9,9432.T,NTT,通信,守り・通信インフラ,NISA 1年保有,B 観察継続,指数比較・大型代表 / NISA 1年保有,取得,取得,取得,3,40,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
2026/05/25 20:39,10,9433.T,KDDI,通信,守り・通信インフラ,NISA 1年保有,B 観察継続,指数比較・大型代表 / NISA 1年保有,取得,取得,取得,3,46,指数・投信と比べる基準になる大型代表 / 1年保有テストで安定性や配当/業績の確認対象,母集団採用,役割があり、主要データ取得状況を確認できる。
