generated_at,rank,ticker,company,sector,nisa_score,data_confidence,per,pbr,roe_pct,hard_gate,qualitative_status,qualitative_score,qualitative_themes,decision,buy_rule,stop_rule,reject_or_watch,next_input
2026/05/27 10:27,1,4385.T,メルカリ,ネット,79.8,87,未取得,5.79,30.52,決算後20営業日未到達,質的材料未接続,50,未接続,保留,監視のみ。点数や質的材料だけで購入候補へ上げない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,質的な追い風・逆風を未反映,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,2,2802.T,味の素,食品,67.8,95,43.73,6.81,17.75,決算後20営業日未到達,質的確認待ち,71.9,食品値上げ耐性 / 円高 / 原油・ナフサ下落,6月再判定候補,6月CPI・日銀・FOMC確認後、日経平均75日線、米10年金利、為替、決算後20営業日反応が悪化していない場合だけ購入検討に進む。,テスト後は買値から-5%で理由確認、-8%で追加停止、-12%で撤退候補。日経平均75日線割れでは全候補を再判定。,数量減、原材料再上昇、PERが成長率に対して高すぎる,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,3,8316.T,三井住友FG,銀行,65.1,95,13.61,1.47,10.38,決算後20営業日未到達,警戒条件あり,62,金利上昇 / 自社株買い・増配・資本効率 / バフェット・バークシャー売買監視,警戒,警戒イベントの理由が確認できるまで新規購入候補にしない。,対象イベントで指数劣後、会社側否定、主要指標悪化が出た場合は候補から外す。,信用コスト悪化、自然災害損害率悪化、金利上昇でも指数劣後 / 売却理由を断定できない、13Fの開示遅れを補正できない,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,4,5020.T,ENEOS HD,エネルギー,64.3,95,8.36,1.03,8.00,決算後20営業日未到達,警戒条件あり,62,バフェット・バークシャー売買監視 / 原油・中東リスク,警戒,警戒イベントの理由が確認できるまで新規購入候補にしない。,対象イベントで指数劣後、会社側否定、主要指標悪化が出た場合は候補から外す。,売却理由を断定できない、13Fの開示遅れを補正できない / 原油急落、精製マージン悪化、在庫評価損、決算後指数劣後,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,5,8306.T,三菱UFJ FG,銀行,62.1,92,未取得,1.56,11.34,なし,警戒条件あり,62,金利上昇 / 自社株買い・増配・資本効率 / バフェット・バークシャー売買監視,警戒,警戒イベントの理由が確認できるまで新規購入候補にしない。,対象イベントで指数劣後、会社側否定、主要指標悪化が出た場合は候補から外す。,信用コスト悪化、自然災害損害率悪化、金利上昇でも指数劣後 / 売却理由を断定できない、13Fの開示遅れを補正できない,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,6,6146.T,ディスコ,半導体装置,60.9,92,未取得,12.32,25.15,なし,質的確認待ち,72.6,AI半導体投資 / HBM・先端パッケージ,比較継続,候補には残すが、同業比較と決算後反応を追加確認するまで購入検討に進めない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,受注や利益率に出ない、決算後20営業日で指数劣後、PER調整に耐えない,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,7,6762.T,TDK,電子部品,60.7,100,26.7,2.75,9.81,なし,質的確認待ち,72.6,AI半導体投資 / HBM・先端パッケージ,比較継続,候補には残すが、同業比較と決算後反応を追加確認するまで購入検討に進めない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,受注や利益率に出ない、決算後20営業日で指数劣後、PER調整に耐えない,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,8,6503.T,三菱電機,総合電機,55.6,95,26.09,2.76,9.67,決算後20営業日未到達,保留,69.6,データセンター電力不足 / データセンター冷却,保留,監視のみ。点数や質的材料だけで購入候補へ上げない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,寄与が小さい、利益率が伸びない、中国需要悪化、指数劣後,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,9,9984.T,ソフトバンクG,投資/AI,66.9,92,未取得,1.98,34.28,決算後反応15.2点,質的材料未接続,50,未接続,反応再確認,決算後反応の弱さが解消するまで購入検討に進めない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,質的な追い風・逆風を未反映,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,10,7012.T,川崎重工業,重工/防衛,59.9,100,21.6,2.71,13.68,決算後反応34.8点,質的材料未接続,50,未接続,反応再確認,決算後反応の弱さが解消するまで購入検討に進めない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,質的な追い風・逆風を未反映,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,11,6501.T,日立製作所,総合電機,59.3,95,26.81,3.47,12.93,決算後20営業日未到達 / 決算後反応32.5点,質的材料未接続,50,未接続,保留,監視のみ。点数や質的材料だけで購入候補へ上げない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,質的な追い風・逆風を未反映,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
2026/05/27 10:27,12,8002.T,丸紅,商社,53,95,15.01,1.99,13.61,決算後20営業日未到達 / 決算後反応34点,質的材料未接続,50,未接続,保留,監視のみ。点数や質的材料だけで購入候補へ上げない。,購入前段階のため損切り設定ではなく、候補維持条件の確認に限定する。,質的な追い風・逆風を未反映,公式決算値、PER/PBR/ROE、決算後1日/5日/20営業日対指数反応、6月イベント後の市場指標
