updated_at,ticker,company,test_layer,integrated_grade,theme,hypothesis_layer,evidence_layer,connection,required_numbers,reject_condition,qualitative_gate,gate_reason,scoring_use,treatment
2026/05/27 07:57,6762.T,TDK,第1層: 優先確認,A,HBM・先端パッケージ,A,未接続,AIサーバー、HDD/電源周辺部材、電子部品需要に接続。量的評価と質的評価がともにA。,該当事業の売上成長、受注、利益率、顧客需要コメント、メモリ市況指標,メモリ投資鈍化、顧客在庫増、需要コメント悪化,優先確認,量的評価と質的仮説がそろっているため、確認数字を優先して取りに行く。,候補抽出。量的評価B以下なら上限をB以下に抑える。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6762.T,TDK,第1層: 優先確認,A,AI半導体投資,S,未接続,AIサーバー、HDD/電源周辺部材、電子部品需要に接続。量的評価と質的評価がともにA。,対象セグメント売上、受注高、受注残、営業利益率、会社コメント、SOX/NASDAQ/日経半導体株指数との相対株価,主要顧客の投資延期、在庫調整、輸出規制、利益率悪化、決算後20営業日で指数劣後,優先確認,量的評価と質的仮説がそろっているため、確認数字を優先して取りに行く。,候補抽出と確認条件。単純加点しない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,6762.T,TDK,第1層: 優先確認,A,円安,B,一部接続可,AIサーバー、HDD/電源周辺部材、電子部品需要に接続。量的評価と質的評価がともにA。,海外売上比率、為替感応度、ドル円変化率、営業利益見通し、ヘッジ状況,円安でもコスト増が上回る、為替感応度が小さい、円高反転,補完待ち,不足データを補完するまで候補上位には置かない。,マクロ感応度ゲート。単独では候補にしない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,8316.T,三井住友FG,第2層: 条件付き確認,B,金利上昇,A,一部接続可,日銀政策、利ざや、株主還元に接続。信用コストと金利方向の確認が必要。,資金利益、信用コスト、保険引受利益、政策保有株売却、日銀後の株価反応,信用コスト増、景気悪化扱い、長期金利急低下、金融株が指数劣後,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,市場ゲートと候補別ゲートに使う。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,8316.T,三井住友FG,第2層: 条件付き確認,B,自社株買い・増配・資本効率,A,一部接続可,日銀政策、利ざや、株主還元に接続。信用コストと金利方向の確認が必要。,自社株買い規模、発行株比率、配当性向、ROE、PBR、FCF,一時的還元、業績悪化、FCF不足、還元後もROE改善しない,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,量的評価の質/還元項目へ接続可能。ただし発表だけでは加点しない。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,2802.T,味の素,第2層: 条件付き確認,B,食品値上げ耐性,B,一部接続可,値上げ耐性、原材料、ABF/ヘルスケアに接続。PERの高さを成長率で説明できるか確認。,価格要因/数量要因、原材料費、営業利益率、国内外セグメント成長,値上げ後の数量減、原材料再上昇、PERが成長率を上回りすぎる,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,守り寄り候補の確認条件に使う。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,2802.T,味の素,第2層: 条件付き確認,B,円高,B,一部接続可,値上げ耐性、原材料、ABF/ヘルスケアに接続。PERの高さを成長率で説明できるか確認。,輸入原価比率、為替感応度、原材料価格、価格転嫁状況,需要数量が落ちる、価格競争で利益に残らない、海外利益減が大きい,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,候補のリスク分岐と追い風分岐に使う。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,2802.T,味の素,第2層: 条件付き確認,B,原油・ナフサ下落,B,未接続,値上げ耐性、原材料、ABF/ヘルスケアに接続。PERの高さを成長率で説明できるか確認。,ナフサ価格、原材料費率、売価維持率、在庫影響、営業利益率,売価下落が先行、需要減、在庫評価損、原材料データが取得できない,条件付き確認,テーマはあるが、量的評価または実績層が不足しているため条件確認が必要。,業界テーマ候補。データ取得できる範囲を明示して扱う。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,5020.T,ENEOS HD,比較・観察,C,原油・中東リスク,B,一部接続可,油価、精製マージン、在庫影響に接続。1年保有適性は油価循環の検証が必要。,油価、精製マージン、在庫影響、海運市況、会社の感応度,停戦、油価急落、精製マージン悪化、在庫評価損,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,イベント監視。短期反応が大きいため1年保有適性を別確認。,質的テーマ接続。量的スコアへ単純加点しない。
2026/05/27 07:57,5020.T,ENEOS HD,比較・観察,C,原油・ナフサ下落,B,未接続,油価、精製マージン、在庫影響に接続。1年保有適性は油価循環の検証が必要。,ナフサ価格、原材料費率、売価維持率、在庫影響、営業利益率,売価下落が先行、需要減、在庫評価損、原材料データが取得できない,仮説検算,テーマはあるが、価格反応または量的評価が弱いため、仮説が市場に反映されているか検算する。,業界テーマ候補。データ取得できる範囲を明示して扱う。,質的テーマ接続。量的スコアへ単純加点しない。
